,idind,b2d,c3,c5,c6,c7,c7b,c8,i18,i19,job,wave,c2,c4_89,c5_89,c6_89,c7_89,i100,i101,i102,i103,wage89_imp,c8_cln,i19_cln,hhid,line,commid,t1,t2,t3,t4,t5
1819,211101003002.0,900.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101003.0,2.0,211101.0,21.0,1.0,1.0,1.0,3.0
1855,211101008002.0,3740.0,,,,,,,,,1.0,2009.0,1.0,,,,,1.0,9000.0,1.0,6500.0,,,,211101008.0,2.0,211101.0,21.0,1.0,1.0,1.0,8.0
1872,211101008021.0,,12.0,6.0,8.0,48.0,1.0,700.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101008.0,21.0,211101.0,21.0,1.0,1.0,1.0,8.0
1891,211101010003.0,,12.0,6.0,8.0,48.0,1.0,1500.0,1.0,5000.0,1.0,2009.0,1.0,,,,,1.0,5000.0,0.0,,,,,211101010.0,3.0,211101.0,21.0,1.0,1.0,1.0,10.0
1904,211101012001.0,1100.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101012.0,1.0,211101.0,21.0,1.0,1.0,1.0,12.0
1912,211101012002.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101012.0,2.0,211101.0,21.0,1.0,1.0,1.0,12.0
1923,211101013002.0,1100.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101013.0,2.0,211101.0,21.0,1.0,1.0,1.0,13.0
1948,211101015001.0,900.0,10.0,7.0,8.0,56.0,1.0,1800.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101015.0,1.0,211101.0,21.0,1.0,1.0,1.0,15.0
1977,211101017001.0,1050.0,12.0,6.0,8.0,48.0,1.0,2000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101017.0,1.0,211101.0,21.0,1.0,1.0,1.0,17.0
1986,211101017002.0,1100.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101017.0,2.0,211101.0,21.0,1.0,1.0,1.0,17.0
1991,211101017004.0,,12.0,5.0,8.0,40.0,1.0,2000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101017.0,4.0,211101.0,21.0,1.0,1.0,1.0,17.0
2020,211101062001.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101062.0,1.0,211101.0,21.0,1.0,1.0,1.0,62.0
2026,211101062003.0,,12.0,5.0,8.0,40.0,1.0,3000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,1.0,,,,,211101062.0,3.0,211101.0,21.0,1.0,1.0,1.0,62.0
2037,211101064002.0,2600.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101064.0,2.0,211101.0,21.0,1.0,1.0,1.0,64.0
2051,211101066002.0,,12.0,7.0,6.0,42.0,1.0,600.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101066.0,2.0,211101.0,21.0,1.0,1.0,1.0,66.0
2056,211101067001.0,1200.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101067.0,1.0,211101.0,21.0,1.0,1.0,1.0,67.0
2061,211101067002.0,3000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101067.0,2.0,211101.0,21.0,1.0,1.0,1.0,67.0
2066,211101068001.0,913.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101068.0,1.0,211101.0,21.0,1.0,1.0,1.0,68.0
2072,211101068002.0,827.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101068.0,2.0,211101.0,21.0,1.0,1.0,1.0,68.0
2078,211101069001.0,999.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101069.0,1.0,211101.0,21.0,1.0,1.0,1.0,69.0
2082,211101069002.0,840.0,12.0,6.0,8.0,48.0,1.0,700.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101069.0,2.0,211101.0,21.0,1.0,1.0,1.0,69.0
2086,211101069003.0,,12.0,5.0,8.0,40.0,1.0,2000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101069.0,3.0,211101.0,21.0,1.0,1.0,1.0,69.0
2089,211101070001.0,2500.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101070.0,1.0,211101.0,21.0,1.0,1.0,1.0,70.0
2094,211101070002.0,1200.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101070.0,2.0,211101.0,21.0,1.0,1.0,1.0,70.0
2098,211101071001.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,1.0,20000.0,0.0,,,,,211101071.0,1.0,211101.0,21.0,1.0,1.0,1.0,71.0
2102,211101071002.0,860.0,12.0,7.0,8.0,56.0,1.0,1500.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101071.0,2.0,211101.0,21.0,1.0,1.0,1.0,71.0
2107,211101081001.0,1700.0,12.0,6.0,8.0,48.0,1.0,3000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101081.0,1.0,211101.0,21.0,1.0,1.0,1.0,81.0
2112,211101081002.0,900.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,200.0,,,,211101081.0,2.0,211101.0,21.0,1.0,1.0,1.0,81.0
2118,211101083001.0,1100.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101083.0,1.0,211101.0,21.0,1.0,1.0,1.0,83.0
2123,211101083002.0,970.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101083.0,2.0,211101.0,21.0,1.0,1.0,1.0,83.0
2127,211101121001.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101121.0,1.0,211101.0,21.0,1.0,1.0,1.0,121.0
2128,211101121002.0,975.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101121.0,2.0,211101.0,21.0,1.0,1.0,1.0,121.0
2129,211101122001.0,1800.0,4.0,5.0,8.0,40.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101122.0,1.0,211101.0,21.0,1.0,1.0,1.0,122.0
2132,211101122002.0,900.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211101122.0,2.0,211101.0,21.0,1.0,1.0,1.0,122.0
2143,211102001001.0,5000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102001.0,1.0,211102.0,21.0,1.0,1.0,2.0,1.0
2147,211102001002.0,1500.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102001.0,2.0,211102.0,21.0,1.0,1.0,2.0,1.0
2169,211102003001.0,2980.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,300.0,,,,211102003.0,1.0,211102.0,21.0,1.0,1.0,2.0,3.0
2172,211102003002.0,2210.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,100.0,,,,211102003.0,2.0,211102.0,21.0,1.0,1.0,2.0,3.0
2199,211102006001.0,5000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102006.0,1.0,211102.0,21.0,1.0,1.0,2.0,6.0
2205,211102006002.0,1400.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102006.0,2.0,211102.0,21.0,1.0,1.0,2.0,6.0
2284,211102014001.0,900.0,,,,,,,,,1.0,2009.0,1.0,,,,,1.0,600.0,1.0,600.0,,,,211102014.0,1.0,211102.0,21.0,1.0,1.0,2.0,14.0
2289,211102014002.0,2300.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102014.0,2.0,211102.0,21.0,1.0,1.0,2.0,14.0
2296,211102015001.0,2000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102015.0,1.0,211102.0,21.0,1.0,1.0,2.0,15.0
2302,211102015002.0,2000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,100.0,,,,211102015.0,2.0,211102.0,21.0,1.0,1.0,2.0,15.0
2321,211102017001.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102017.0,1.0,211102.0,21.0,1.0,1.0,2.0,17.0
2323,211102017002.0,5000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102017.0,2.0,211102.0,21.0,1.0,1.0,2.0,17.0
2328,211102017003.0,,12.0,5.0,8.0,40.0,1.0,1000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102017.0,3.0,211102.0,21.0,1.0,1.0,2.0,17.0
2343,211102018003.0,,6.0,7.0,9.0,0.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,2000.0,,,,211102018.0,3.0,211102.0,21.0,1.0,1.0,2.0,18.0
2348,211102018082.0,,12.0,5.0,8.0,40.0,1.0,2400.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102018.0,82.0,211102.0,21.0,1.0,1.0,2.0,18.0
2352,211102019001.0,4000.0,,,,,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102019.0,1.0,211102.0,21.0,1.0,1.0,2.0,19.0
2357,211102019002.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102019.0,2.0,211102.0,21.0,1.0,1.0,2.0,19.0
2376,211102061001.0,-999.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,200.0,,,,211102061.0,1.0,211102.0,21.0,1.0,1.0,2.0,61.0
2401,211102068002.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102068.0,2.0,211102.0,21.0,1.0,1.0,2.0,68.0
2404,211102068003.0,,6.0,6.0,9.0,54.0,1.0,1500.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102068.0,3.0,211102.0,21.0,1.0,1.0,2.0,68.0
2416,211102071082.0,1300.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,3000.0,,,,211102071.0,82.0,211102.0,21.0,1.0,1.0,2.0,71.0
2419,211102071083.0,3500.0,12.0,5.0,4.0,20.0,1.0,5000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102071.0,83.0,211102.0,21.0,1.0,1.0,2.0,71.0
2422,211102082001.0,2400.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102082.0,1.0,211102.0,21.0,1.0,1.0,2.0,82.0
2425,211102082002.0,2400.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102082.0,2.0,211102.0,21.0,1.0,1.0,2.0,82.0
2428,211102083001.0,4000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102083.0,1.0,211102.0,21.0,1.0,1.0,2.0,83.0
2431,211102083002.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102083.0,2.0,211102.0,21.0,1.0,1.0,2.0,83.0
2444,211102121001.0,2820.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,150.0,,,,211102121.0,1.0,211102.0,21.0,1.0,1.0,2.0,121.0
2446,211102121002.0,1017.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102121.0,2.0,211102.0,21.0,1.0,1.0,2.0,121.0
2448,211102122001.0,2000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102122.0,1.0,211102.0,21.0,1.0,1.0,2.0,122.0
2450,211102122003.0,,3.0,5.0,9.0,45.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102122.0,3.0,211102.0,21.0,1.0,1.0,2.0,122.0
2451,211102123001.0,,12.0,5.0,8.0,40.0,1.0,1300.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102123.0,1.0,211102.0,21.0,1.0,1.0,2.0,123.0
2454,211102124001.0,,9.0,5.0,8.0,40.0,1.0,4000.0,1.0,10000.0,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102124.0,1.0,211102.0,21.0,1.0,1.0,2.0,124.0
2456,211102124002.0,-999.0,12.0,5.0,7.0,35.0,1.0,700.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102124.0,2.0,211102.0,21.0,1.0,1.0,2.0,124.0
2458,211102125002.0,,12.0,5.0,8.0,40.0,1.0,1500.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102125.0,2.0,211102.0,21.0,1.0,1.0,2.0,125.0
2460,211102126001.0,,12.0,5.0,8.0,40.0,1.0,3000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102126.0,1.0,211102.0,21.0,1.0,1.0,2.0,126.0
2462,211102126002.0,,12.0,5.0,6.0,33.0,1.0,1100.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102126.0,2.0,211102.0,21.0,1.0,1.0,2.0,126.0
2464,211102127001.0,,12.0,6.0,8.0,48.0,1.0,2000.0,1.0,1000.0,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102127.0,1.0,211102.0,21.0,1.0,1.0,2.0,127.0
2466,211102127002.0,,12.0,5.0,8.0,40.0,1.0,700.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211102127.0,2.0,211102.0,21.0,1.0,1.0,2.0,127.0
2497,211103002001.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,100.0,,,,211103002.0,1.0,211103.0,21.0,1.0,1.0,3.0,2.0
2500,211103002002.0,,10.0,7.0,12.0,84.0,1.0,750.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,1.0,100.0,,,,211103002.0,2.0,211103.0,21.0,1.0,1.0,3.0,2.0
2518,211103004002.0,800.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103004.0,2.0,211103.0,21.0,1.0,1.0,3.0,4.0
2593,211103013001.0,,12.0,6.0,8.0,48.0,1.0,1600.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103013.0,1.0,211103.0,21.0,1.0,1.0,3.0,13.0
2601,211103013002.0,,12.0,7.0,9.0,63.0,1.0,1500.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103013.0,2.0,211103.0,21.0,1.0,1.0,3.0,13.0
2602,211103013002.0,,-9.0,7.0,9.0,63.0,0.0,,,,2.0,2009.0,2.0,,,,,,,,,,,,211103013.0,2.0,211103.0,21.0,1.0,1.0,3.0,13.0
2606,211103013003.0,,12.0,5.0,8.0,40.0,1.0,1100.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103013.0,3.0,211103.0,21.0,1.0,1.0,3.0,13.0
2671,211103061002.0,,12.0,5.0,8.0,40.0,1.0,1800.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103061.0,2.0,211103.0,21.0,1.0,1.0,3.0,61.0
2674,211103081001.0,,8.0,7.0,11.0,77.0,1.0,1000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103081.0,1.0,211103.0,21.0,1.0,1.0,3.0,81.0
2680,211103081002.0,,12.0,5.0,8.0,40.0,1.0,1000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,1.0,300.0,,,,211103081.0,2.0,211103.0,21.0,1.0,1.0,3.0,81.0
2681,211103081002.0,,2.0,2.0,4.0,0.0,0.0,,,,2.0,2009.0,2.0,,,,,,,,,,,,211103081.0,2.0,211103.0,21.0,1.0,1.0,3.0,81.0
2694,211103083001.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103083.0,1.0,211103.0,21.0,1.0,1.0,3.0,83.0
2698,211103083002.0,850.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103083.0,2.0,211103.0,21.0,1.0,1.0,3.0,83.0
2713,211103086003.0,,-9.0,7.0,13.0,91.0,0.0,,,,1.0,2009.0,1.0,,,,,1.0,5000.0,1.0,500.0,,,,211103086.0,3.0,211103.0,21.0,1.0,1.0,3.0,86.0
2714,211103086121.0,,-9.0,5.0,8.0,40.0,1.0,800.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103086.0,121.0,211103.0,21.0,1.0,1.0,3.0,86.0
2722,211103090001.0,,12.0,7.0,5.0,56.0,1.0,2000.0,0.0,,1.0,2009.0,1.0,,,,,1.0,3000.0,0.0,,,,,211103090.0,1.0,211103.0,21.0,1.0,1.0,3.0,90.0
2727,211103090002.0,,12.0,5.0,6.0,30.0,1.0,900.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103090.0,2.0,211103.0,21.0,1.0,1.0,3.0,90.0
2731,211103091001.0,,12.0,7.0,8.0,56.0,1.0,1200.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103091.0,1.0,211103.0,21.0,1.0,1.0,3.0,91.0
2732,211103091002.0,,12.0,7.0,14.0,98.0,1.0,900.0,0.0,,1.0,2009.0,1.0,,,,,1.0,3600.0,1.0,960.0,,,,211103091.0,2.0,211103.0,21.0,1.0,1.0,3.0,91.0
2736,211103093001.0,1178.0,12.0,7.0,8.0,56.0,1.0,1000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103093.0,1.0,211103.0,21.0,1.0,1.0,3.0,93.0
2741,211103093002.0,8470.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103093.0,2.0,211103.0,21.0,1.0,1.0,3.0,93.0
2746,211103094002.0,,12.0,6.0,8.0,48.0,1.0,500.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103094.0,2.0,211103.0,21.0,1.0,1.0,3.0,94.0
2752,211103095001.0,1080.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103095.0,1.0,211103.0,21.0,1.0,1.0,3.0,95.0
2758,211103096001.0,-999.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103096.0,1.0,211103.0,21.0,1.0,1.0,3.0,96.0
2765,211103097001.0,1160.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103097.0,1.0,211103.0,21.0,1.0,1.0,3.0,97.0
2770,211103097002.0,860.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103097.0,2.0,211103.0,21.0,1.0,1.0,3.0,97.0
2777,211103097004.0,,12.0,5.0,8.0,40.0,1.0,500.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,1.0,30.0,,,,211103097.0,4.0,211103.0,21.0,1.0,1.0,3.0,97.0
2787,211103121002.0,,12.0,5.0,8.0,40.0,1.0,800.0,1.0,10000.0,1.0,2009.0,1.0,,,,,0.0,,1.0,300.0,,,,211103121.0,2.0,211103.0,21.0,1.0,1.0,3.0,121.0
2788,211103122001.0,,12.0,7.0,4.0,28.0,1.0,1000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103122.0,1.0,211103.0,21.0,1.0,1.0,3.0,122.0
2789,211103122002.0,,12.0,7.0,8.0,56.0,1.0,900.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103122.0,2.0,211103.0,21.0,1.0,1.0,3.0,122.0
2790,211103122003.0,,12.0,6.0,8.0,48.0,1.0,1480.0,1.0,500.0,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103122.0,3.0,211103.0,21.0,1.0,1.0,3.0,122.0
2791,211103123001.0,1000.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103123.0,1.0,211103.0,21.0,1.0,1.0,3.0,123.0
2798,211103124002.0,,10.0,6.0,8.0,48.0,1.0,380.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103124.0,2.0,211103.0,21.0,1.0,1.0,3.0,124.0
2799,211103125001.0,,12.0,7.0,8.0,56.0,1.0,1500.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103125.0,1.0,211103.0,21.0,1.0,1.0,3.0,125.0
2801,211103125002.0,,12.0,5.0,12.0,60.0,1.0,1200.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211103125.0,2.0,211103.0,21.0,1.0,1.0,3.0,125.0
2805,211103126002.0,,12.0,7.0,8.0,56.0,0.0,,,,1.0,2009.0,1.0,,,,,1.0,200.0,0.0,,,,,211103126.0,2.0,211103.0,21.0,1.0,1.0,3.0,126.0
2830,211104001001.0,,12.0,5.0,8.0,40.0,1.0,1000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104001.0,1.0,211104.0,21.0,1.0,1.0,4.0,1.0
2848,211104003002.0,,9.0,6.0,8.0,48.0,1.0,700.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104003.0,2.0,211104.0,21.0,1.0,1.0,4.0,3.0
2858,211104004001.0,,12.0,7.0,8.0,56.0,1.0,800.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104004.0,1.0,211104.0,21.0,1.0,1.0,4.0,4.0
2863,211104004003.0,,12.0,7.0,12.0,84.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104004.0,3.0,211104.0,21.0,1.0,1.0,4.0,4.0
2878,211104006001.0,,12.0,5.0,8.0,40.0,1.0,900.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104006.0,1.0,211104.0,21.0,1.0,1.0,4.0,6.0
2886,211104006002.0,1072.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104006.0,2.0,211104.0,21.0,1.0,1.0,4.0,6.0
2888,211104006003.0,,3.0,6.0,8.0,48.0,1.0,800.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104006.0,3.0,211104.0,21.0,1.0,1.0,4.0,6.0
2908,211104010003.0,,-9.0,9.0,-9.0,-99.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104010.0,3.0,211104.0,21.0,1.0,1.0,4.0,10.0
2911,211104010122.0,,,,,,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,1.0,10000.0,,,,211104010.0,122.0,211104.0,21.0,1.0,1.0,4.0,10.0
2917,211104011001.0,,8.0,7.0,12.0,84.0,1.0,2500.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104011.0,1.0,211104.0,21.0,1.0,1.0,4.0,11.0
2941,211104014001.0,,12.0,5.0,8.0,40.0,1.0,1000.0,1.0,150.0,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104014.0,1.0,211104.0,21.0,1.0,1.0,4.0,14.0
2947,211104014003.0,,9.0,7.0,10.0,70.0,1.0,1500.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104014.0,3.0,211104.0,21.0,1.0,1.0,4.0,14.0
2948,211104014003.0,,3.0,7.0,8.0,0.0,1.0,1000.0,0.0,,2.0,2009.0,2.0,,,,,,,,,,,,211104014.0,3.0,211104.0,21.0,1.0,1.0,4.0,14.0
2963,211104017001.0,4080.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104017.0,1.0,211104.0,21.0,1.0,1.0,4.0,17.0
2966,211104017002.0,9999.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104017.0,2.0,211104.0,21.0,1.0,1.0,4.0,17.0
2973,211104019003.0,,6.0,5.0,8.0,40.0,1.0,1100.0,1.0,1800.0,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104019.0,3.0,211104.0,21.0,1.0,1.0,4.0,19.0
2989,211104063003.0,,12.0,5.0,7.0,35.0,1.0,800.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104063.0,3.0,211104.0,21.0,1.0,1.0,4.0,63.0
2992,211104063121.0,,12.0,7.0,12.0,84.0,1.0,800.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104063.0,121.0,211104.0,21.0,1.0,1.0,4.0,63.0
2996,211104081001.0,,12.0,7.0,8.0,56.0,0.0,,,,1.0,2009.0,1.0,,,,,1.0,20000.0,0.0,,,,,211104081.0,1.0,211104.0,21.0,1.0,1.0,4.0,81.0
2997,211104081002.0,,5.0,7.0,8.0,56.0,1.0,450.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104081.0,2.0,211104.0,21.0,1.0,1.0,4.0,81.0
3000,211104121002.0,,12.0,5.0,6.0,0.0,1.0,1100.0,1.0,1000.0,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104121.0,2.0,211104.0,21.0,1.0,1.0,4.0,121.0
3003,211104122001.0,,10.0,7.0,8.0,56.0,0.0,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104122.0,1.0,211104.0,21.0,1.0,1.0,4.0,122.0
3005,211104122002.0,,12.0,4.0,16.0,64.0,1.0,2000.0,1.0,3000.0,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104122.0,2.0,211104.0,21.0,1.0,1.0,4.0,122.0
3006,211104123001.0,,12.0,7.0,14.0,98.0,1.0,1000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104123.0,1.0,211104.0,21.0,1.0,1.0,4.0,123.0
3009,211104124002.0,,11.0,7.0,8.0,56.0,1.0,1200.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211104124.0,2.0,211104.0,21.0,1.0,1.0,4.0,124.0
3016,211104141001.0,2100.0,,,,,,,,,1.0,2009.0,1.0,,,,,1.0,200.0,1.0,200.0,,,,211104016.0,1.0,211104.0,21.0,1.0,1.0,4.0,16.0
3216,211201130002.0,900.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211201130.0,2.0,211201.0,21.0,1.0,2.0,1.0,130.0
3219,211201131001.0,2500.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211201131.0,1.0,211201.0,21.0,1.0,2.0,1.0,131.0
3221,211201131002.0,800.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211201131.0,2.0,211201.0,21.0,1.0,2.0,1.0,131.0
3223,211201132001.0,860.0,,,,,,,,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211201132.0,1.0,211201.0,21.0,1.0,2.0,1.0,132.0
3226,211201132002.0,,12.0,6.0,8.0,48.0,1.0,800.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211201132.0,2.0,211201.0,21.0,1.0,2.0,1.0,132.0
3228,211201133001.0,,12.0,7.0,10.0,70.0,1.0,1000.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211201133.0,1.0,211201.0,21.0,1.0,2.0,1.0,133.0
3230,211201133002.0,,12.0,5.0,8.0,40.0,1.0,-9999.0,0.0,,1.0,2009.0,1.0,,,,,0.0,,0.0,,,,,211201133.0,2.0,211201.0,21.0,1.0,2.0,1.0,133.0
