,idind_m,idind_c,gender,s57,cprel,west_dob_y,moon_dob_y,s56
703,212101001002.0,212101001004.0,2.0,,1.0,1973.0,1973.0,
704,212101002002.0,212101002003.0,2.0,,,1989.0,1989.0,
705,212101003002.0,212101003021.0,1.0,,,1989.0,1989.0,
706,212101006002.0,212101006003.0,1.0,,,1987.0,1987.0,
707,212101007004.0,212101007005.0,2.0,,,1989.0,1989.0,
708,212101010001.0,212101010002.0,1.0,,,1973.0,1973.0,
709,212101010001.0,212101010022.0,2.0,,,1968.0,1968.0,
710,212101010022.0,212101010023.0,2.0,,,1988.0,1988.0,
711,212101061002.0,212101061003.0,2.0,,,1988.0,1988.0,
712,212101062002.0,212101062003.0,2.0,,,1986.0,1986.0,
713,212101063002.0,212101063003.0,1.0,,1.0,1984.0,1984.0,
714,212101064004.0,212101064005.0,2.0,,,1986.0,1986.0,
715,212101065002.0,212101065003.0,1.0,,,1988.0,1988.0,
716,212101066002.0,212101066003.0,2.0,,,1987.0,1987.0,
717,212101067002.0,212101067003.0,1.0,,,1985.0,1985.0,
718,212101069002.0,212101069003.0,1.0,,,1983.0,1983.0,
719,212101070002.0,212101070003.0,2.0,,,1987.0,1987.0,
720,212101071002.0,212101071003.0,2.0,,,1989.0,1989.0,
721,212101072002.0,212101072003.0,1.0,,,1990.0,1990.0,
722,212101073002.0,212101073003.0,2.0,,,1990.0,1990.0,
723,212101081002.0,212101081003.0,1.0,,,1990.0,1990.0,
724,212101082002.0,212101082801.0,2.0,,,1980.0,1980.0,
725,212101083002.0,212101083801.0,2.0,,,1976.0,1976.0,
726,212101083002.0,212101083802.0,2.0,,,1979.0,1979.0,
727,212101121002.0,212101121003.0,1.0,,,1990.0,1990.0,
728,212101123002.0,212101123801.0,2.0,,,1982.0,1981.0,
729,212101141002.0,212101141003.0,2.0,,,1994.0,1994.0,
730,212101161001.0,212101161003.0,1.0,,,2006.0,2006.0,
731,212101162002.0,212101162003.0,1.0,,,2002.0,2002.0,
732,212101164002.0,212101164003.0,2.0,,,2002.0,2002.0,
733,212102001002.0,212102001003.0,2.0,,1.0,1988.0,1988.0,
734,212102001061.0,212102001062.0,2.0,,,1996.0,1996.0,
735,212102002002.0,212102002003.0,1.0,,,1983.0,1983.0,
736,212102002002.0,212102002004.0,1.0,,,1987.0,1987.0,
737,212102003002.0,212102003003.0,2.0,,,1971.0,1971.0,
738,212102003002.0,212102003004.0,2.0,,,1972.0,1972.0,
739,212102003002.0,212102003005.0,1.0,,,1975.0,1975.0,
740,212102004002.0,212102004003.0,1.0,,,1987.0,1987.0,
741,212102005002.0,212102005003.0,2.0,,,1983.0,1983.0,
742,212102005002.0,212102005004.0,2.0,,,1987.0,1987.0,
743,212102006002.0,212102006003.0,2.0,,,1977.0,1977.0,
744,212102006002.0,212102006004.0,1.0,,,1979.0,1979.0,
745,212102007002.0,212102007003.0,1.0,,,1988.0,1988.0,
746,212102008001.0,212102008003.0,2.0,,,1976.0,1976.0,
747,212102008001.0,212102008004.0,1.0,,,1978.0,1978.0,
748,212102009002.0,212102009003.0,2.0,,,1969.0,1969.0,
749,212102009002.0,212102009005.0,1.0,,,1974.0,1974.0,
750,212102009002.0,212102009801.0,2.0,,,1965.0,1964.0,
751,212102009002.0,212102009802.0,2.0,,,1967.0,1967.0,
752,212102009002.0,212102009803.0,1.0,1.0,,1973.0,1973.0,1973.0
753,212102009002.0,212102101001.0,1.0,,,1971.0,1971.0,
754,212102009061.0,212102009081.0,2.0,,,2001.0,2001.0,
755,212102010002.0,212102010005.0,2.0,,1.0,1972.0,1972.0,
756,212102011002.0,212102011005.0,1.0,,,1981.0,1981.0,
757,212102012002.0,212102012003.0,2.0,,,1986.0,1986.0,
758,212102013002.0,212102013003.0,1.0,,,1979.0,1979.0,
759,212102013002.0,212102013004.0,1.0,,,1986.0,1986.0,
760,212102014002.0,212102014003.0,2.0,,,1978.0,1978.0,
761,212102014002.0,212102014004.0,2.0,,,1987.0,1987.0,
762,212102015002.0,212102015003.0,1.0,1.0,,1975.0,1975.0,1991.0
763,212102015002.0,212102015801.0,1.0,,,1970.0,1970.0,
764,212102016002.0,212102016003.0,1.0,,,1986.0,1986.0,
765,212102017002.0,212102017004.0,1.0,,1.0,1974.0,1974.0,
766,212102017006.0,212102017007.0,1.0,,,1987.0,1987.0,
767,212102018002.0,212102018003.0,2.0,,,1987.0,1986.0,
768,212102018002.0,212102018121.0,2.0,,,1996.0,1996.0,
769,212102018003.0,212102161003.0,2.0,,,2012.0,2012.0,
770,212102019002.0,212102019003.0,1.0,,,1987.0,1987.0,
771,212102019002.0,212102081001.0,1.0,,,1978.0,1978.0,
772,212102020002.0,212102020003.0,1.0,,,1982.0,1982.0,
773,212102020002.0,212102020004.0,1.0,,,1986.0,1986.0,
774,212102061002.0,212102061003.0,1.0,,,1987.0,1987.0,
775,212102062002.0,212102062003.0,2.0,,,1990.0,1990.0,
776,212102064002.0,212102064003.0,1.0,,1.0,1982.0,1982.0,
777,212102081002.0,212102081003.0,1.0,,,2001.0,2001.0,
778,212102082002.0,212102082003.0,1.0,,,1987.0,1987.0,
779,212102084002.0,212102084003.0,1.0,,,2001.0,2001.0,
780,212102084002.0,212102084161.0,2.0,,,2013.0,2013.0,
781,212102085002.0,212102085003.0,2.0,,,1992.0,1992.0,
782,212102086002.0,212102086003.0,1.0,,,1991.0,1991.0,
783,212102087002.0,212102087003.0,1.0,,,1987.0,1987.0,
784,212102087002.0,212102087004.0,2.0,,,1981.0,1981.0,
785,212102101002.0,212102101003.0,2.0,,,1994.0,1994.0,
786,212102121002.0,212102121003.0,1.0,,,1990.0,1990.0,
787,212103001002.0,212103001003.0,2.0,,,1978.0,1978.0,
788,212103001002.0,212103001004.0,1.0,,,1980.0,1980.0,
789,212103002002.0,212103002003.0,2.0,,,1987.0,1987.0,
790,212103002002.0,212103002004.0,2.0,,,1977.0,1977.0,
791,212103003002.0,212103003003.0,2.0,,,1972.0,1972.0,
792,212103003002.0,212103003004.0,2.0,,,1975.0,1975.0,
793,212103003002.0,212103003005.0,2.0,,,1977.0,1977.0,
794,212103004002.0,212103004003.0,2.0,,,1974.0,1974.0,
795,212103004002.0,212103004004.0,2.0,,,1976.0,1976.0,
796,212103004002.0,212103004005.0,2.0,,,1978.0,1978.0,
