,commid,stratum,t1,t2,t3,t4,wave,index,comm,denc,div,econ,health,house,market,soc,trans,edc,mart,sani
1716,451105.0,1.0,45.0,1.0,1.0,5.0,2009.0,83.61,8.6,5.0,5.75,10.0,8.75,9.5,5.0,1.25,10.0,3.76,6.0,10.0
1726,451201.0,1.0,45.0,1.0,2.0,1.0,2009.0,82.74666666666667,6.2,8.0,6.5,10.0,8.75,9.75,5.0,2.5,6.666666666666667,3.58,6.5,9.3
1736,451202.0,1.0,45.0,1.0,2.0,2.0,2009.0,84.14666666666666,5.8,7.0,7.5,10.0,8.75,9.75,5.0,2.5,6.666666666666667,4.18,7.0,10.0
1746,451203.0,2.0,45.0,1.0,2.0,3.0,2009.0,87.7625,8.5,7.5,5.0,10.0,8.75,9.895833333333332,8.75,2.5,6.666666666666667,2.4,9.0,8.8
1756,451204.0,2.0,45.0,1.0,2.0,4.0,2009.0,37.9,3.83,5.0,5.0,1.0,8.75,5.625,3.125,1.25,0.0,2.82,0.0,1.5
1769,452102.0,4.0,45.0,2.0,1.0,2.0,2009.0,41.30583333333333,5.08,5.5,4.5,2.0,1.25,5.729166666666667,5.0,2.5,6.666666666666667,2.58,0.0,0.5
1779,452103.0,4.0,45.0,2.0,1.0,3.0,2009.0,47.596538461538465,5.39,6.5,4.5,2.0,5.0,5.961538461538462,4.375,1.25,5.0,2.62,2.5,2.5
1789,452104.0,4.0,45.0,2.0,1.0,4.0,2009.0,50.606536796536794,5.55,6.0,5.0,5.0,1.25,7.2727272727272725,7.857142857142857,1.25,6.666666666666667,2.46,0.5,1.8
1796,452105.0,3.0,45.0,2.0,1.0,5.0,2009.0,81.7080303030303,7.27,6.5,5.75,10.0,7.5,9.886363636363637,4.375,5.0,6.666666666666667,4.76,4.0,10.0
1806,452201.0,3.0,45.0,2.0,2.0,1.0,2009.0,95.65761904761905,7.91,7.0,4.0,10.0,7.5,9.047619047619047,10.0,10.0,10.0,3.7,7.0,9.5
1816,452202.0,4.0,45.0,2.0,2.0,2.0,2009.0,47.175000000000004,6.6,4.5,4.0,5.0,1.25,7.125,7.5,2.5,5.0,2.4,0.0,1.3
1826,452203.0,4.0,45.0,2.0,2.0,3.0,2009.0,57.61820512820513,6.62,6.0,3.5,7.0,1.25,8.461538461538462,7.5,2.5,6.666666666666667,2.22,0.5,5.4
1836,452204.0,4.0,45.0,2.0,2.0,4.0,2009.0,69.23939393939395,7.55,6.0,3.5,5.5,5.0,8.522727272727273,7.5,2.5,6.666666666666667,3.2,6.0,7.3
1846,452301.0,3.0,45.0,2.0,3.0,1.0,2009.0,85.1930303030303,7.91,8.5,6.5,9.6,3.75,9.886363636363637,0.0,10.0,6.666666666666667,3.88,8.5,10.0
1856,452302.0,4.0,45.0,2.0,3.0,2.0,2009.0,47.48666666666667,5.1,4.5,4.75,6.7,3.0000000000000004,5.0,0.0,1.25,6.666666666666667,2.72,5.0,2.8
1866,452303.0,4.0,45.0,2.0,3.0,3.0,2009.0,46.159393939393944,5.64,4.0,3.0,6.6,3.0000000000000004,4.7727272727272725,0.0,5.0,6.666666666666667,1.88,1.5,4.1
1876,452304.0,4.0,45.0,2.0,3.0,4.0,2009.0,38.63770562770563,3.09,4.5,5.5,4.0,2.5,5.211038961038961,0.0,1.25,1.6666666666666667,3.12,3.5,4.3
1886,452401.0,3.0,45.0,2.0,4.0,1.0,2009.0,91.41166666666666,8.5,6.5,7.0,9.2,5.0,9.625,10.0,5.0,6.666666666666667,4.12,10.0,9.8
1896,452402.0,4.0,45.0,2.0,4.0,2.0,2009.0,87.67595238095238,8.43,5.0,5.0,9.1,8.0,9.464285714285715,9.375,5.0,6.666666666666667,3.64,8.5,9.5
1906,452403.0,4.0,45.0,2.0,4.0,3.0,2009.0,85.79238095238095,9.14,6.5,5.5,9.0,1.25,9.285714285714285,10.0,6.25,6.666666666666667,3.7,8.5,10.0
1916,452404.0,4.0,45.0,2.0,4.0,4.0,2009.0,70.99428571428571,5.52,5.0,5.5,7.0,5.0,5.8,8.214285714285714,10.0,5.0,3.16,9.0,1.8
1936,521106.0,1.0,52.0,1.0,1.0,6.0,2009.0,78.97666666666666,7.4,7.0,8.0,5.0,6.25,9.0,5.0,2.5,6.666666666666667,4.86,7.5,9.8
1943,521107.0,2.0,52.0,1.0,1.0,7.0,2009.0,68.225,7.7,5.5,5.5,8.5,1.25,8.875,5.0,2.5,5.0,2.4,7.5,8.5
1950,521108.0,2.0,52.0,1.0,1.0,8.0,2009.0,51.361666666666665,6.8,4.5,5.0,1.5,5.0,7.125,2.5,1.25,6.666666666666667,1.82,3.0,6.2
1956,521109.0,1.0,52.0,1.0,1.0,9.0,2009.0,90.72857142857143,8.62,5.0,6.0,10.0,7.5,9.761904761904763,10.0,2.5,6.666666666666667,7.68,8.0,9.0
1966,521201.0,1.0,52.0,1.0,2.0,1.0,2009.0,85.86333333333334,8.4,8.0,8.5,10.0,1.6,9.75,10.0,2.5,8.333333333333334,5.48,3.5,9.8
1976,521202.0,1.0,52.0,1.0,2.0,2.0,2009.0,73.0,6.1,5.5,7.5,10.0,6.4,9.0,5.0,2.5,5.0,3.7,2.5,9.8
1986,521203.0,2.0,52.0,1.0,2.0,3.0,2009.0,38.66,6.53,6.5,5.5,3.0,2.5,6.666666666666667,0.0,1.25,3.3333333333333335,1.88,0.5,1.0
1996,521204.0,2.0,52.0,1.0,2.0,4.0,2009.0,49.66833333333334,5.7,4.5,5.25,4.0,8.75,6.625,5.0,1.25,3.3333333333333335,2.76,1.5,1.0
2006,522101.0,3.0,52.0,2.0,1.0,1.0,2009.0,103.065,8.0,7.0,8.5,10.0,7.5,9.875,10.0,8.75,10.0,4.44,9.0,10.0
2016,522102.0,4.0,52.0,2.0,1.0,2.0,2009.0,48.34,4.1,6.0,3.5,4.5,1.25,5.0,5.0,1.25,10.0,0.74,1.0,6.0
2026,522103.0,4.0,52.0,2.0,1.0,3.0,2009.0,63.144999999999996,5.5,5.0,3.5,6.0,7.5,5.375,5.0,1.25,10.0,1.52,5.5,7.0
2036,522104.0,4.0,52.0,2.0,1.0,4.0,2009.0,51.345,6.1,4.5,4.0,4.0,1.25,6.125,5.0,1.25,10.0,2.12,0.5,6.5
2046,522201.0,3.0,52.0,2.0,2.0,1.0,2009.0,64.08880952380952,3.62,6.5,5.0,6.5,7.5,8.80952380952381,5.0892857142857135,1.25,5.0,3.02,2.0,9.8
2056,522202.0,4.0,52.0,2.0,2.0,2.0,2009.0,55.36076923076923,4.31,4.0,6.25,7.0,3.75,7.980769230769231,0.0,1.25,5.0,2.32,4.5,9.0
2066,522203.0,4.0,52.0,2.0,2.0,3.0,2009.0,42.718333333333334,3.1,5.0,5.25,5.5,3.75,6.625,0.0,2.5,3.3333333333333335,2.46,1.0,4.2
2076,522204.0,4.0,52.0,2.0,2.0,4.0,2009.0,36.18333333333333,1.9,4.5,3.5,6.0,3.75,5.75,0.0,1.25,3.3333333333333335,1.0,0.5,4.7
2086,522301.0,3.0,52.0,2.0,3.0,1.0,2009.0,76.05238095238096,8.38,6.5,6.25,7.0,6.000000000000001,9.107142857142858,8.928571428571429,2.5,6.666666666666667,3.22,2.0,9.5
2096,522302.0,4.0,52.0,2.0,3.0,2.0,2009.0,42.624761904761904,3.87,6.5,4.0,2.0,7.5,6.071428571428572,5.0,1.25,3.3333333333333335,1.4,0.0,1.7
2106,522303.0,4.0,52.0,2.0,3.0,3.0,2009.0,50.40142857142857,4.0,7.0,4.5,2.0,7.5,7.529761904761905,6.875,1.25,1.6666666666666667,1.28,1.0,5.8
2116,522304.0,4.0,52.0,2.0,3.0,4.0,2009.0,48.05571428571429,4.22,7.0,5.0,2.0,7.5,4.910714285714286,6.875,1.25,5.0,2.0,1.0,1.3
2126,522401.0,3.0,52.0,2.0,4.0,1.0,2009.0,92.63857142857142,7.2,6.5,7.5,10.0,8.75,8.178571428571429,8.75,10.0,5.0,3.76,8.0,9.0
2136,522402.0,4.0,52.0,2.0,4.0,2.0,2009.0,61.968809523809526,4.9,5.5,5.0,5.0,8.75,5.107142857142858,4.375,1.25,6.666666666666667,1.62,4.0,9.8
2146,522403.0,4.0,52.0,2.0,4.0,3.0,2009.0,51.35142857142857,3.76,5.5,5.25,6.5,8.75,6.428571428571429,0.8928571428571429,1.25,5.0,2.22,1.5,4.3
2156,522404.0,4.0,52.0,2.0,4.0,4.0,2009.0,37.983333333333334,4.08,5.5,4.0,7.0,2.5,5.0,0.0,1.25,3.3333333333333335,1.12,1.0,3.2
