,f11,f14,f15a,f15,f16,f17,f18,f19,f20,f21,wave,f13,f19_cln,f14_cln,f15_cln,f17_cln,f11_new,hhid,commid,t1,t2,t3,t4,t5
18285,3.0,200.0,1.0,300.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452202010.0,452202.0,45.0,2.0,2.0,2.0,10.0
18356,2.0,30.0,1.0,50.0,0.0,,1.0,120.0,0.0,,2009.0,,,,,,2.0,452202015.0,452202.0,45.0,2.0,2.0,2.0,15.0
18373,2.0,60.0,1.0,300.0,1.0,500.0,1.0,300.0,0.0,,2009.0,,,,,,2.0,452202016.0,452202.0,45.0,2.0,2.0,2.0,16.0
18392,2.0,80.0,1.0,50.0,0.0,,1.0,200.0,0.0,,2009.0,,,,,,2.0,452202017.0,452202.0,45.0,2.0,2.0,2.0,17.0
18433,2.0,20.0,1.0,50.0,0.0,,1.0,80.0,0.0,,2009.0,,,,,,2.0,452202020.0,452202.0,45.0,2.0,2.0,2.0,20.0
18445,2.0,50.0,1.0,80.0,0.0,,1.0,250.0,0.0,,2009.0,,,,,,2.0,452202041.0,452202.0,45.0,2.0,2.0,2.0,41.0
18468,2.0,300.0,1.0,150.0,1.0,200.0,1.0,300.0,0.0,,2009.0,,,,,,2.0,452202081.0,452202.0,45.0,2.0,2.0,2.0,81.0
18474,1.0,4500.0,1.0,300.0,1.0,15000.0,0.0,,0.0,,2009.0,,,,,,1.0,452202082.0,452202.0,45.0,2.0,2.0,2.0,82.0
18475,2.0,50.0,1.0,50.0,0.0,,1.0,350.0,0.0,,2009.0,,,,,,2.0,452202082.0,452202.0,45.0,2.0,2.0,2.0,82.0
18476,3.0,2000.0,1.0,400.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452202082.0,452202.0,45.0,2.0,2.0,2.0,82.0
18487,2.0,50.0,1.0,60.0,0.0,,1.0,300.0,1.0,100.0,2009.0,,,,,,2.0,452202101.0,452202.0,45.0,2.0,2.0,2.0,101.0
18490,2.0,40.0,1.0,80.0,0.0,,1.0,360.0,0.0,,2009.0,,,,,,2.0,452202121.0,452202.0,45.0,2.0,2.0,2.0,121.0
18493,2.0,100.0,1.0,200.0,1.0,650.0,1.0,200.0,0.0,,2009.0,,,,,,2.0,452202122.0,452202.0,45.0,2.0,2.0,2.0,122.0
18494,3.0,120.0,1.0,100.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452202122.0,452202.0,45.0,2.0,2.0,2.0,122.0
18552,2.0,50.0,1.0,200.0,0.0,,1.0,350.0,0.0,,2009.0,,,,,,2.0,452203003.0,452203.0,45.0,2.0,2.0,3.0,3.0
18553,3.0,50.0,1.0,300.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452203003.0,452203.0,45.0,2.0,2.0,3.0,3.0
18571,1.0,250.0,1.0,800.0,1.0,6000.0,0.0,,0.0,,2009.0,,,,,,1.0,452203004.0,452203.0,45.0,2.0,2.0,3.0,4.0
18572,2.0,600.0,1.0,300.0,1.0,3800.0,1.0,100.0,1.0,400.0,2009.0,,,,,,2.0,452203004.0,452203.0,45.0,2.0,2.0,3.0,4.0
18573,3.0,50.0,1.0,200.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452203004.0,452203.0,45.0,2.0,2.0,3.0,4.0
18603,2.0,200.0,1.0,700.0,1.0,1000.0,1.0,400.0,0.0,,2009.0,,,,,,2.0,452203006.0,452203.0,45.0,2.0,2.0,3.0,6.0
18617,2.0,30.0,1.0,100.0,0.0,,1.0,200.0,0.0,,2009.0,,,,,,2.0,452203007.0,452203.0,45.0,2.0,2.0,3.0,7.0
18618,3.0,100.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452203007.0,452203.0,45.0,2.0,2.0,3.0,7.0
18645,2.0,25.0,1.0,150.0,1.0,300.0,1.0,200.0,0.0,,2009.0,,,,,,2.0,452203009.0,452203.0,45.0,2.0,2.0,3.0,9.0
18681,2.0,50.0,1.0,80.0,1.0,150.0,1.0,50.0,0.0,,2009.0,,,,,,2.0,452203012.0,452203.0,45.0,2.0,2.0,3.0,12.0
18710,2.0,120.0,1.0,600.0,0.0,,1.0,750.0,0.0,,2009.0,,,,,,2.0,452203014.0,452203.0,45.0,2.0,2.0,3.0,14.0
18728,1.0,2000.0,1.0,1600.0,1.0,5000.0,0.0,,0.0,,2009.0,,,,,,1.0,452203015.0,452203.0,45.0,2.0,2.0,3.0,15.0
18729,2.0,200.0,1.0,100.0,0.0,,1.0,300.0,0.0,,2009.0,,,,,,2.0,452203015.0,452203.0,45.0,2.0,2.0,3.0,15.0
18730,3.0,200.0,1.0,100.0,1.0,80.0,0.0,,0.0,,2009.0,,,,,,3.0,452203015.0,452203.0,45.0,2.0,2.0,3.0,15.0
18758,2.0,100.0,1.0,100.0,0.0,,1.0,350.0,0.0,,2009.0,,,,,,2.0,452203017.0,452203.0,45.0,2.0,2.0,3.0,17.0
18759,3.0,1800.0,1.0,500.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452203017.0,452203.0,45.0,2.0,2.0,3.0,17.0
18776,2.0,50.0,1.0,250.0,0.0,,1.0,500.0,0.0,,2009.0,,,,,,2.0,452203018.0,452203.0,45.0,2.0,2.0,3.0,18.0
18814,2.0,100.0,1.0,200.0,0.0,,1.0,300.0,0.0,,2009.0,,,,,,2.0,452203041.0,452203.0,45.0,2.0,2.0,3.0,41.0
18830,2.0,100.0,1.0,200.0,1.0,600.0,1.0,300.0,0.0,,2009.0,,,,,,2.0,452203062.0,452203.0,45.0,2.0,2.0,3.0,62.0
18836,2.0,300.0,1.0,250.0,1.0,5000.0,1.0,300.0,0.0,,2009.0,,,,,,2.0,452203102.0,452203.0,45.0,2.0,2.0,3.0,102.0
18838,3.0,50.0,1.0,600.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452203121.0,452203.0,45.0,2.0,2.0,3.0,121.0
18841,2.0,150.0,1.0,150.0,0.0,,1.0,200.0,0.0,,2009.0,,,,,,2.0,452203123.0,452203.0,45.0,2.0,2.0,3.0,123.0
18845,2.0,60.0,1.0,50.0,0.0,,1.0,90.0,1.0,30.0,2009.0,,,,,,2.0,452203124.0,452203.0,45.0,2.0,2.0,3.0,124.0
18846,2.0,80.0,1.0,150.0,0.0,,1.0,450.0,0.0,,2009.0,,,,,,2.0,452203125.0,452203.0,45.0,2.0,2.0,3.0,125.0
18851,2.0,50.0,1.0,360.0,0.0,,1.0,300.0,0.0,,2009.0,,,,,,2.0,452203126.0,452203.0,45.0,2.0,2.0,3.0,126.0
18852,3.0,70.0,1.0,280.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452203126.0,452203.0,45.0,2.0,2.0,3.0,126.0
18857,2.0,80.0,1.0,200.0,0.0,,1.0,300.0,1.0,50.0,2009.0,,,,,,2.0,452203127.0,452203.0,45.0,2.0,2.0,3.0,127.0
18905,2.0,96.0,1.0,360.0,0.0,,1.0,400.0,0.0,,2009.0,,,,,,2.0,452204004.0,452204.0,45.0,2.0,2.0,4.0,4.0
18906,3.0,400.0,1.0,200.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452204004.0,452204.0,45.0,2.0,2.0,4.0,4.0
18972,3.0,50.0,1.0,350.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452204010.0,452204.0,45.0,2.0,2.0,4.0,10.0
19040,2.0,50.0,1.0,200.0,0.0,,1.0,500.0,0.0,,2009.0,,,,,,2.0,452204017.0,452204.0,45.0,2.0,2.0,4.0,17.0
19063,2.0,200.0,1.0,200.0,1.0,200.0,1.0,300.0,0.0,,2009.0,,,,,,2.0,452204019.0,452204.0,45.0,2.0,2.0,4.0,19.0
19075,3.0,200.0,1.0,500.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452204061.0,452204.0,45.0,2.0,2.0,4.0,61.0
19079,1.0,200.0,1.0,1000.0,1.0,12000.0,0.0,,0.0,,2009.0,,,,,,1.0,452204081.0,452204.0,45.0,2.0,2.0,4.0,81.0
19080,2.0,150.0,1.0,200.0,1.0,500.0,1.0,300.0,0.0,,2009.0,,,,,,2.0,452204081.0,452204.0,45.0,2.0,2.0,4.0,81.0
19081,3.0,100.0,1.0,100.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452204081.0,452204.0,45.0,2.0,2.0,4.0,81.0
19112,2.0,100.0,1.0,100.0,0.0,,1.0,450.0,0.0,,2009.0,,,,,,2.0,452301016.0,452301.0,45.0,2.0,3.0,1.0,16.0
19120,2.0,80.0,1.0,100.0,0.0,,1.0,300.0,0.0,,2009.0,,,,,,2.0,452301017.0,452301.0,45.0,2.0,3.0,1.0,17.0
19140,2.0,-999.0,1.0,-999.0,0.0,,1.0,250.0,0.0,,2009.0,,,,,,2.0,452301081.0,452301.0,45.0,2.0,3.0,1.0,81.0
19141,1.0,500.0,1.0,500.0,1.0,2000.0,0.0,,0.0,,2009.0,,,,,,1.0,452301082.0,452301.0,45.0,2.0,3.0,1.0,82.0
19167,1.0,700.0,1.0,300.0,1.0,1500.0,1.0,500.0,0.0,,2009.0,,,,,,1.0,452302002.0,452302.0,45.0,2.0,3.0,2.0,2.0
19168,2.0,200.0,1.0,100.0,0.0,,1.0,600.0,0.0,,2009.0,,,,,,2.0,452302002.0,452302.0,45.0,2.0,3.0,2.0,2.0
19187,2.0,600.0,1.0,200.0,1.0,600.0,1.0,300.0,1.0,200.0,2009.0,,,,,,2.0,452302003.0,452302.0,45.0,2.0,3.0,2.0,3.0
19188,3.0,2000.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452302003.0,452302.0,45.0,2.0,3.0,2.0,3.0
19226,2.0,200.0,1.0,100.0,1.0,600.0,1.0,300.0,1.0,100.0,2009.0,,,,,,2.0,452302006.0,452302.0,45.0,2.0,3.0,2.0,6.0
19230,2.0,80.0,1.0,50.0,0.0,,1.0,350.0,0.0,,2009.0,,,,,,2.0,452302007.0,452302.0,45.0,2.0,3.0,2.0,7.0
19246,1.0,400.0,1.0,180.0,1.0,1300.0,0.0,,0.0,,2009.0,,,,,,1.0,452302008.0,452302.0,45.0,2.0,3.0,2.0,8.0
19247,2.0,150.0,1.0,100.0,0.0,,1.0,800.0,0.0,,2009.0,,,,,,2.0,452302008.0,452302.0,45.0,2.0,3.0,2.0,8.0
19248,3.0,100.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452302008.0,452302.0,45.0,2.0,3.0,2.0,8.0
19267,1.0,300.0,1.0,160.0,1.0,1300.0,0.0,,0.0,,2009.0,,,,,,1.0,452302009.0,452302.0,45.0,2.0,3.0,2.0,9.0
19268,2.0,350.0,1.0,80.0,0.0,,1.0,1000.0,0.0,,2009.0,,,,,,2.0,452302009.0,452302.0,45.0,2.0,3.0,2.0,9.0
19269,3.0,50.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452302009.0,452302.0,45.0,2.0,3.0,2.0,9.0
19290,2.0,100.0,0.0,,0.0,,1.0,600.0,0.0,,2009.0,,,,,,2.0,452302010.0,452302.0,45.0,2.0,3.0,2.0,10.0
19308,1.0,700.0,1.0,100.0,1.0,1500.0,0.0,,0.0,,2009.0,,,,,,1.0,452302011.0,452302.0,45.0,2.0,3.0,2.0,11.0
19309,2.0,180.0,1.0,100.0,0.0,,1.0,500.0,0.0,,2009.0,,,,,,2.0,452302011.0,452302.0,45.0,2.0,3.0,2.0,11.0
19322,2.0,100.0,0.0,,0.0,,1.0,400.0,0.0,,2009.0,,,,,,2.0,452302012.0,452302.0,45.0,2.0,3.0,2.0,12.0
19331,1.0,800.0,0.0,,1.0,1200.0,0.0,,0.0,,2009.0,,,,,,1.0,452302013.0,452302.0,45.0,2.0,3.0,2.0,13.0
19332,2.0,100.0,1.0,100.0,0.0,,1.0,600.0,1.0,150.0,2009.0,,,,,,2.0,452302013.0,452302.0,45.0,2.0,3.0,2.0,13.0
19333,3.0,50.0,1.0,100.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452302013.0,452302.0,45.0,2.0,3.0,2.0,13.0
19354,2.0,-999.0,1.0,-999.0,0.0,,1.0,600.0,1.0,150.0,2009.0,,,,,,2.0,452302015.0,452302.0,45.0,2.0,3.0,2.0,15.0
19370,1.0,600.0,0.0,,1.0,1000.0,0.0,,0.0,,2009.0,,,,,,1.0,452302016.0,452302.0,45.0,2.0,3.0,2.0,16.0
19371,2.0,200.0,0.0,,0.0,,1.0,200.0,0.0,,2009.0,,,,,,2.0,452302016.0,452302.0,45.0,2.0,3.0,2.0,16.0
19398,2.0,130.0,1.0,50.0,0.0,,1.0,500.0,0.0,,2009.0,,,,,,2.0,452302019.0,452302.0,45.0,2.0,3.0,2.0,19.0
19427,2.0,-999.0,1.0,100.0,0.0,,1.0,500.0,0.0,,2009.0,,,,,,2.0,452302041.0,452302.0,45.0,2.0,3.0,2.0,41.0
19433,2.0,200.0,1.0,80.0,0.0,,1.0,500.0,0.0,,2009.0,,,,,,2.0,452302042.0,452302.0,45.0,2.0,3.0,2.0,42.0
19442,2.0,200.0,1.0,100.0,0.0,,1.0,1025.0,0.0,,2009.0,,,,,,2.0,452302043.0,452302.0,45.0,2.0,3.0,2.0,43.0
19463,1.0,1100.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,1.0,452303002.0,452303.0,45.0,2.0,3.0,3.0,2.0
19464,2.0,1000.0,1.0,,1.0,2000.0,1.0,700.0,0.0,,2009.0,,,,,,2.0,452303002.0,452303.0,45.0,2.0,3.0,3.0,2.0
19491,1.0,1000.0,1.0,200.0,1.0,5000.0,0.0,,0.0,,2009.0,,,,,,1.0,452303005.0,452303.0,45.0,2.0,3.0,3.0,5.0
19492,2.0,100.0,0.0,,0.0,,1.0,400.0,1.0,120.0,2009.0,,,,,,2.0,452303005.0,452303.0,45.0,2.0,3.0,3.0,5.0
19508,2.0,100.0,1.0,50.0,0.0,,1.0,600.0,0.0,,2009.0,,,,,,2.0,452303006.0,452303.0,45.0,2.0,3.0,3.0,6.0
19521,1.0,800.0,1.0,500.0,1.0,3600.0,0.0,,0.0,,2009.0,,,,,,1.0,452303007.0,452303.0,45.0,2.0,3.0,3.0,7.0
19522,2.0,300.0,0.0,,1.0,11500.0,1.0,600.0,1.0,500.0,2009.0,,,,,,2.0,452303007.0,452303.0,45.0,2.0,3.0,3.0,7.0
19545,2.0,450.0,1.0,100.0,0.0,,1.0,450.0,0.0,,2009.0,,,,,,2.0,452303009.0,452303.0,45.0,2.0,3.0,3.0,9.0
19556,2.0,500.0,1.0,,1.0,1600.0,0.0,,0.0,,2009.0,,,,,,2.0,452303010.0,452303.0,45.0,2.0,3.0,3.0,10.0
19573,1.0,3000.0,1.0,400.0,1.0,7000.0,0.0,,0.0,,2009.0,,,,,,1.0,452303011.0,452303.0,45.0,2.0,3.0,3.0,11.0
19574,2.0,250.0,1.0,80.0,0.0,,1.0,800.0,0.0,,2009.0,,,,,,2.0,452303011.0,452303.0,45.0,2.0,3.0,3.0,11.0
19575,3.0,100.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452303011.0,452303.0,45.0,2.0,3.0,3.0,11.0
19594,1.0,700.0,1.0,150.0,1.0,2000.0,0.0,,0.0,,2009.0,,,,,,1.0,452303012.0,452303.0,45.0,2.0,3.0,3.0,12.0
19595,2.0,200.0,1.0,100.0,0.0,,1.0,800.0,0.0,,2009.0,,,,,,2.0,452303012.0,452303.0,45.0,2.0,3.0,3.0,12.0
19611,1.0,2000.0,0.0,,1.0,5000.0,0.0,,0.0,,2009.0,,,,,,1.0,452303013.0,452303.0,45.0,2.0,3.0,3.0,13.0
19612,2.0,800.0,0.0,,1.0,1000.0,1.0,400.0,1.0,150.0,2009.0,,,,,,2.0,452303013.0,452303.0,45.0,2.0,3.0,3.0,13.0
19628,1.0,1000.0,1.0,300.0,1.0,3000.0,0.0,,0.0,,2009.0,,,,,,1.0,452303014.0,452303.0,45.0,2.0,3.0,3.0,14.0
19657,2.0,300.0,0.0,,1.0,600.0,1.0,400.0,0.0,,2009.0,,,,,,2.0,452303016.0,452303.0,45.0,2.0,3.0,3.0,16.0
19670,2.0,100.0,1.0,80.0,0.0,,1.0,700.0,0.0,,2009.0,,,,,,2.0,452303017.0,452303.0,45.0,2.0,3.0,3.0,17.0
19671,3.0,30.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452303017.0,452303.0,45.0,2.0,3.0,3.0,17.0
19701,1.0,1800.0,0.0,,1.0,2000.0,0.0,,0.0,,2009.0,,,,,,1.0,452303019.0,452303.0,45.0,2.0,3.0,3.0,19.0
19714,2.0,1010.0,0.0,,0.0,,1.0,400.0,1.0,200.0,2009.0,,,,,,2.0,452303020.0,452303.0,45.0,2.0,3.0,3.0,20.0
19722,1.0,500.0,1.0,-999.0,1.0,1300.0,0.0,,0.0,,2009.0,,,,,,1.0,452303041.0,452303.0,45.0,2.0,3.0,3.0,41.0
19723,2.0,100.0,1.0,-999.0,0.0,,1.0,500.0,0.0,,2009.0,,,,,,2.0,452303041.0,452303.0,45.0,2.0,3.0,3.0,41.0
19736,2.0,200.0,0.0,,0.0,,1.0,700.0,0.0,,2009.0,,,,,,2.0,452303042.0,452303.0,45.0,2.0,3.0,3.0,42.0
19742,2.0,100.0,0.0,,0.0,,1.0,400.0,0.0,,2009.0,,,,,,2.0,452303081.0,452303.0,45.0,2.0,3.0,3.0,81.0
19747,1.0,500.0,0.0,,1.0,1500.0,0.0,,0.0,,2009.0,,,,,,1.0,452303082.0,452303.0,45.0,2.0,3.0,3.0,82.0
19750,1.0,6000.0,1.0,500.0,1.0,10000.0,0.0,,0.0,,2009.0,,,,,,1.0,452303101.0,452303.0,45.0,2.0,3.0,3.0,101.0
19751,2.0,200.0,1.0,80.0,0.0,,1.0,400.0,0.0,,2009.0,,,,,,2.0,452303101.0,452303.0,45.0,2.0,3.0,3.0,101.0
19756,1.0,8000.0,0.0,,1.0,10000.0,0.0,,0.0,,2009.0,,,,,,1.0,452303102.0,452303.0,45.0,2.0,3.0,3.0,102.0
19757,2.0,200.0,0.0,,1.0,300.0,1.0,600.0,1.0,300.0,2009.0,,,,,,2.0,452303102.0,452303.0,45.0,2.0,3.0,3.0,102.0
19786,2.0,300.0,1.0,200.0,0.0,,1.0,700.0,1.0,200.0,2009.0,,,,,,2.0,452304002.0,452304.0,45.0,2.0,3.0,4.0,2.0
19801,2.0,200.0,1.0,150.0,1.0,600.0,1.0,400.0,0.0,,2009.0,,,,,,2.0,452304004.0,452304.0,45.0,2.0,3.0,4.0,4.0
19829,1.0,600.0,1.0,300.0,1.0,-9999.0,0.0,,0.0,,2009.0,,,,,,1.0,452304006.0,452304.0,45.0,2.0,3.0,4.0,6.0
19830,2.0,350.0,1.0,100.0,0.0,,1.0,500.0,1.0,200.0,2009.0,,,,,,2.0,452304006.0,452304.0,45.0,2.0,3.0,4.0,6.0
19858,2.0,400.0,0.0,,0.0,,1.0,800.0,1.0,300.0,2009.0,,,,,,2.0,452304009.0,452304.0,45.0,2.0,3.0,4.0,9.0
19875,2.0,900.0,0.0,,0.0,,1.0,1600.0,1.0,500.0,2009.0,,,,,,2.0,452304010.0,452304.0,45.0,2.0,3.0,4.0,10.0
19876,3.0,16.0,1.0,100.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452304010.0,452304.0,45.0,2.0,3.0,4.0,10.0
19910,2.0,100.0,1.0,50.0,0.0,,1.0,350.0,0.0,,2009.0,,,,,,2.0,452304016.0,452304.0,45.0,2.0,3.0,4.0,16.0
19937,2.0,200.0,1.0,100.0,0.0,,1.0,1000.0,0.0,,2009.0,,,,,,2.0,452304018.0,452304.0,45.0,2.0,3.0,4.0,18.0
19951,1.0,2500.0,1.0,500.0,1.0,4000.0,0.0,,0.0,,2009.0,,,,,,1.0,452304019.0,452304.0,45.0,2.0,3.0,4.0,19.0
19952,2.0,200.0,1.0,80.0,0.0,,1.0,500.0,0.0,,2009.0,,,,,,2.0,452304019.0,452304.0,45.0,2.0,3.0,4.0,19.0
19953,3.0,100.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452304019.0,452304.0,45.0,2.0,3.0,4.0,19.0
19964,2.0,200.0,1.0,80.0,0.0,,1.0,600.0,0.0,,2009.0,,,,,,2.0,452304020.0,452304.0,45.0,2.0,3.0,4.0,20.0
19973,2.0,50.0,1.0,30.0,0.0,,1.0,260.0,0.0,,2009.0,,,,,,2.0,452304041.0,452304.0,45.0,2.0,3.0,4.0,41.0
19974,3.0,2300.0,1.0,600.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452304041.0,452304.0,45.0,2.0,3.0,4.0,41.0
19984,1.0,4000.0,1.0,400.0,1.0,6000.0,0.0,,0.0,,2009.0,,,,,,1.0,452304043.0,452304.0,45.0,2.0,3.0,4.0,43.0
19985,2.0,800.0,1.0,200.0,0.0,,1.0,1000.0,1.0,500.0,2009.0,,,,,,2.0,452304043.0,452304.0,45.0,2.0,3.0,4.0,43.0
19992,2.0,150.0,0.0,,0.0,,1.0,400.0,1.0,200.0,2009.0,,,,,,2.0,452304121.0,452304.0,45.0,2.0,3.0,4.0,121.0
20023,1.0,5000.0,0.0,,0.0,,1.0,-999.0,0.0,,2009.0,,,,,,1.0,452402003.0,452402.0,45.0,2.0,4.0,2.0,3.0
20024,2.0,100.0,1.0,50.0,0.0,,1.0,-999.0,0.0,,2009.0,,,,,,2.0,452402003.0,452402.0,45.0,2.0,4.0,2.0,3.0
20079,1.0,4000.0,0.0,,1.0,20000.0,0.0,,0.0,,2009.0,,,,,,1.0,452402017.0,452402.0,45.0,2.0,4.0,2.0,17.0
20089,2.0,60.0,0.0,,0.0,,1.0,160.0,0.0,,2009.0,,,,,,2.0,452402020.0,452402.0,45.0,2.0,4.0,2.0,20.0
20094,1.0,-999.0,9.0,,1.0,-9999.0,0.0,,0.0,,2009.0,,,,,,1.0,452402101.0,452402.0,45.0,2.0,4.0,2.0,101.0
20100,2.0,100.0,1.0,200.0,0.0,,1.0,700.0,0.0,,2009.0,,,,,,2.0,452403003.0,452403.0,45.0,2.0,4.0,3.0,3.0
20101,3.0,-999.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452403003.0,452403.0,45.0,2.0,4.0,3.0,3.0
20169,2.0,50.0,0.0,,0.0,,1.0,600.0,0.0,,2009.0,,,,,,2.0,452404001.0,452404.0,45.0,2.0,4.0,4.0,1.0
20182,2.0,,0.0,,0.0,,1.0,800.0,0.0,,2009.0,,,,,,2.0,452404002.0,452404.0,45.0,2.0,4.0,4.0,2.0
20196,2.0,100.0,1.0,50.0,0.0,,1.0,250.0,0.0,,2009.0,,,,,,2.0,452404003.0,452404.0,45.0,2.0,4.0,4.0,3.0
20205,2.0,100.0,1.0,300.0,0.0,,1.0,600.0,0.0,,2009.0,,,,,,2.0,452404004.0,452404.0,45.0,2.0,4.0,4.0,4.0
20226,2.0,200.0,1.0,-999.0,0.0,,1.0,-999.0,0.0,,2009.0,,,,,,2.0,452404008.0,452404.0,45.0,2.0,4.0,4.0,8.0
20245,2.0,300.0,1.0,200.0,0.0,,1.0,800.0,1.0,200.0,2009.0,,,,,,2.0,452404010.0,452404.0,45.0,2.0,4.0,4.0,10.0
20260,1.0,500.0,0.0,,1.0,2000.0,0.0,,0.0,,2009.0,,,,,,1.0,452404011.0,452404.0,45.0,2.0,4.0,4.0,11.0
20261,2.0,-999.0,0.0,,1.0,300.0,1.0,200.0,0.0,,2009.0,,,,,,2.0,452404011.0,452404.0,45.0,2.0,4.0,4.0,11.0
20276,2.0,20.0,1.0,15.0,0.0,,1.0,100.0,0.0,,2009.0,,,,,,2.0,452404012.0,452404.0,45.0,2.0,4.0,4.0,12.0
20277,3.0,50.0,1.0,20.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452404012.0,452404.0,45.0,2.0,4.0,4.0,12.0
20300,1.0,500.0,0.0,,1.0,2100.0,0.0,,0.0,,2009.0,,,,,,1.0,452404014.0,452404.0,45.0,2.0,4.0,4.0,14.0
20320,1.0,600.0,1.0,600.0,1.0,1400.0,0.0,,0.0,,2009.0,,,,,,1.0,452404016.0,452404.0,45.0,2.0,4.0,4.0,16.0
20321,2.0,150.0,1.0,100.0,0.0,,1.0,700.0,1.0,150.0,2009.0,,,,,,2.0,452404016.0,452404.0,45.0,2.0,4.0,4.0,16.0
20336,2.0,100.0,1.0,100.0,0.0,,1.0,350.0,1.0,100.0,2009.0,,,,,,2.0,452404017.0,452404.0,45.0,2.0,4.0,4.0,17.0
20354,1.0,520.0,0.0,,1.0,2000.0,0.0,,0.0,,2009.0,,,,,,1.0,452404019.0,452404.0,45.0,2.0,4.0,4.0,19.0
20355,2.0,100.0,0.0,,1.0,200.0,1.0,100.0,0.0,,2009.0,,,,,,2.0,452404019.0,452404.0,45.0,2.0,4.0,4.0,19.0
20368,3.0,50.0,1.0,50.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,452404041.0,452404.0,45.0,2.0,4.0,4.0,41.0
20371,2.0,2000.0,0.0,,1.0,10000.0,1.0,250.0,1.0,250.0,2009.0,,,,,,2.0,452404042.0,452404.0,45.0,2.0,4.0,4.0,42.0
20378,2.0,100.0,1.0,200.0,0.0,,1.0,500.0,1.0,150.0,2009.0,,,,,,2.0,452404043.0,452404.0,45.0,2.0,4.0,4.0,43.0
20384,2.0,,1.0,-999.0,0.0,,1.0,500.0,0.0,,2009.0,,,,,,2.0,452404061.0,452404.0,45.0,2.0,4.0,4.0,61.0
20458,1.0,2000.0,1.0,1500.0,0.0,,1.0,2000.0,1.0,1000.0,2009.0,,,,,,1.0,521107002.0,521107.0,52.0,1.0,1.0,7.0,2.0
20459,2.0,500.0,1.0,500.0,1.0,1000.0,1.0,100.0,0.0,,2009.0,,,,,,2.0,521107002.0,521107.0,52.0,1.0,1.0,7.0,2.0
20460,3.0,300.0,1.0,200.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,521107002.0,521107.0,52.0,1.0,1.0,7.0,2.0
20473,1.0,600.0,1.0,200.0,1.0,300.0,1.0,700.0,0.0,,2009.0,,,,,,1.0,521107005.0,521107.0,52.0,1.0,1.0,7.0,5.0
20474,2.0,200.0,1.0,100.0,1.0,150.0,1.0,150.0,0.0,,2009.0,,,,,,2.0,521107005.0,521107.0,52.0,1.0,1.0,7.0,5.0
20475,3.0,100.0,1.0,50.0,0.0,,0.0,,0.0,,2009.0,,,,,,3.0,521107005.0,521107.0,52.0,1.0,1.0,7.0,5.0
20482,1.0,-999.0,1.0,1000.0,1.0,2000.0,1.0,2000.0,0.0,,2009.0,,,,,,1.0,521107006.0,521107.0,52.0,1.0,1.0,7.0,6.0
20483,2.0,-999.0,1.0,200.0,0.0,,1.0,500.0,0.0,,2009.0,,,,,,2.0,521107006.0,521107.0,52.0,1.0,1.0,7.0,6.0
20488,2.0,200.0,1.0,-999.0,0.0,,1.0,700.0,1.0,200.0,2009.0,,,,,,2.0,521107007.0,521107.0,52.0,1.0,1.0,7.0,7.0
20525,1.0,5300.0,1.0,2000.0,1.0,30000.0,0.0,,0.0,,2009.0,,,,,,1.0,521107014.0,521107.0,52.0,1.0,1.0,7.0,14.0
20526,2.0,500.0,1.0,300.0,0.0,,1.0,300.0,0.0,,2009.0,,,,,,2.0,521107014.0,521107.0,52.0,1.0,1.0,7.0,14.0
20535,1.0,,1.0,-999.0,1.0,2000.0,1.0,2000.0,0.0,,2009.0,,,,,,1.0,521107016.0,521107.0,52.0,1.0,1.0,7.0,16.0
20536,2.0,,1.0,-999.0,0.0,,1.0,800.0,0.0,,2009.0,,,,,,2.0,521107016.0,521107.0,52.0,1.0,1.0,7.0,16.0
