,idind,f2a,f4a,f4b,f4c,f5,f6,f7,f8,f9,f10,wave,f4d,f4,hhid,line,commid,t1,t2,t3,t4,t5
1992,232302008002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232302008.0,2.0,232302.0,23.0,2.0,3.0,2.0,8.0
2008,232302017002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232302017.0,2.0,232302.0,23.0,2.0,3.0,2.0,17.0
2012,232302101001.0,1.0,12.0,1.0,1.0,2.0,,,,,0.0,2009.0,,,232302101.0,1.0,232302.0,23.0,2.0,3.0,2.0,101.0
2013,232302101002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232302101.0,2.0,232302.0,23.0,2.0,3.0,2.0,101.0
2014,232302121002.0,1.0,10.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232302121.0,2.0,232302.0,23.0,2.0,3.0,2.0,121.0
2027,232303007002.0,1.0,8.0,4.0,1.0,2.0,,,,,1.0,2009.0,,,232303007.0,2.0,232303.0,23.0,2.0,3.0,3.0,7.0
2028,232303008002.0,1.0,8.0,5.0,1.0,2.0,,,,,1.0,2009.0,,,232303008.0,2.0,232303.0,23.0,2.0,3.0,3.0,8.0
2029,232303008003.0,1.0,4.0,9.0,-9.0,2.0,,,,,0.0,2009.0,,,232303008.0,3.0,232303.0,23.0,2.0,3.0,3.0,8.0
2041,232303018002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232303018.0,2.0,232303.0,23.0,2.0,3.0,3.0,18.0
2043,232303081002.0,1.0,2.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232303081.0,2.0,232303.0,23.0,2.0,3.0,3.0,81.0
2050,232304001002.0,1.0,8.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,232304001.0,2.0,232304.0,23.0,2.0,3.0,4.0,1.0
2052,232304002001.0,1.0,-9.0,9.0,-9.0,2.0,,,,,0.0,2009.0,,,232304002.0,1.0,232304.0,23.0,2.0,3.0,4.0,2.0
2053,232304002002.0,1.0,-9.0,9.0,-9.0,2.0,,,,,0.0,2009.0,,,232304002.0,2.0,232304.0,23.0,2.0,3.0,4.0,2.0
2054,232304002081.0,1.0,8.0,5.0,1.0,2.0,,,,,1.0,2009.0,,,232304002.0,81.0,232304.0,23.0,2.0,3.0,4.0,2.0
2057,232304005002.0,1.0,8.0,4.0,1.0,2.0,,,,,0.0,2009.0,,,232304005.0,2.0,232304.0,23.0,2.0,3.0,4.0,5.0
2058,232304005003.0,1.0,-9.0,9.0,-9.0,2.0,,,,,0.0,2009.0,,,232304005.0,3.0,232304.0,23.0,2.0,3.0,4.0,5.0
2059,232304005121.0,1.0,8.0,5.0,1.0,2.0,,,,,1.0,2009.0,,,232304005.0,121.0,232304.0,23.0,2.0,3.0,4.0,5.0
2093,232402001002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232402001.0,2.0,232402.0,23.0,2.0,4.0,2.0,1.0
2101,232402004002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232402004.0,2.0,232402.0,23.0,2.0,4.0,2.0,4.0
2104,232402005002.0,1.0,5.0,7.0,4.0,2.0,,,,,1.0,2009.0,,,232402005.0,2.0,232402.0,23.0,2.0,4.0,2.0,5.0
2106,232402006001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232402006.0,1.0,232402.0,23.0,2.0,4.0,2.0,6.0
2108,232402006002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232402006.0,2.0,232402.0,23.0,2.0,4.0,2.0,6.0
2114,232402008002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232402008.0,2.0,232402.0,23.0,2.0,4.0,2.0,8.0
2120,232402010002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232402010.0,2.0,232402.0,23.0,2.0,4.0,2.0,10.0
2128,232402013002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232402013.0,2.0,232402.0,23.0,2.0,4.0,2.0,13.0
2131,232402016001.0,1.0,12.0,7.0,2.0,2.0,,,,,0.0,2009.0,,,232402016.0,1.0,232402.0,23.0,2.0,4.0,2.0,16.0
2136,232402016002.0,1.0,4.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232402016.0,2.0,232402.0,23.0,2.0,4.0,2.0,16.0
2140,232402016081.0,1.0,2.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,232402016.0,81.0,232402.0,23.0,2.0,4.0,2.0,16.0
2149,232402017004.0,1.0,12.0,7.0,4.0,2.0,,,,,1.0,2009.0,,,232402017.0,4.0,232402.0,23.0,2.0,4.0,2.0,17.0
2163,232402020001.0,1.0,12.0,7.0,4.0,2.0,,,,,1.0,2009.0,,,232402020.0,1.0,232402.0,23.0,2.0,4.0,2.0,20.0
2169,232402020002.0,1.0,12.0,7.0,4.0,2.0,,,,,1.0,2009.0,,,232402020.0,2.0,232402.0,23.0,2.0,4.0,2.0,20.0
2178,232402061002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232402061.0,2.0,232402.0,23.0,2.0,4.0,2.0,61.0
2183,232402081002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232402081.0,2.0,232402.0,23.0,2.0,4.0,2.0,81.0
2186,232402102001.0,1.0,3.0,5.0,1.0,2.0,,,,,0.0,2009.0,,,232402102.0,1.0,232402.0,23.0,2.0,4.0,2.0,102.0
2190,232402103002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232402103.0,2.0,232402.0,23.0,2.0,4.0,2.0,103.0
2197,232403001001.0,1.0,12.0,2.0,5.0,2.0,,,,,0.0,2009.0,,,232403001.0,1.0,232403.0,23.0,2.0,4.0,3.0,1.0
2200,232403001002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232403001.0,2.0,232403.0,23.0,2.0,4.0,3.0,1.0
2208,232403003002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232403003.0,2.0,232403.0,23.0,2.0,4.0,3.0,3.0
2214,232403004002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232403004.0,2.0,232403.0,23.0,2.0,4.0,3.0,4.0
2236,232403010002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232403010.0,2.0,232403.0,23.0,2.0,4.0,3.0,10.0
2258,232403062001.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232403062.0,1.0,232403.0,23.0,2.0,4.0,3.0,62.0
2265,232403081002.0,1.0,10.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,232403081.0,2.0,232403.0,23.0,2.0,4.0,3.0,81.0
2275,232403121001.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,232403121.0,1.0,232403.0,23.0,2.0,4.0,3.0,121.0
2276,232403121002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232403121.0,2.0,232403.0,23.0,2.0,4.0,3.0,121.0
2280,232403125001.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232403125.0,1.0,232403.0,23.0,2.0,4.0,3.0,125.0
2281,232403125002.0,1.0,12.0,7.0,2.0,2.0,,,,,0.0,2009.0,,,232403125.0,2.0,232403.0,23.0,2.0,4.0,3.0,125.0
2282,232403126001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232403126.0,1.0,232403.0,23.0,2.0,4.0,3.0,126.0
2283,232403126002.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,232403126.0,2.0,232403.0,23.0,2.0,4.0,3.0,126.0
2284,232403127001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232403127.0,1.0,232403.0,23.0,2.0,4.0,3.0,127.0
2290,232403129001.0,1.0,10.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232403129.0,1.0,232403.0,23.0,2.0,4.0,3.0,129.0
2294,232403130003.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232403130.0,3.0,232403.0,23.0,2.0,4.0,3.0,130.0
2295,232403130004.0,1.0,12.0,7.0,2.0,2.0,,,,,0.0,2009.0,,,232403130.0,4.0,232403.0,23.0,2.0,4.0,3.0,130.0
2296,232403131001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232403131.0,1.0,232403.0,23.0,2.0,4.0,3.0,131.0
2297,232403131002.0,1.0,12.0,7.0,2.0,2.0,,,,,0.0,2009.0,,,232403131.0,2.0,232403.0,23.0,2.0,4.0,3.0,131.0
2300,232404001001.0,1.0,5.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,232404001.0,1.0,232404.0,23.0,2.0,4.0,4.0,1.0
2301,232404001002.0,1.0,5.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,232404001.0,2.0,232404.0,23.0,2.0,4.0,4.0,1.0
2308,232404004001.0,1.0,12.0,7.0,2.0,2.0,,,,,0.0,2009.0,,,232404004.0,1.0,232404.0,23.0,2.0,4.0,4.0,4.0
2313,232404004002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232404004.0,2.0,232404.0,23.0,2.0,4.0,4.0,4.0
2316,232404005002.0,1.0,12.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,232404005.0,2.0,232404.0,23.0,2.0,4.0,4.0,5.0
2320,232404006002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232404006.0,2.0,232404.0,23.0,2.0,4.0,4.0,6.0
2331,232404009002.0,1.0,12.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,232404009.0,2.0,232404.0,23.0,2.0,4.0,4.0,9.0
2344,232404013001.0,1.0,7.0,7.0,2.0,2.0,,,,,0.0,2009.0,,,232404013.0,1.0,232404.0,23.0,2.0,4.0,4.0,13.0
2349,232404013002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232404013.0,2.0,232404.0,23.0,2.0,4.0,4.0,13.0
2359,232404015004.0,1.0,7.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,232404015.0,4.0,232404.0,23.0,2.0,4.0,4.0,15.0
2360,232404015121.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232404015.0,121.0,232404.0,23.0,2.0,4.0,4.0,15.0
2364,232404017001.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,232404017.0,1.0,232404.0,23.0,2.0,4.0,4.0,17.0
2369,232404017002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232404017.0,2.0,232404.0,23.0,2.0,4.0,4.0,17.0
2380,232404019002.0,1.0,12.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,232404019.0,2.0,232404.0,23.0,2.0,4.0,4.0,19.0
2383,232404020001.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232404020.0,1.0,232404.0,23.0,2.0,4.0,4.0,20.0
2386,232404020002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232404020.0,2.0,232404.0,23.0,2.0,4.0,4.0,20.0
2390,232404082002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232404082.0,2.0,232404.0,23.0,2.0,4.0,4.0,82.0
2393,232404083001.0,1.0,4.0,5.0,1.0,2.0,,,,,1.0,2009.0,,,232404083.0,1.0,232404.0,23.0,2.0,4.0,4.0,83.0
2395,232404083002.0,1.0,12.0,7.0,5.0,2.0,,,,,0.0,2009.0,,,232404083.0,2.0,232404.0,23.0,2.0,4.0,4.0,83.0
2397,232404141001.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,232404009.0,4.0,232404.0,23.0,2.0,4.0,4.0,9.0
2509,321203008001.0,1.0,12.0,3.0,1.0,2.0,,,,,0.0,2009.0,,,321203008.0,1.0,321203.0,32.0,1.0,2.0,3.0,8.0
2511,321203008002.0,1.0,12.0,7.0,-9.0,2.0,,,,,1.0,2009.0,,,321203008.0,2.0,321203.0,32.0,1.0,2.0,3.0,8.0
2525,321203011002.0,1.0,12.0,7.0,5.0,2.0,,,,,1.0,2009.0,,,321203011.0,2.0,321203.0,32.0,1.0,2.0,3.0,11.0
2672,322102018001.0,1.0,12.0,7.0,2.0,2.0,,,,,0.0,2009.0,,,322102018.0,1.0,322102.0,32.0,2.0,1.0,2.0,18.0
2680,322102018002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,322102018.0,2.0,322102.0,32.0,2.0,1.0,2.0,18.0
2722,322103001002.0,1.0,12.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,322103001.0,2.0,322103.0,32.0,2.0,1.0,3.0,1.0
2733,322103002002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,322103002.0,2.0,322103.0,32.0,2.0,1.0,3.0,2.0
2743,322103003002.0,1.0,12.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,322103003.0,2.0,322103.0,32.0,2.0,1.0,3.0,3.0
2753,322103005002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,322103005.0,2.0,322103.0,32.0,2.0,1.0,3.0,5.0
2763,322103007002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322103007.0,2.0,322103.0,32.0,2.0,1.0,3.0,7.0
2795,322103013002.0,1.0,4.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322103013.0,2.0,322103.0,32.0,2.0,1.0,3.0,13.0
2807,322103015001.0,1.0,4.0,7.0,4.0,2.0,,,,,1.0,2009.0,,,322103015.0,1.0,322103.0,32.0,2.0,1.0,3.0,15.0
2815,322103015002.0,1.0,4.0,6.0,6.0,2.0,,,,,0.0,2009.0,,,322103015.0,2.0,322103.0,32.0,2.0,1.0,3.0,15.0
2834,322103018002.0,1.0,6.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,322103018.0,2.0,322103.0,32.0,2.0,1.0,3.0,18.0
2840,322103019002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322103019.0,2.0,322103.0,32.0,2.0,1.0,3.0,19.0
2848,322103020002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322103020.0,2.0,322103.0,32.0,2.0,1.0,3.0,20.0
2851,322103121002.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,322103121.0,2.0,322103.0,32.0,2.0,1.0,3.0,121.0
2858,322104004001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322104004.0,1.0,322104.0,32.0,2.0,1.0,4.0,4.0
2863,322104004043.0,1.0,12.0,4.0,2.0,2.0,,,,,1.0,2009.0,,,322104004.0,43.0,322104.0,32.0,2.0,1.0,4.0,4.0
2871,322104006001.0,1.0,12.0,7.0,8.0,2.0,,,,,1.0,2009.0,,,322104006.0,1.0,322104.0,32.0,2.0,1.0,4.0,6.0
2878,322104006002.0,1.0,12.0,7.0,8.0,2.0,,,,,1.0,2009.0,,,322104006.0,2.0,322104.0,32.0,2.0,1.0,4.0,6.0
2891,322104008002.0,1.0,12.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,322104008.0,2.0,322104.0,32.0,2.0,1.0,4.0,8.0
2924,322104016001.0,1.0,8.0,5.0,3.0,2.0,,,,,1.0,2009.0,,,322104016.0,1.0,322104.0,32.0,2.0,1.0,4.0,16.0
2932,322104017001.0,1.0,12.0,6.0,3.0,2.0,,,,,1.0,2009.0,,,322104017.0,1.0,322104.0,32.0,2.0,1.0,4.0,17.0
2939,322104017002.0,1.0,12.0,2.0,2.0,2.0,,,,,1.0,2009.0,,,322104017.0,2.0,322104.0,32.0,2.0,1.0,4.0,17.0
2941,322104018001.0,1.0,1.0,1.0,1.0,2.0,,,,,0.0,2009.0,,,322104018.0,1.0,322104.0,32.0,2.0,1.0,4.0,18.0
2946,322104018002.0,1.0,8.0,2.0,1.0,2.0,,,,,1.0,2009.0,,,322104018.0,2.0,322104.0,32.0,2.0,1.0,4.0,18.0
2965,322104063002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322104063.0,2.0,322104.0,32.0,2.0,1.0,4.0,63.0
2969,322104123002.0,1.0,10.0,2.0,1.0,2.0,,,,,1.0,2009.0,,,322104123.0,2.0,322104.0,32.0,2.0,1.0,4.0,123.0
2987,322202002001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322202002.0,1.0,322202.0,32.0,2.0,2.0,2.0,2.0
3020,322202006002.0,1.0,12.0,1.0,1.0,2.0,,,,,1.0,2009.0,,,322202006.0,2.0,322202.0,32.0,2.0,2.0,2.0,6.0
3036,322202010001.0,1.0,12.0,1.0,1.0,2.0,,,,,0.0,2009.0,,,322202010.0,1.0,322202.0,32.0,2.0,2.0,2.0,10.0
3044,322202010002.0,1.0,12.0,1.0,1.0,2.0,,,,,1.0,2009.0,,,322202010.0,2.0,322202.0,32.0,2.0,2.0,2.0,10.0
3053,322202011002.0,1.0,12.0,1.0,1.0,2.0,,,,,1.0,2009.0,,,322202011.0,2.0,322202.0,32.0,2.0,2.0,2.0,11.0
3077,322202014002.0,1.0,12.0,7.0,-9.0,2.0,,,,,1.0,2009.0,,,322202014.0,2.0,322202.0,32.0,2.0,2.0,2.0,14.0
3081,322202015001.0,1.0,10.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322202015.0,1.0,322202.0,32.0,2.0,2.0,2.0,15.0
3104,322202018002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322202018.0,2.0,322202.0,32.0,2.0,2.0,2.0,18.0
3127,322202020002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322202020.0,2.0,322202.0,32.0,2.0,2.0,2.0,20.0
3140,322202032002.0,1.0,12.0,1.0,1.0,2.0,,,,,1.0,2009.0,,,322202032.0,2.0,322202.0,32.0,2.0,2.0,2.0,32.0
3150,322203001001.0,1.0,12.0,2.0,1.0,2.0,,,,,0.0,2009.0,,,322203001.0,1.0,322203.0,32.0,2.0,2.0,3.0,1.0
3157,322203001002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322203001.0,2.0,322203.0,32.0,2.0,2.0,3.0,1.0
3185,322203003003.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322203003.0,3.0,322203.0,32.0,2.0,2.0,3.0,3.0
3193,322203004001.0,1.0,12.0,2.0,1.0,2.0,,,,,0.0,2009.0,,,322203004.0,1.0,322203.0,32.0,2.0,2.0,3.0,4.0
3202,322203004002.0,1.0,12.0,6.0,1.0,2.0,,,,,1.0,2009.0,,,322203004.0,2.0,322203.0,32.0,2.0,2.0,3.0,4.0
3212,322203005002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322203005.0,2.0,322203.0,32.0,2.0,2.0,3.0,5.0
3238,322203008002.0,1.0,12.0,1.0,1.0,2.0,,,,,1.0,2009.0,,,322203008.0,2.0,322203.0,32.0,2.0,2.0,3.0,8.0
3244,322203009001.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,322203009.0,1.0,322203.0,32.0,2.0,2.0,3.0,9.0
3263,322203010001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322203010.0,1.0,322203.0,32.0,2.0,2.0,3.0,10.0
3272,322203010041.0,1.0,12.0,1.0,1.0,2.0,,,,,1.0,2009.0,,,322203010.0,41.0,322203.0,32.0,2.0,2.0,3.0,10.0
3276,322203010042.0,1.0,12.0,1.0,1.0,2.0,,,,,1.0,2009.0,,,322203010.0,42.0,322203.0,32.0,2.0,2.0,3.0,10.0
3300,322203013002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322203013.0,2.0,322203.0,32.0,2.0,2.0,3.0,13.0
3317,322203014003.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322203014.0,3.0,322203.0,32.0,2.0,2.0,3.0,14.0
3318,322203014081.0,1.0,8.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,322203014.0,81.0,322203.0,32.0,2.0,2.0,3.0,14.0
3321,322203015001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322203015.0,1.0,322203.0,32.0,2.0,2.0,3.0,15.0
3328,322203016001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322203016.0,1.0,322203.0,32.0,2.0,2.0,3.0,16.0
3360,322203019002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322203019.0,2.0,322203.0,32.0,2.0,2.0,3.0,19.0
3370,322203020002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322203020.0,2.0,322203.0,32.0,2.0,2.0,3.0,20.0
3378,322203031003.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322203031.0,3.0,322203.0,32.0,2.0,2.0,3.0,31.0
3380,322203041001.0,1.0,12.0,1.0,1.0,2.0,,,,,1.0,2009.0,,,322203041.0,1.0,322203.0,32.0,2.0,2.0,3.0,41.0
3385,322203041002.0,1.0,12.0,1.0,1.0,2.0,,,,,1.0,2009.0,,,322203041.0,2.0,322203.0,32.0,2.0,2.0,3.0,41.0
3396,322203042002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322203042.0,2.0,322203.0,32.0,2.0,2.0,3.0,42.0
3406,322203062002.0,1.0,12.0,7.0,2.0,2.0,,,,,1.0,2009.0,,,322203062.0,2.0,322203.0,32.0,2.0,2.0,3.0,62.0
3412,322204001001.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,322204001.0,1.0,322204.0,32.0,2.0,2.0,4.0,1.0
3420,322204001002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322204001.0,2.0,322204.0,32.0,2.0,2.0,4.0,1.0
3427,322204002001.0,1.0,12.0,7.0,3.0,2.0,,,,,1.0,2009.0,,,322204002.0,1.0,322204.0,32.0,2.0,2.0,4.0,2.0
3437,322204002002.0,1.0,12.0,7.0,3.0,2.0,,,,,0.0,2009.0,,,322204002.0,2.0,322204.0,32.0,2.0,2.0,4.0,2.0
3455,322204004001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322204004.0,1.0,322204.0,32.0,2.0,2.0,4.0,4.0
3464,322204004002.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,322204004.0,2.0,322204.0,32.0,2.0,2.0,4.0,4.0
3485,322204007002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322204007.0,2.0,322204.0,32.0,2.0,2.0,4.0,7.0
3497,322204010002.0,1.0,12.0,1.0,1.0,2.0,,,,,1.0,2009.0,,,322204010.0,2.0,322204.0,32.0,2.0,2.0,4.0,10.0
3516,322204013002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322204013.0,2.0,322204.0,32.0,2.0,2.0,4.0,13.0
3569,322204041002.0,1.0,12.0,1.0,1.0,2.0,,,,,1.0,2009.0,,,322204041.0,2.0,322204.0,32.0,2.0,2.0,4.0,41.0
3578,322204061002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322204061.0,2.0,322204.0,32.0,2.0,2.0,4.0,61.0
3581,322204062001.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,322204062.0,1.0,322204.0,32.0,2.0,2.0,4.0,62.0
3585,322204062002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322204062.0,2.0,322204.0,32.0,2.0,2.0,4.0,62.0
3592,322204081002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322204081.0,2.0,322204.0,32.0,2.0,2.0,4.0,81.0
3601,322204083002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322204083.0,2.0,322204.0,32.0,2.0,2.0,4.0,83.0
3603,322204121001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322204121.0,1.0,322204.0,32.0,2.0,2.0,4.0,121.0
3606,322204122001.0,1.0,8.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,322204122.0,1.0,322204.0,32.0,2.0,2.0,4.0,122.0
3607,322204122002.0,1.0,10.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322204122.0,2.0,322204.0,32.0,2.0,2.0,4.0,122.0
3609,322204123002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322204123.0,2.0,322204.0,32.0,2.0,2.0,4.0,123.0
3610,322204124001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322204124.0,1.0,322204.0,32.0,2.0,2.0,4.0,124.0
3611,322209003001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322209003.0,1.0,322209.0,32.0,2.0,2.0,9.0,3.0
3612,322209003002.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,322209003.0,2.0,322209.0,32.0,2.0,2.0,9.0,3.0
3640,322302004002.0,1.0,12.0,2.0,2.0,2.0,,,,,1.0,2009.0,,,322302004.0,2.0,322302.0,32.0,2.0,3.0,2.0,4.0
3647,322302005001.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322302005.0,1.0,322302.0,32.0,2.0,3.0,2.0,5.0
3657,322302005002.0,1.0,12.0,3.0,2.0,2.0,,,,,0.0,2009.0,,,322302005.0,2.0,322302.0,32.0,2.0,3.0,2.0,5.0
3662,322302006002.0,1.0,12.0,2.0,1.0,2.0,,,,,1.0,2009.0,,,322302006.0,2.0,322302.0,32.0,2.0,3.0,2.0,6.0
3679,322302008002.0,1.0,2.0,1.0,6.0,2.0,,,,,1.0,2009.0,,,322302008.0,2.0,322302.0,32.0,2.0,3.0,2.0,8.0
3689,322302009002.0,1.0,12.0,2.0,1.0,2.0,,,,,1.0,2009.0,,,322302009.0,2.0,322302.0,32.0,2.0,3.0,2.0,9.0
3703,322302011002.0,1.0,12.0,2.0,1.0,2.0,,,,,1.0,2009.0,,,322302011.0,2.0,322302.0,32.0,2.0,3.0,2.0,11.0
3712,322302012001.0,1.0,12.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,322302012.0,1.0,322302.0,32.0,2.0,3.0,2.0,12.0
3721,322302012002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322302012.0,2.0,322302.0,32.0,2.0,3.0,2.0,12.0
3731,322302013002.0,1.0,12.0,5.0,1.0,2.0,,,,,1.0,2009.0,,,322302013.0,2.0,322302.0,32.0,2.0,3.0,2.0,13.0
3737,322302015001.0,1.0,6.0,1.0,1.0,2.0,,,,,0.0,2009.0,,,322302015.0,1.0,322302.0,32.0,2.0,3.0,2.0,15.0
3743,322302015002.0,1.0,6.0,1.0,1.0,2.0,,,,,1.0,2009.0,,,322302015.0,2.0,322302.0,32.0,2.0,3.0,2.0,15.0
3751,322302016002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322302016.0,2.0,322302.0,32.0,2.0,3.0,2.0,16.0
3759,322302017002.0,1.0,11.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,322302017.0,2.0,322302.0,32.0,2.0,3.0,2.0,17.0
3766,322302019001.0,1.0,10.0,5.0,1.0,2.0,,,,,0.0,2009.0,,,322302019.0,1.0,322302.0,32.0,2.0,3.0,2.0,19.0
