,idind,f2a,f4a,f4b,f4c,f5,f6,f7,f8,f9,f10,wave,f4d,f4,hhid,line,commid,t1,t2,t3,t4,t5
511,212202007001.0,1.0,5.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212202007.0,1.0,212202.0,21.0,2.0,2.0,2.0,7.0
523,212202009002.0,1.0,5.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212202009.0,2.0,212202.0,21.0,2.0,2.0,2.0,9.0
540,212202012002.0,1.0,5.0,2.0,1.0,2.0,,,,,1.0,2009.0,,,212202012.0,2.0,212202.0,21.0,2.0,2.0,2.0,12.0
544,212202013001.0,1.0,2.0,7.0,2.0,2.0,,,,,0.0,2009.0,,,212202013.0,1.0,212202.0,21.0,2.0,2.0,2.0,13.0
554,212202014001.0,1.0,2.0,7.0,1.0,2.0,,,,,0.0,2009.0,,,212202014.0,1.0,212202.0,21.0,2.0,2.0,2.0,14.0
560,212202014002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212202014.0,2.0,212202.0,21.0,2.0,2.0,2.0,14.0
569,212202015002.0,1.0,4.0,5.0,2.0,2.0,,,,,1.0,2009.0,,,212202015.0,2.0,212202.0,21.0,2.0,2.0,2.0,15.0
581,212202016002.0,1.0,4.0,4.0,1.0,2.0,,,,,1.0,2009.0,,,212202016.0,2.0,212202.0,21.0,2.0,2.0,2.0,16.0
583,212202016123.0,1.0,-9.0,9.0,-9.0,2.0,,,,,0.0,2009.0,,,212202016.0,123.0,212202.0,21.0,2.0,2.0,2.0,16.0
592,212202018121.0,1.0,3.0,3.0,2.0,2.0,,,,,1.0,2009.0,,,212202018.0,121.0,212202.0,21.0,2.0,2.0,2.0,18.0
603,212202062001.0,1.0,2.0,7.0,8.0,2.0,,,,,0.0,2009.0,,,212202062.0,1.0,212202.0,21.0,2.0,2.0,2.0,62.0
608,212202062002.0,1.0,6.0,7.0,8.0,2.0,,,,,1.0,2009.0,,,212202062.0,2.0,212202.0,21.0,2.0,2.0,2.0,62.0
610,212202062004.0,1.0,5.0,7.0,8.0,2.0,,,,,1.0,2009.0,,,212202062.0,4.0,212202.0,21.0,2.0,2.0,2.0,62.0
619,212202066002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212202066.0,2.0,212202.0,21.0,2.0,2.0,2.0,66.0
643,212203003002.0,1.0,5.0,3.0,2.0,2.0,,,,,1.0,2009.0,,,212203003.0,2.0,212203.0,21.0,2.0,2.0,3.0,3.0
647,212203003081.0,1.0,1.0,3.0,1.0,2.0,,,,,0.0,2009.0,,,212203003.0,81.0,212203.0,21.0,2.0,2.0,3.0,3.0
663,212203006002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212203006.0,2.0,212203.0,21.0,2.0,2.0,3.0,6.0
677,212203008002.0,1.0,12.0,7.0,1.0,2.0,,,,,1.0,2009.0,,,212203008.0,2.0,212203.0,21.0,2.0,2.0,3.0,8.0
