,l1,l2,l3,l4,l5,l6,l7,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20,l21,l22,l23,l24,l25,l26,l27,l28,l29,l30,l31,l32,l33,l34,l35,l36,l37,l38,l39,l40,l41,l42,l43,l44,l45,l46,l47,l48,l49,l50,l51,l52,l53,l54,l55,l56,l57,l58,l59,l60,l61,l62,l63,l64,l65,l66,l67,l68,l69,l70,l71,l72,l73,l74,l75,l76,l77,l78,l79,l80,l81,l82,l83,l84,l85,l86,l87,l88,l89,l90,l91,l92,l93,l94,l95,l96,l97,l98,l99,l100,l101,l102,l103,l104,l105,l106,l107,l108,l109,l110,l111,l112,l113,l114,l115,l116,l117,l118,l119,l120,l121,l122,l123,l124,l125,l126,l127,l128,l129,l130,l131,l132,l133,l134,l135,l136,l137,l138,l139,l140,l141,l142,l143,l144,l145,l146,l147,l148,l149,l150,wave,l45a,l46a,l48a,l140a,l140b,l140c,l140d,l141a,l141b,l141c,l141d,l142a,l142b,l142c,l142d,l143a,l143b,l143c,l143d,l94a,l99a,l104a,l109a,l114a,l119a,l124a,l129a,l134a,l139a,l144a,l144b,l144c,l144d,l11a,l74a,l75a,l76a,l77a,l78a,l80a,l145a,l145b,l145c,l145d,l145e,l151,l152,l140e,l141e,l142e,l144e,l145f,l143e,l140f,l141f,l142f,l144f,l145g,l143f,l152a,l152b,l140g,l141g,l142g,l143g,l152c,l152d,l8_1,l8_2,l12a,l140h,l141h,l142h,l143h,l153,l152e,l152f,l152g,l152h,l140i,l141i,l142i,l143i,l200,l201,l202,l203,l204,l205,l57b,l58b,l60b,hhid,commid,t1,t2,t3,t4,t5,l1a,l1b,l1c,l2a,l3a,l18a,l18b,l18c,l140j,l141j,l142j,l140k,l141k,l142k,l140l,l140m,l140n,l141l,l141m,l141n,l142l,l142m,l142n,fm,l18p
7912,1.0,,1.0,0.0,5.0,1.0,1.0,,,,,,,,64.0,3.0,10000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,1.0,1.0,,7000.0,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,1500.0,,1.0,1.0,0.0,200.0,,1.0,1.0,0.0,1000.0,,0.0,,,,,1.0,1.0,0.0,200.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,1.0,6.0,,1.0,2.0,0.0,2000.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,6000.0,,0.0,,,232304011.0,232304.0,23.0,2.0,3.0,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
7919,1.0,,1.0,0.0,5.0,1.0,1.0,,,,,,,,56.0,4.0,8500.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,1.0,1.0,,2000.0,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,500.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,100.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,6.0,,1.0,1.0,0.0,300.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,5000.0,,0.0,,,232304012.0,232304.0,23.0,2.0,3.0,4.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
7926,1.0,,1.0,0.0,5.0,1.0,1.0,,,,,,,,40.0,2.0,7000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,1000.0,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,2000.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,1.0,6.0,,0.0,,,,1.0,,,,,0.0,,,,1.0,1.0,0.0,,5000.0,,0.0,,,232304013.0,232304.0,23.0,2.0,3.0,4.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
7938,1.0,,1.0,0.0,5.0,1.0,1.0,,,,,,,,80.0,4.0,30000.0,0.0,,,,1.0,1.0,,70.0,1.0,1.0,,1000.0,0.0,,,,,,1.0,1.0,,4000.0,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,300.0,,1.0,1.0,0.0,100.0,,1.0,1.0,0.0,500.0,,0.0,,,,,1.0,1.0,0.0,50.0,,1.0,1.0,0.0,30.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,1.0,,,1.0,1.0,,,0.0,0.0,,,80.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,6.0,,1.0,2.0,0.0,800.0,1.0,,,,,0.0,,,,1.0,0.0,,,,,0.0,,,232304016.0,232304.0,23.0,2.0,3.0,4.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,
7949,1.0,,1.0,0.0,5.0,1.0,1.0,,,,,,,,110.0,4.0,70000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,500.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,90.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,70.0,,,0.0,,,,,,2.0,6.0,,0.0,,,,1.0,,,,,0.0,,,,1.0,1.0,0.0,,33000.0,,0.0,,,232304018.0,232304.0,23.0,2.0,3.0,4.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,
7954,2.0,,1.0,0.0,5.0,1.0,1.0,,,,,,,,40.0,2.0,30000.0,0.0,,,,1.0,1.0,,50.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,500.0,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,30.0,,1.0,1.0,1.0,50.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,2.0,6.0,,1.0,1.0,1.0,1500.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,20000.0,,0.0,,,232304019.0,232304.0,23.0,2.0,3.0,4.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
7961,1.0,,1.0,0.0,5.0,1.0,1.0,,,,,,,,96.0,4.0,30000.0,0.0,,,,1.0,1.0,,100.0,0.0,,,,0.0,,,,,,1.0,1.0,,5000.0,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,1.0,1.0,0.0,20.0,,,,,,,1.0,1.0,0.0,500.0,,1.0,1.0,0.0,300.0,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,100.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,1.0,1.0,0.0,1000.0,,,1.0,6.0,,1.0,1.0,0.0,800.0,1.0,,,,,0.0,,,,1.0,0.0,,,,,0.0,,,232304020.0,232304.0,23.0,2.0,3.0,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
7965,1.0,,1.0,0.0,6.0,1.0,1.0,,,,,,,,65.0,4.0,2000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,1.0,1.0,,3000.0,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,300.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,6.0,1.0,,0.0,,,,1.0,,,,,0.0,,,,1.0,0.0,,,,,0.0,,,232304081.0,232304.0,23.0,2.0,3.0,4.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,
7970,1.0,,1.0,0.0,6.0,1.0,1.0,,,,,,,,56.0,2.0,6000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,300.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,1.0,2.0,,0.0,,,,1.0,,,,,0.0,,,,1.0,0.0,,,,,0.0,,,232304082.0,232304.0,23.0,2.0,3.0,4.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,
7973,3.0,,1.0,0.0,5.0,1.0,1.0,,,,,,,,76.0,3.0,12000.0,0.0,,,,1.0,1.0,,200.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,2000.0,,1.0,1.0,0.0,500.0,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,200.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,6.0,2.0,,1.0,1.0,1.0,300.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,7000.0,,0.0,,,232304101.0,232304.0,23.0,2.0,3.0,4.0,101.0,,,,,,,,,,,,,,,,,,,,,,,,,
7976,1.0,,1.0,0.0,5.0,1.0,1.0,,,,,,,,85.0,3.0,40000.0,0.0,,,,1.0,1.0,,80.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,300.0,,1.0,1.0,0.0,100.0,,1.0,1.0,1.0,1500.0,,0.0,,,,,1.0,1.0,0.0,80.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,70.0,,,0.0,,,,,,2.0,6.0,,1.0,1.0,0.0,550.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,25000.0,,0.0,,,232304121.0,232304.0,23.0,2.0,3.0,4.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,
7979,1.0,,1.0,0.0,5.0,1.0,1.0,,,,,,,,80.0,3.0,12000.0,0.0,,,,0.0,,,,1.0,1.0,,4000.0,0.0,,,,,,1.0,1.0,,12300.0,0.0,,,,,,,,0.0,,,,0.0,,,,1.0,1.0,,500.0,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,1000.0,,1.0,1.0,0.0,500.0,,1.0,1.0,0.0,2000.0,,0.0,,,,,1.0,1.0,0.0,100.0,,1.0,1.0,0.0,50.0,,,,,,,1.0,1.0,0.0,300.0,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,2500.0,1.0,1.0,0.0,,,100.0,,,1.0,1.0,0.0,220.0,,,1.0,6.0,,1.0,2.0,1.0,1000.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,6000.0,,0.0,,,232304122.0,232304.0,23.0,2.0,3.0,4.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,
7997,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,90.0,6.0,160000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,3600.0,,1.0,1.0,0.0,500.0,,1.0,1.0,0.0,3000.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,2400.0,,,,,,,,2009.0,,,,1.0,1.0,0.0,,1.0,1.0,,,0.0,0.0,,,300.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,5600.0,1.0,1.0,0.0,,,50.0,,,1.0,1.0,0.0,200.0,,,2.0,4.0,,1.0,2.0,0.0,1500.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,20000.0,,0.0,,,232401001.0,232401.0,23.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
8007,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,86.0,5.0,200000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,2000.0,,1.0,1.0,0.0,2400.0,,1.0,1.0,0.0,2000.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,4600.0,1.0,1.0,0.0,,,50.0,,,0.0,,,,,,2.0,4.0,,1.0,1.0,0.0,1000.0,1.0,,,,,1.0,1.0,0.0,1000.0,1.0,1.0,0.0,,170000.0,,0.0,,,232401003.0,232401.0,23.0,2.0,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
8014,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,70.0,4.0,120000.0,0.0,,,,1.0,1.0,,50.0,1.0,1.0,,600.0,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,600.0,,1.0,1.0,0.0,200.0,,1.0,1.0,0.0,900.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,50.0,,,0.0,,,,,,2.0,4.0,,1.0,2.0,0.0,800.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,49800.0,,0.0,,,232401004.0,232401.0,23.0,2.0,4.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
8019,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,74.0,5.0,140000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,2600.0,,1.0,1.0,0.0,2000.0,,1.0,1.0,0.0,2500.0,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,100.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,0.0,0.0,0.0,,250.0,200.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,4500.0,1.0,1.0,0.0,,,20.0,,,1.0,1.0,0.0,200.0,,,2.0,4.0,,1.0,1.0,0.0,800.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,20000.0,,0.0,,,232401005.0,232401.0,23.0,2.0,4.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
8025,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,105.0,5.0,150000.0,0.0,,,,1.0,1.0,,200.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,1000.0,,1.0,1.0,0.0,500.0,,1.0,1.0,0.0,15000.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,1.0,1.0,0.0,,1.0,1.0,,,0.0,0.0,,,900.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,5000.0,1.0,1.0,0.0,,,50.0,,,0.0,,,,,,2.0,4.0,,1.0,2.0,0.0,1000.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,90000.0,,0.0,,,232401006.0,232401.0,23.0,2.0,4.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
8031,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,73.0,5.0,120000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,1.0,1.0,0.0,6000.0,,,,,,,1.0,1.0,0.0,1500.0,,1.0,1.0,0.0,100.0,,1.0,1.0,0.0,1500.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,3000.0,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,0.0,,,11000.0,1.0,1.0,0.0,,,20.0,,,1.0,1.0,0.0,200.0,,,2.0,,,1.0,3.0,0.0,2400.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,50000.0,,0.0,,,232401007.0,232401.0,23.0,2.0,4.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
8038,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,60.0,4.0,190000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,300.0,,1.0,1.0,0.0,400.0,,1.0,1.0,0.0,700.0,,1.0,1.0,0.0,200.0,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,80.0,,,0.0,,,,,,4.0,2.0,,1.0,2.0,0.0,900.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,100000.0,,0.0,,,232401008.0,232401.0,23.0,2.0,4.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
8044,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,90.0,4.0,140000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,700.0,,1.0,1.0,0.0,300.0,,1.0,1.0,0.0,1000.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,3800.0,1.0,1.0,0.0,,,50.0,,,0.0,,,,,,2.0,4.0,,1.0,2.0,0.0,600.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,70000.0,,0.0,,,232401009.0,232401.0,23.0,2.0,4.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
8050,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,60.0,4.0,190000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,300.0,,1.0,1.0,0.0,400.0,,1.0,1.0,0.0,700.0,,1.0,1.0,0.0,200.0,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,80.0,,,0.0,,,,,,4.0,2.0,,1.0,2.0,0.0,400.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,100000.0,,0.0,,,232401010.0,232401.0,23.0,2.0,4.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
8056,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,130.0,4.0,260000.0,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,,220000.0,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,1.0,1.0,0.0,5000.0,,,,,,,1.0,1.0,0.0,9000.0,,1.0,1.0,0.0,2800.0,,1.0,1.0,0.0,4000.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,3240.0,,,,,,,,2009.0,,,,1.0,1.0,0.0,,1.0,1.0,,,0.0,0.0,,,240.0,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,6400.0,0.0,,,,,,,,1.0,1.0,0.0,200.0,,,2.0,4.0,,1.0,2.0,0.0,3000.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,10000.0,,0.0,,,232401011.0,232401.0,23.0,2.0,4.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
8061,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,70.0,4.0,120000.0,0.0,,,,1.0,1.0,,800.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,500.0,,1.0,1.0,0.0,300.0,,1.0,1.0,0.0,800.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,150.0,,,0.0,,,,,,2.0,4.0,,1.0,2.0,0.0,500.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,39000.0,,0.0,,,232401012.0,232401.0,23.0,2.0,4.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
8067,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,75.0,5.0,190000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,1000.0,,1.0,1.0,0.0,400.0,,1.0,1.0,0.0,700.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,0.0,1.0,0.0,,,1.0,,,,0.0,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,100.0,,,0.0,,,,,,4.0,2.0,,1.0,2.0,0.0,1000.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,80000.0,,0.0,,,232401013.0,232401.0,23.0,2.0,4.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
