,l1,l2,l3,l4,l5,l6,l7,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,l20,l21,l22,l23,l24,l25,l26,l27,l28,l29,l30,l31,l32,l33,l34,l35,l36,l37,l38,l39,l40,l41,l42,l43,l44,l45,l46,l47,l48,l49,l50,l51,l52,l53,l54,l55,l56,l57,l58,l59,l60,l61,l62,l63,l64,l65,l66,l67,l68,l69,l70,l71,l72,l73,l74,l75,l76,l77,l78,l79,l80,l81,l82,l83,l84,l85,l86,l87,l88,l89,l90,l91,l92,l93,l94,l95,l96,l97,l98,l99,l100,l101,l102,l103,l104,l105,l106,l107,l108,l109,l110,l111,l112,l113,l114,l115,l116,l117,l118,l119,l120,l121,l122,l123,l124,l125,l126,l127,l128,l129,l130,l131,l132,l133,l134,l135,l136,l137,l138,l139,l140,l141,l142,l143,l144,l145,l146,l147,l148,l149,l150,wave,l45a,l46a,l48a,l140a,l140b,l140c,l140d,l141a,l141b,l141c,l141d,l142a,l142b,l142c,l142d,l143a,l143b,l143c,l143d,l94a,l99a,l104a,l109a,l114a,l119a,l124a,l129a,l134a,l139a,l144a,l144b,l144c,l144d,l11a,l74a,l75a,l76a,l77a,l78a,l80a,l145a,l145b,l145c,l145d,l145e,l151,l152,l140e,l141e,l142e,l144e,l145f,l143e,l140f,l141f,l142f,l144f,l145g,l143f,l152a,l152b,l140g,l141g,l142g,l143g,l152c,l152d,l8_1,l8_2,l12a,l140h,l141h,l142h,l143h,l153,l152e,l152f,l152g,l152h,l140i,l141i,l142i,l143i,l200,l201,l202,l203,l204,l205,l57b,l58b,l60b,hhid,commid,t1,t2,t3,t4,t5,l1a,l1b,l1c,l2a,l3a,l18a,l18b,l18c,l140j,l141j,l142j,l140k,l141k,l142k,l140l,l140m,l140n,l141l,l141m,l141n,l142l,l142m,l142n,fm,l18p
1090,2.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,61.0,2.0,200000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,1.0,2000.0,,1.0,1.0,0.0,2000.0,,1.0,1.0,0.0,2000.0,,0.0,,,,,0.0,,,,,1.0,2.0,0.0,200.0,,,,,,,1.0,1.0,1.0,2000.0,,,,,,,,2009.0,,,,1.0,1.0,0.0,,1.0,1.0,,,0.0,1.0,,,2000.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,3200.0,1.0,1.0,1.0,,,400.0,,,1.0,1.0,1.0,500.0,,,2.0,5.0,,1.0,1.0,0.0,100.0,0.0,,,,,0.0,,,,1.0,1.0,0.0,,20000.0,,0.0,,,211101067.0,211101.0,21.0,1.0,1.0,1.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,
1095,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,36.0,1.0,14000.0,0.0,,,,1.0,2.0,,200.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,100.0,,1.0,1.0,0.0,20.0,,1.0,1.0,1.0,2000.0,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,20.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,0.0,0.0,0.0,,200.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,-9999.0,,,1.0,1.0,1.0,50.0,,,5.0,2.0,,0.0,,,,1.0,,,,,0.0,,,,1.0,1.0,0.0,,8000.0,,0.0,,,211101068.0,211101.0,21.0,1.0,1.0,1.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,
1101,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,40.0,1.0,160000.0,0.0,,,,1.0,2.0,,100.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,200.0,,1.0,1.0,0.0,200.0,,1.0,1.0,1.0,1500.0,,0.0,,,,,1.0,1.0,0.0,50.0,,1.0,1.0,0.0,50.0,,,,,,,1.0,1.0,0.0,50.0,,,,,,,,2009.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,0.0,0.0,0.0,,200.0,80.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,1000.0,1.0,1.0,0.0,,,-9999.0,,,1.0,1.0,0.0,200.0,,,5.0,2.0,,1.0,3.0,0.0,500.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,12000.0,,0.0,,,211101069.0,211101.0,21.0,1.0,1.0,1.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,
1106,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,40.0,1.0,150000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,1.0,1500.0,,1.0,1.0,0.0,800.0,,1.0,1.0,1.0,1000.0,,0.0,,,,,0.0,,,,,1.0,1.0,0.0,80.0,,,,,,,0.0,,,,,,,,,,,2009.0,,,,1.0,1.0,0.0,,1.0,1.0,,,0.0,1.0,,,300.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,100.0,,,1.0,2.0,0.0,2000.0,,,4.0,,,0.0,,,,0.0,,,,,0.0,,,,1.0,1.0,0.0,,8000.0,,0.0,,,211101070.0,211101.0,21.0,1.0,1.0,1.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,
1112,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,34.0,1.0,100000.0,0.0,,,,1.0,1.0,,20.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,1.0,1000.0,,1.0,1.0,0.0,800.0,,1.0,1.0,0.0,1000.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,1.0,1.0,0.0,,1.0,1.0,,,0.0,0.0,,,100.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,1000.0,1.0,1.0,0.0,,,20.0,,,1.0,1.0,0.0,100.0,,,5.0,2.0,,1.0,2.0,0.0,100.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,10000.0,,0.0,,,211101071.0,211101.0,21.0,1.0,1.0,1.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,
1117,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,40.0,1.0,110000.0,0.0,,,,1.0,3.0,,300.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,1.0,1.0,0.0,3000.0,,,,,,,1.0,1.0,0.0,500.0,,1.0,1.0,0.0,500.0,,1.0,1.0,0.0,2000.0,,0.0,,,,,1.0,1.0,0.0,30.0,,0.0,,,,,,,,,,1.0,1.0,0.0,1000.0,,,,,,,,2009.0,,,,1.0,1.0,0.0,,1.0,1.0,,,1.0,0.0,,,300.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,500.0,1.0,1.0,0.0,,,-9999.0,,,1.0,1.0,0.0,100.0,,,5.0,2.0,,1.0,2.0,0.0,2400.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,10000.0,,0.0,,,211101081.0,211101.0,21.0,1.0,1.0,1.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,,
1122,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,60.0,2.0,200000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,1000.0,,1.0,1.0,0.0,800.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,1.0,1.0,0.0,,1.0,1.0,,,0.0,0.0,,,700.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,4.0,1.0,,1.0,1.0,0.0,1000.0,1.0,,,,,0.0,,,,1.0,0.0,,,,,0.0,,,211101082.0,211101.0,21.0,1.0,1.0,1.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,
1126,2.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,40.0,1.0,150000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,2200.0,,1.0,1.0,0.0,1000.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,0.0,0.0,0.0,,300.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,1.0,0.0,,,50.0,,,1.0,1.0,0.0,300.0,,,4.0,2.0,,0.0,,,,1.0,,,,,0.0,,,,1.0,1.0,0.0,,14000.0,,0.0,,,211101083.0,211101.0,21.0,1.0,1.0,1.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,
1129,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,36.0,1.0,120000.0,0.0,,,,1.0,2.0,,300.0,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,1.0,0.0,900.0,,0.0,,,,,1.0,1.0,0.0,980.0,,0.0,,,,,1.0,1.0,0.0,100.0,,0.0,,,,,,,,,,1.0,1.0,0.0,2800.0,,,,,,,,2009.0,,,,1.0,1.0,0.0,,1.0,1.0,,,0.0,0.0,,,200.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,2300.0,1.0,1.0,0.0,,,90.0,,,1.0,1.0,0.0,200.0,,,5.0,2.0,,1.0,2.0,0.0,200.0,1.0,,,,,0.0,,,,1.0,1.0,0.0,,11250.0,,0.0,,,211101121.0,211101.0,21.0,1.0,1.0,1.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,
1130,1.0,,5.0,1.0,1.0,1.0,1.0,,,,,,,,60.0,1.0,300000.0,0.0,,,,0.0,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,0.0,,,,0.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,,,,1.0,,,,,,,,,0.0,,,,,,,,,,1.0,2.0,0.0,1000.0,,1.0,1.0,0.0,200.0,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,2009.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,0.0,0.0,,100.0,20.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,200.0,1.0,1.0,0.0,,,-9999.0,,,0.0,,,,,,5.0,2.0,,1.0,1.0,0.0,200.0,2.0,,,,,0.0,,,,1.0,1.0,0.0,,15000.0,,0.0,,,211101122.0,211101.0,21.0,1.0,1.0,1.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,
