,idind,d2a,d3a,d3b,d3c,e2a,e4a,e4b,e4c,e5,e6,e7,e8,e9,e10,wave,source,e4d,e4,d3d,d3,hhid,line,commid,t1,t2,t3,t4,t5
5210,232204004001.0,1.0,3.0,5.0,2.0,1.0,3.0,7.0,12.0,2.0,,,,,1.0,2009.0,3.0,,,,,232204004.0,1.0,232204.0,23.0,2.0,2.0,4.0,4.0
5214,232204004002.0,1.0,12.0,4.0,3.0,1.0,5.0,6.0,5.0,2.0,,,,,0.0,2009.0,3.0,,,,,232204004.0,2.0,232204.0,23.0,2.0,2.0,4.0,4.0
5220,232204005001.0,0.0,,,,1.0,5.0,4.0,8.0,2.0,,,,,1.0,2009.0,1.0,,,,,232204005.0,1.0,232204.0,23.0,2.0,2.0,4.0,5.0
5225,232204005002.0,0.0,,,,1.0,5.0,4.0,8.0,2.0,,,,,0.0,2009.0,1.0,,,,,232204005.0,2.0,232204.0,23.0,2.0,2.0,4.0,5.0
5235,232204007001.0,0.0,,,,1.0,5.0,7.0,7.0,2.0,,,,,1.0,2009.0,1.0,,,,,232204007.0,1.0,232204.0,23.0,2.0,2.0,4.0,7.0
5239,232204007002.0,0.0,,,,1.0,5.0,7.0,4.0,2.0,,,,,0.0,2009.0,1.0,,,,,232204007.0,2.0,232204.0,23.0,2.0,2.0,4.0,7.0
5245,232204008001.0,0.0,,,,1.0,6.0,7.0,8.0,2.0,,,,,1.0,2009.0,1.0,,,,,232204008.0,1.0,232204.0,23.0,2.0,2.0,4.0,8.0
5250,232204008002.0,0.0,,,,1.0,5.0,5.0,6.0,2.0,,,,,0.0,2009.0,1.0,,,,,232204008.0,2.0,232204.0,23.0,2.0,2.0,4.0,8.0
5255,232204009001.0,0.0,,,,1.0,6.0,4.0,4.0,2.0,,,,,1.0,2009.0,1.0,,,,,232204009.0,1.0,232204.0,23.0,2.0,2.0,4.0,9.0
5278,232204013001.0,0.0,,,,1.0,5.0,5.0,8.0,2.0,,,,,1.0,2009.0,1.0,,,,,232204013.0,1.0,232204.0,23.0,2.0,2.0,4.0,13.0
5282,232204013002.0,0.0,,,,1.0,5.0,5.0,8.0,2.0,,,,,0.0,2009.0,1.0,,,,,232204013.0,2.0,232204.0,23.0,2.0,2.0,4.0,13.0
5286,232204014001.0,0.0,,,,1.0,3.0,5.0,8.0,2.0,,,,,1.0,2009.0,1.0,,,,,232204014.0,1.0,232204.0,23.0,2.0,2.0,4.0,14.0
5301,232204016001.0,1.0,4.0,4.0,2.0,1.0,6.0,5.0,6.0,2.0,,,,,1.0,2009.0,3.0,,,,,232204016.0,1.0,232204.0,23.0,2.0,2.0,4.0,16.0
5306,232204016002.0,1.0,4.0,4.0,2.0,1.0,3.0,7.0,5.0,2.0,,,,,0.0,2009.0,3.0,,,,,232204016.0,2.0,232204.0,23.0,2.0,2.0,4.0,16.0
5315,232204018001.0,0.0,,,,1.0,3.0,6.0,9.0,2.0,,,,,1.0,2009.0,1.0,,,,,232204018.0,1.0,232204.0,23.0,2.0,2.0,4.0,18.0
5321,232204018002.0,0.0,,,,1.0,3.0,7.0,10.0,2.0,,,,,0.0,2009.0,1.0,,,,,232204018.0,2.0,232204.0,23.0,2.0,2.0,4.0,18.0
5326,232204019002.0,0.0,,,,1.0,3.0,1.0,3.0,2.0,,,,,1.0,2009.0,1.0,,,,,232204019.0,2.0,232204.0,23.0,2.0,2.0,4.0,19.0
5331,232204020001.0,0.0,,,,1.0,3.0,7.0,10.0,2.0,,,,,1.0,2009.0,1.0,,,,,232204020.0,1.0,232204.0,23.0,2.0,2.0,4.0,20.0
5348,232204088001.0,1.0,4.0,3.0,2.0,1.0,4.0,5.0,13.0,2.0,,,,,1.0,2009.0,3.0,,,,,232204088.0,1.0,232204.0,23.0,2.0,2.0,4.0,88.0
5352,232204088002.0,1.0,4.0,7.0,12.0,1.0,3.0,7.0,10.0,2.0,,,,,0.0,2009.0,3.0,,,,,232204088.0,2.0,232204.0,23.0,2.0,2.0,4.0,88.0
5362,232302002001.0,0.0,,,,1.0,6.0,3.0,3.0,2.0,,,,,1.0,2009.0,1.0,,,,,232302002.0,1.0,232302.0,23.0,2.0,3.0,2.0,2.0
5371,232302003001.0,0.0,,,,1.0,6.0,3.0,3.0,2.0,,,,,1.0,2009.0,1.0,,,,,232302003.0,1.0,232302.0,23.0,2.0,3.0,2.0,3.0
5375,232302003002.0,1.0,6.0,2.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232302003.0,2.0,232302.0,23.0,2.0,3.0,2.0,3.0
5380,232302004001.0,0.0,,,,1.0,6.0,3.0,4.0,2.0,,,,,1.0,2009.0,1.0,,,,,232302004.0,1.0,232302.0,23.0,2.0,3.0,2.0,4.0
5389,232302005001.0,0.0,,,,1.0,6.0,3.0,4.0,2.0,,,,,1.0,2009.0,1.0,,,,,232302005.0,1.0,232302.0,23.0,2.0,3.0,2.0,5.0
5410,232302007002.0,1.0,6.0,2.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232302007.0,2.0,232302.0,23.0,2.0,3.0,2.0,7.0
5422,232302008002.0,1.0,6.0,1.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232302008.0,2.0,232302.0,23.0,2.0,3.0,2.0,8.0
5432,232302010001.0,0.0,,,,1.0,6.0,2.0,2.0,2.0,,,,,1.0,2009.0,1.0,,,,,232302010.0,1.0,232302.0,23.0,2.0,3.0,2.0,10.0
5437,232302010002.0,1.0,6.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,,,,,0.0,2009.0,3.0,,,,,232302010.0,2.0,232302.0,23.0,2.0,3.0,2.0,10.0
5442,232302011001.0,0.0,,,,1.0,6.0,3.0,3.0,2.0,,,,,1.0,2009.0,1.0,,,,,232302011.0,1.0,232302.0,23.0,2.0,3.0,2.0,11.0
5448,232302011002.0,0.0,,,,1.0,6.0,3.0,3.0,2.0,,,,,0.0,2009.0,1.0,,,,,232302011.0,2.0,232302.0,23.0,2.0,3.0,2.0,11.0
5455,232302012001.0,0.0,,,,1.0,6.0,3.0,3.0,2.0,,,,,1.0,2009.0,1.0,,,,,232302012.0,1.0,232302.0,23.0,2.0,3.0,2.0,12.0
5461,232302012002.0,0.0,,,,1.0,6.0,3.0,3.0,2.0,,,,,0.0,2009.0,1.0,,,,,232302012.0,2.0,232302.0,23.0,2.0,3.0,2.0,12.0
5469,232302013001.0,0.0,,,,1.0,6.0,3.0,4.0,2.0,,,,,1.0,2009.0,1.0,,,,,232302013.0,1.0,232302.0,23.0,2.0,3.0,2.0,13.0
5474,232302013003.0,0.0,,,,1.0,6.0,3.0,5.0,2.0,,,,,0.0,2009.0,1.0,,,,,232302013.0,3.0,232302.0,23.0,2.0,3.0,2.0,13.0
5480,232302014001.0,0.0,,,,1.0,6.0,4.0,3.0,2.0,,,,,1.0,2009.0,1.0,,,,,232302014.0,1.0,232302.0,23.0,2.0,3.0,2.0,14.0
5487,232302014002.0,0.0,,,,1.0,6.0,3.0,3.0,2.0,,,,,0.0,2009.0,1.0,,,,,232302014.0,2.0,232302.0,23.0,2.0,3.0,2.0,14.0
5493,232302015001.0,0.0,,,,1.0,6.0,3.0,3.0,2.0,,,,,1.0,2009.0,1.0,,,,,232302015.0,1.0,232302.0,23.0,2.0,3.0,2.0,15.0
5499,232302015002.0,0.0,,,,1.0,6.0,3.0,3.0,2.0,,,,,0.0,2009.0,1.0,,,,,232302015.0,2.0,232302.0,23.0,2.0,3.0,2.0,15.0
5501,232302015003.0,1.0,6.0,1.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232302015.0,3.0,232302.0,23.0,2.0,3.0,2.0,15.0
5510,232302017001.0,0.0,,,,1.0,7.0,3.0,4.0,2.0,,,,,1.0,2009.0,1.0,,,,,232302017.0,1.0,232302.0,23.0,2.0,3.0,2.0,17.0
5515,232302017002.0,0.0,,,,1.0,7.0,3.0,4.0,2.0,,,,,0.0,2009.0,1.0,,,,,232302017.0,2.0,232302.0,23.0,2.0,3.0,2.0,17.0
5523,232302018001.0,0.0,,,,1.0,6.0,3.0,4.0,2.0,,,,,1.0,2009.0,1.0,,,,,232302018.0,1.0,232302.0,23.0,2.0,3.0,2.0,18.0
5529,232302018002.0,0.0,,,,1.0,6.0,3.0,4.0,2.0,,,,,0.0,2009.0,1.0,,,,,232302018.0,2.0,232302.0,23.0,2.0,3.0,2.0,18.0
5535,232302019001.0,0.0,,,,1.0,6.0,3.0,4.0,2.0,,,,,1.0,2009.0,1.0,,,,,232302019.0,1.0,232302.0,23.0,2.0,3.0,2.0,19.0
5542,232302019002.0,1.0,6.0,1.0,2.0,1.0,6.0,3.0,4.0,2.0,,,,,0.0,2009.0,3.0,,,,,232302019.0,2.0,232302.0,23.0,2.0,3.0,2.0,19.0
5549,232302020001.0,0.0,,,,1.0,6.0,3.0,4.0,2.0,,,,,1.0,2009.0,1.0,,,,,232302020.0,1.0,232302.0,23.0,2.0,3.0,2.0,20.0
5558,232302081001.0,0.0,,,,1.0,6.0,3.0,4.0,2.0,,,,,1.0,2009.0,1.0,,,,,232302081.0,1.0,232302.0,23.0,2.0,3.0,2.0,81.0
5561,232302081002.0,1.0,6.0,2.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232302081.0,2.0,232302.0,23.0,2.0,3.0,2.0,81.0
5565,232302082001.0,1.0,6.0,2.0,1.0,1.0,6.0,4.0,3.0,2.0,,,,,1.0,2009.0,3.0,,,,,232302082.0,1.0,232302.0,23.0,2.0,3.0,2.0,82.0
5567,232302082002.0,1.0,4.0,2.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232302082.0,2.0,232302.0,23.0,2.0,3.0,2.0,82.0
5570,232302101002.0,1.0,6.0,1.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232302101.0,2.0,232302.0,23.0,2.0,3.0,2.0,101.0
5571,232302121001.0,0.0,,,,1.0,7.0,3.0,4.0,2.0,,,,,1.0,2009.0,1.0,,,,,232302121.0,1.0,232302.0,23.0,2.0,3.0,2.0,121.0
5574,232302121002.0,1.0,6.0,1.0,1.0,1.0,7.0,3.0,4.0,2.0,,,,,0.0,2009.0,3.0,,,,,232302121.0,2.0,232302.0,23.0,2.0,3.0,2.0,121.0
5595,232303002001.0,0.0,,,,1.0,6.0,3.0,3.0,2.0,,,,,1.0,2009.0,1.0,,,,,232303002.0,1.0,232303.0,23.0,2.0,3.0,3.0,2.0
5611,232303003002.0,0.0,,,,1.0,6.0,4.0,3.0,2.0,,,,,1.0,2009.0,1.0,,,,,232303003.0,2.0,232303.0,23.0,2.0,3.0,3.0,3.0
5618,232303004001.0,0.0,,,,1.0,6.0,3.0,3.0,2.0,,,,,1.0,2009.0,1.0,,,,,232303004.0,1.0,232303.0,23.0,2.0,3.0,3.0,4.0
5628,232303005001.0,0.0,,,,1.0,6.0,2.0,3.0,2.0,,,,,1.0,2009.0,1.0,,,,,232303005.0,1.0,232303.0,23.0,2.0,3.0,3.0,5.0
5641,232303007001.0,1.0,4.0,1.0,1.0,1.0,6.0,3.0,4.0,2.0,,,,,1.0,2009.0,3.0,,,,,232303007.0,1.0,232303.0,23.0,2.0,3.0,3.0,7.0
5646,232303007002.0,1.0,6.0,2.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232303007.0,2.0,232303.0,23.0,2.0,3.0,3.0,7.0
5652,232303008001.0,1.0,6.0,9.0,-9.0,1.0,6.0,3.0,4.0,2.0,,,,,1.0,2009.0,3.0,,,,,232303008.0,1.0,232303.0,23.0,2.0,3.0,3.0,8.0
5657,232303008002.0,1.0,6.0,2.0,-9.0,1.0,6.0,3.0,3.0,2.0,,,,,0.0,2009.0,3.0,,,,,232303008.0,2.0,232303.0,23.0,2.0,3.0,3.0,8.0
5658,232303008003.0,1.0,-9.0,9.0,-9.0,1.0,4.0,2.0,2.0,2.0,,,,,0.0,2009.0,3.0,,,,,232303008.0,3.0,232303.0,23.0,2.0,3.0,3.0,8.0
5708,232303014002.0,1.0,6.0,1.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232303014.0,2.0,232303.0,23.0,2.0,3.0,3.0,14.0
5713,232303015001.0,0.0,,,,1.0,6.0,3.0,3.0,2.0,,,,,1.0,2009.0,1.0,,,,,232303015.0,1.0,232303.0,23.0,2.0,3.0,3.0,15.0
5720,232303015002.0,0.0,,,,1.0,12.0,3.0,2.0,2.0,,,,,0.0,2009.0,1.0,,,,,232303015.0,2.0,232303.0,23.0,2.0,3.0,3.0,15.0
5724,232303015003.0,0.0,,,,1.0,6.0,3.0,3.0,2.0,,,,,0.0,2009.0,1.0,,,,,232303015.0,3.0,232303.0,23.0,2.0,3.0,3.0,15.0
5730,232303016001.0,0.0,,,,1.0,6.0,3.0,2.0,2.0,,,,,1.0,2009.0,1.0,,,,,232303016.0,1.0,232303.0,23.0,2.0,3.0,3.0,16.0
5736,232303016002.0,0.0,,,,1.0,6.0,3.0,2.0,2.0,,,,,0.0,2009.0,1.0,,,,,232303016.0,2.0,232303.0,23.0,2.0,3.0,3.0,16.0
5750,232303018002.0,1.0,6.0,2.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232303018.0,2.0,232303.0,23.0,2.0,3.0,3.0,18.0
5757,232303020001.0,1.0,6.0,1.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232303020.0,1.0,232303.0,23.0,2.0,3.0,3.0,20.0
5762,232303020002.0,1.0,6.0,1.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232303020.0,2.0,232303.0,23.0,2.0,3.0,3.0,20.0
5766,232303081001.0,1.0,6.0,1.0,1.0,1.0,6.0,3.0,3.0,2.0,,,,,1.0,2009.0,3.0,,,,,232303081.0,1.0,232303.0,23.0,2.0,3.0,3.0,81.0
5768,232303081002.0,1.0,6.0,1.0,1.0,1.0,6.0,2.0,2.0,2.0,,,,,0.0,2009.0,3.0,,,,,232303081.0,2.0,232303.0,23.0,2.0,3.0,3.0,81.0
5770,232303101001.0,1.0,5.0,2.0,1.0,1.0,6.0,3.0,3.0,2.0,,,,,1.0,2009.0,3.0,,,,,232303101.0,1.0,232303.0,23.0,2.0,3.0,3.0,101.0
5773,232303101002.0,1.0,5.0,1.0,1.0,1.0,6.0,3.0,3.0,2.0,,,,,0.0,2009.0,3.0,,,,,232303101.0,2.0,232303.0,23.0,2.0,3.0,3.0,101.0
5775,232303121001.0,1.0,6.0,1.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232303121.0,1.0,232303.0,23.0,2.0,3.0,3.0,121.0
5777,232303121002.0,1.0,6.0,1.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232303121.0,2.0,232303.0,23.0,2.0,3.0,3.0,121.0
5779,232303122001.0,1.0,6.0,9.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232303122.0,1.0,232303.0,23.0,2.0,3.0,3.0,122.0
5780,232303122002.0,1.0,6.0,9.0,-9.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232303122.0,2.0,232303.0,23.0,2.0,3.0,3.0,122.0
5792,232304001001.0,1.0,6.0,2.0,1.0,1.0,6.0,3.0,5.0,2.0,,,,,1.0,2009.0,3.0,,,,,232304001.0,1.0,232304.0,23.0,2.0,3.0,4.0,1.0
5797,232304001002.0,1.0,6.0,3.0,1.0,1.0,6.0,3.0,3.0,2.0,,,,,0.0,2009.0,3.0,,,,,232304001.0,2.0,232304.0,23.0,2.0,3.0,4.0,1.0
5805,232304002002.0,1.0,5.0,4.0,1.0,1.0,6.0,3.0,4.0,2.0,,,,,0.0,2009.0,3.0,,,,,232304002.0,2.0,232304.0,23.0,2.0,3.0,4.0,2.0
5810,232304002081.0,1.0,6.0,4.0,1.0,1.0,6.0,3.0,3.0,2.0,,,,,0.0,2009.0,3.0,,,,,232304002.0,81.0,232304.0,23.0,2.0,3.0,4.0,2.0
5822,232304003002.0,0.0,,,,1.0,6.0,4.0,2.0,2.0,,,,,0.0,2009.0,1.0,,,,,232304003.0,2.0,232304.0,23.0,2.0,3.0,4.0,3.0
5833,232304005001.0,1.0,4.0,2.0,1.0,1.0,4.0,4.0,6.0,2.0,,,,,1.0,2009.0,3.0,,,,,232304005.0,1.0,232304.0,23.0,2.0,3.0,4.0,5.0
5840,232304005002.0,1.0,6.0,9.0,-9.0,1.0,6.0,2.0,4.0,2.0,,,,,0.0,2009.0,3.0,,,,,232304005.0,2.0,232304.0,23.0,2.0,3.0,4.0,5.0
5844,232304005003.0,1.0,-9.0,9.0,-9.0,1.0,6.0,3.0,6.0,2.0,,,,,0.0,2009.0,3.0,,,,,232304005.0,3.0,232304.0,23.0,2.0,3.0,4.0,5.0
5846,232304005121.0,1.0,5.0,3.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232304005.0,121.0,232304.0,23.0,2.0,3.0,4.0,5.0
5857,232304007001.0,0.0,,,,1.0,6.0,3.0,2.0,2.0,,,,,1.0,2009.0,1.0,,,,,232304007.0,1.0,232304.0,23.0,2.0,3.0,4.0,7.0
5862,232304007002.0,1.0,6.0,1.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232304007.0,2.0,232304.0,23.0,2.0,3.0,4.0,7.0
5866,232304008001.0,0.0,,,,1.0,6.0,3.0,2.0,2.0,,,,,1.0,2009.0,1.0,,,,,232304008.0,1.0,232304.0,23.0,2.0,3.0,4.0,8.0
5879,232304010001.0,0.0,,,,1.0,6.0,3.0,2.0,2.0,,,,,1.0,2009.0,1.0,,,,,232304010.0,1.0,232304.0,23.0,2.0,3.0,4.0,10.0
5887,232304011001.0,0.0,,,,1.0,6.0,3.0,3.0,2.0,,,,,1.0,2009.0,1.0,,,,,232304011.0,1.0,232304.0,23.0,2.0,3.0,4.0,11.0
5894,232304011002.0,1.0,6.0,1.0,2.0,1.0,6.0,2.0,3.0,2.0,,,,,1.0,2009.0,3.0,,,,,232304011.0,2.0,232304.0,23.0,2.0,3.0,4.0,11.0
5901,232304012001.0,0.0,,,,1.0,6.0,3.0,4.0,2.0,,,,,1.0,2009.0,1.0,,,,,232304012.0,1.0,232304.0,23.0,2.0,3.0,4.0,12.0
5907,232304012002.0,1.0,6.0,1.0,1.0,1.0,6.0,3.0,4.0,2.0,,,,,0.0,2009.0,3.0,,,,,232304012.0,2.0,232304.0,23.0,2.0,3.0,4.0,12.0
5916,232304013002.0,1.0,6.0,1.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232304013.0,2.0,232304.0,23.0,2.0,3.0,4.0,13.0
5933,232304016001.0,0.0,,,,1.0,6.0,3.0,3.0,2.0,,,,,1.0,2009.0,1.0,,,,,232304016.0,1.0,232304.0,23.0,2.0,3.0,4.0,16.0
5940,232304016002.0,0.0,,,,1.0,6.0,3.0,3.0,2.0,,,,,0.0,2009.0,1.0,,,,,232304016.0,2.0,232304.0,23.0,2.0,3.0,4.0,16.0
5961,232304019001.0,0.0,,,,1.0,6.0,2.0,3.0,2.0,,,,,1.0,2009.0,1.0,,,,,232304019.0,1.0,232304.0,23.0,2.0,3.0,4.0,19.0
5967,232304019002.0,0.0,,,,1.0,6.0,3.0,3.0,2.0,,,,,0.0,2009.0,1.0,,,,,232304019.0,2.0,232304.0,23.0,2.0,3.0,4.0,19.0
5978,232304020003.0,0.0,,,,1.0,6.0,3.0,4.0,2.0,,,,,1.0,2009.0,1.0,,,,,232304020.0,3.0,232304.0,23.0,2.0,3.0,4.0,20.0
5981,232304020081.0,0.0,,,,1.0,6.0,3.0,4.0,2.0,,,,,0.0,2009.0,1.0,,,,,232304020.0,81.0,232304.0,23.0,2.0,3.0,4.0,20.0
5985,232304081001.0,0.0,,,,1.0,6.0,2.0,3.0,2.0,,,,,1.0,2009.0,1.0,,,,,232304081.0,1.0,232304.0,23.0,2.0,3.0,4.0,81.0
5990,232304081002.0,1.0,6.0,2.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232304081.0,2.0,232304.0,23.0,2.0,3.0,4.0,81.0
5991,232304082001.0,0.0,,,,1.0,6.0,3.0,2.0,2.0,,,,,1.0,2009.0,1.0,,,,,232304082.0,1.0,232304.0,23.0,2.0,3.0,4.0,82.0
5994,232304101002.0,1.0,6.0,1.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232304101.0,2.0,232304.0,23.0,2.0,3.0,4.0,101.0
5996,232304121001.0,0.0,,,,1.0,6.0,3.0,5.0,2.0,,,,,1.0,2009.0,1.0,,,,,232304121.0,1.0,232304.0,23.0,2.0,3.0,4.0,121.0
5999,232304121002.0,0.0,,,,1.0,6.0,3.0,4.0,2.0,,,,,0.0,2009.0,1.0,,,,,232304121.0,2.0,232304.0,23.0,2.0,3.0,4.0,121.0
6001,232304122001.0,0.0,,,,1.0,8.0,4.0,5.0,2.0,,,,,1.0,2009.0,1.0,,,,,232304122.0,1.0,232304.0,23.0,2.0,3.0,4.0,122.0
6004,232304122002.0,0.0,,,,1.0,8.0,4.0,5.0,2.0,,,,,0.0,2009.0,1.0,,,,,232304122.0,2.0,232304.0,23.0,2.0,3.0,4.0,122.0
6027,232402001002.0,1.0,1.0,3.0,3.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232402001.0,2.0,232402.0,23.0,2.0,4.0,2.0,1.0
6042,232402004001.0,1.0,2.0,5.0,7.0,1.0,3.0,7.0,10.0,2.0,,,,,1.0,2009.0,3.0,,,,,232402004.0,1.0,232402.0,23.0,2.0,4.0,2.0,4.0
6048,232402004002.0,1.0,1.0,4.0,8.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232402004.0,2.0,232402.0,23.0,2.0,4.0,2.0,4.0
6050,232402004003.0,1.0,5.0,1.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232402004.0,3.0,232402.0,23.0,2.0,4.0,2.0,4.0
6053,232402004004.0,1.0,1.0,5.0,7.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232402004.0,4.0,232402.0,23.0,2.0,4.0,2.0,4.0
6058,232402005001.0,0.0,,,,1.0,2.0,7.0,8.0,2.0,,,,,1.0,2009.0,1.0,,,,,232402005.0,1.0,232402.0,23.0,2.0,4.0,2.0,5.0
6064,232402005002.0,0.0,,,,1.0,2.0,5.0,6.0,2.0,,,,,1.0,2009.0,1.0,,,,,232402005.0,2.0,232402.0,23.0,2.0,4.0,2.0,5.0
6066,232402006001.0,0.0,,,,1.0,3.0,4.0,9.0,2.0,,,,,1.0,2009.0,1.0,,,,,232402006.0,1.0,232402.0,23.0,2.0,4.0,2.0,6.0
6077,232402007002.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,7.0,2.0,,,,,1.0,2009.0,3.0,,,,,232402007.0,2.0,232402.0,23.0,2.0,4.0,2.0,7.0
6083,232402008001.0,1.0,1.0,5.0,8.0,1.0,2.0,7.0,10.0,2.0,,,,,1.0,2009.0,3.0,,,,,232402008.0,1.0,232402.0,23.0,2.0,4.0,2.0,8.0
6088,232402008002.0,1.0,1.0,7.0,6.0,1.0,2.0,7.0,10.0,2.0,,,,,0.0,2009.0,3.0,,,,,232402008.0,2.0,232402.0,23.0,2.0,4.0,2.0,8.0
6097,232402010001.0,1.0,2.0,3.0,6.0,1.0,3.0,7.0,10.0,2.0,,,,,1.0,2009.0,3.0,,,,,232402010.0,1.0,232402.0,23.0,2.0,4.0,2.0,10.0
6104,232402010002.0,1.0,1.0,3.0,8.0,1.0,3.0,7.0,10.0,2.0,,,,,0.0,2009.0,3.0,,,,,232402010.0,2.0,232402.0,23.0,2.0,4.0,2.0,10.0
6111,232402011002.0,1.0,2.0,2.0,4.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232402011.0,2.0,232402.0,23.0,2.0,4.0,2.0,11.0
6119,232402012001.0,0.0,,,,1.0,2.0,7.0,11.0,2.0,,,,,1.0,2009.0,1.0,,,,,232402012.0,1.0,232402.0,23.0,2.0,4.0,2.0,12.0
6124,232402012002.0,1.0,2.0,3.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232402012.0,2.0,232402.0,23.0,2.0,4.0,2.0,12.0
6128,232402013002.0,1.0,3.0,2.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232402013.0,2.0,232402.0,23.0,2.0,4.0,2.0,13.0
6138,232402015002.0,0.0,,,,1.0,3.0,3.0,10.0,2.0,,,,,1.0,2009.0,1.0,,,,,232402015.0,2.0,232402.0,23.0,2.0,4.0,2.0,15.0
6144,232402016001.0,0.0,,,,1.0,2.0,4.0,8.0,2.0,,,,,1.0,2009.0,1.0,,,,,232402016.0,1.0,232402.0,23.0,2.0,4.0,2.0,16.0
6150,232402016002.0,1.0,2.0,3.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232402016.0,2.0,232402.0,23.0,2.0,4.0,2.0,16.0
6155,232402016003.0,1.0,1.0,2.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232402016.0,3.0,232402.0,23.0,2.0,4.0,2.0,16.0
6156,232402016081.0,1.0,1.0,7.0,8.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232402016.0,81.0,232402.0,23.0,2.0,4.0,2.0,16.0
6164,232402017003.0,1.0,6.0,3.0,3.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232402017.0,3.0,232402.0,23.0,2.0,4.0,2.0,17.0
6182,232402019001.0,1.0,3.0,5.0,3.0,1.0,3.0,5.0,8.0,2.0,,,,,1.0,2009.0,3.0,,,,,232402019.0,1.0,232402.0,23.0,2.0,4.0,2.0,19.0
6188,232402019002.0,1.0,3.0,5.0,8.0,1.0,3.0,7.0,8.0,1.0,0.0,,0.0,,0.0,2009.0,3.0,,,,,232402019.0,2.0,232402.0,23.0,2.0,4.0,2.0,19.0
6199,232402020002.0,1.0,2.0,3.0,5.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232402020.0,2.0,232402.0,23.0,2.0,4.0,2.0,20.0
6209,232402061002.0,1.0,1.0,2.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232402061.0,2.0,232402.0,23.0,2.0,4.0,2.0,61.0
6215,232402081002.0,1.0,4.0,3.0,4.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232402081.0,2.0,232402.0,23.0,2.0,4.0,2.0,81.0
6222,232402102001.0,1.0,1.0,7.0,6.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232402102.0,1.0,232402.0,23.0,2.0,4.0,2.0,102.0
6230,232402103002.0,1.0,2.0,2.0,1.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232402103.0,2.0,232402.0,23.0,2.0,4.0,2.0,103.0
6244,232403001001.0,1.0,2.0,3.0,2.0,0.0,,,,,,,,,,2009.0,2.0,,,,,232403001.0,1.0,232403.0,23.0,2.0,4.0,3.0,1.0
6248,232403001002.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,10.0,2.0,,,,,0.0,2009.0,3.0,,,,,232403001.0,2.0,232403.0,23.0,2.0,4.0,3.0,1.0
6253,232403001003.0,0.0,,,,1.0,3.0,3.0,10.0,2.0,,,,,1.0,2009.0,1.0,,,,,232403001.0,3.0,232403.0,23.0,2.0,4.0,3.0,1.0
6256,232403001081.0,0.0,,,,1.0,3.0,6.0,10.0,2.0,,,,,0.0,2009.0,1.0,,,,,232403001.0,81.0,232403.0,23.0,2.0,4.0,3.0,1.0
6266,232403003001.0,0.0,,,,1.0,4.0,3.0,10.0,2.0,,,,,1.0,2009.0,1.0,,,,,232403003.0,1.0,232403.0,23.0,2.0,4.0,3.0,3.0
6273,232403003002.0,1.0,6.0,9.0,2.0,1.0,4.0,3.0,10.0,2.0,,,,,0.0,2009.0,3.0,,,,,232403003.0,2.0,232403.0,23.0,2.0,4.0,3.0,3.0
