,idind,k2,k3,k4,k5,k6,k7,k7b,k7c,k12,k13,k13b,k13c,wave,k7d,k3a,k5a,k7a,k13a,k8,k9,k10,k11,hhid,line,commid,t1,t2,t3,t4,t5,k6a,k6b
2447,211101003002.0,1.0,70.0,1.0,90.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211101003.0,2.0,211101.0,21.0,1.0,1.0,1.0,3.0,,
2497,211101008002.0,1.0,30.0,1.0,150.0,1.0,30.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,211101008.0,2.0,211101.0,21.0,1.0,1.0,1.0,8.0,,
2510,211101008005.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211101008.0,5.0,211101.0,21.0,1.0,1.0,1.0,8.0,,
2517,211101008021.0,1.0,88.0,1.0,21.0,1.0,30.0,1.0,10.0,0.0,,0.0,,2009.0,,,,,,,,,,211101008.0,21.0,211101.0,21.0,1.0,1.0,1.0,8.0,,
2520,211101008061.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211101008.0,61.0,211101.0,21.0,1.0,1.0,1.0,8.0,,
2533,211101010001.0,1.0,60.0,1.0,90.0,1.0,60.0,1.0,30.0,1.0,2.0,0.0,,2009.0,,,,,,,,,,211101010.0,1.0,211101.0,21.0,1.0,1.0,1.0,10.0,,
2544,211101010003.0,0.0,,1.0,10.0,1.0,30.0,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211101010.0,3.0,211101.0,21.0,1.0,1.0,1.0,10.0,,
2560,211101012001.0,1.0,40.0,1.0,30.0,1.0,30.0,0.0,,1.0,42.0,0.0,,2009.0,,,,,,,,,,211101012.0,1.0,211101.0,21.0,1.0,1.0,1.0,12.0,,
2569,211101012002.0,0.0,,1.0,120.0,1.0,30.0,1.0,30.0,1.0,42.0,0.0,,2009.0,,,,,,,,,,211101012.0,2.0,211101.0,21.0,1.0,1.0,1.0,12.0,,
2582,211101013002.0,1.0,40.0,1.0,30.0,1.0,40.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211101013.0,2.0,211101.0,21.0,1.0,1.0,1.0,13.0,,
2609,211101015001.0,1.0,10.0,1.0,60.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211101015.0,1.0,211101.0,21.0,1.0,1.0,1.0,15.0,,
2618,211101015002.0,1.0,30.0,1.0,60.0,1.0,60.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211101015.0,2.0,211101.0,21.0,1.0,1.0,1.0,15.0,,
2641,211101017001.0,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211101017.0,1.0,211101.0,21.0,1.0,1.0,1.0,17.0,,
2650,211101017002.0,1.0,40.0,1.0,90.0,1.0,10.0,1.0,60.0,1.0,12.0,0.0,,2009.0,,,,,,,,,,211101017.0,2.0,211101.0,21.0,1.0,1.0,1.0,17.0,,
2661,211101017004.0,1.0,88.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211101017.0,4.0,211101.0,21.0,1.0,1.0,1.0,17.0,,
2696,211101062001.0,0.0,,1.0,100.0,0.0,,0.0,,1.0,4.0,0.0,,2009.0,,,,,,,,,,211101062.0,1.0,211101.0,21.0,1.0,1.0,1.0,62.0,,
2700,211101062002.0,1.0,30.0,1.0,120.0,1.0,60.0,1.0,120.0,1.0,5.0,0.0,,2009.0,,,,,,,,,,211101062.0,2.0,211101.0,21.0,1.0,1.0,1.0,62.0,,
2705,211101062003.0,1.0,30.0,0.0,,0.0,,0.0,,1.0,2.0,0.0,,2009.0,,,,,,,,,,211101062.0,3.0,211101.0,21.0,1.0,1.0,1.0,62.0,,
2713,211101064001.0,0.0,,1.0,90.0,1.0,30.0,1.0,10.0,0.0,,0.0,,2009.0,,,,,,,,,,211101064.0,1.0,211101.0,21.0,1.0,1.0,1.0,64.0,,
2718,211101064002.0,1.0,180.0,1.0,60.0,1.0,60.0,1.0,20.0,1.0,98.0,0.0,,2009.0,,,,,,,,,,211101064.0,2.0,211101.0,21.0,1.0,1.0,1.0,64.0,,
2735,211101066002.0,1.0,30.0,1.0,90.0,1.0,20.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,211101066.0,2.0,211101.0,21.0,1.0,1.0,1.0,66.0,,
2741,211101067001.0,1.0,60.0,1.0,120.0,0.0,,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211101067.0,1.0,211101.0,21.0,1.0,1.0,1.0,67.0,,
2746,211101067002.0,1.0,60.0,1.0,60.0,1.0,10.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211101067.0,2.0,211101.0,21.0,1.0,1.0,1.0,67.0,,
2750,211101068001.0,0.0,,0.0,,0.0,,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211101068.0,1.0,211101.0,21.0,1.0,1.0,1.0,68.0,,
2756,211101068002.0,1.0,30.0,1.0,90.0,1.0,60.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211101068.0,2.0,211101.0,21.0,1.0,1.0,1.0,68.0,,
2762,211101069001.0,1.0,120.0,1.0,60.0,1.0,60.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211101069.0,1.0,211101.0,21.0,1.0,1.0,1.0,69.0,,
2767,211101069002.0,1.0,30.0,0.0,,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211101069.0,2.0,211101.0,21.0,1.0,1.0,1.0,69.0,,
2772,211101069003.0,1.0,20.0,0.0,,1.0,20.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,211101069.0,3.0,211101.0,21.0,1.0,1.0,1.0,69.0,,
2774,211101070001.0,1.0,30.0,1.0,30.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211101070.0,1.0,211101.0,21.0,1.0,1.0,1.0,70.0,,
2778,211101070002.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211101070.0,2.0,211101.0,21.0,1.0,1.0,1.0,70.0,,
2783,211101071001.0,1.0,30.0,1.0,90.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211101071.0,1.0,211101.0,21.0,1.0,1.0,1.0,71.0,,
2788,211101071002.0,1.0,20.0,1.0,30.0,1.0,20.0,1.0,10.0,0.0,,0.0,,2009.0,,,,,,,,,,211101071.0,2.0,211101.0,21.0,1.0,1.0,1.0,71.0,,
2793,211101081001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211101081.0,1.0,211101.0,21.0,1.0,1.0,1.0,81.0,,
2798,211101081002.0,1.0,60.0,1.0,60.0,1.0,20.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211101081.0,2.0,211101.0,21.0,1.0,1.0,1.0,81.0,,
2803,211101082001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211101082.0,1.0,211101.0,21.0,1.0,1.0,1.0,82.0,,
2807,211101082002.0,1.0,30.0,1.0,60.0,1.0,30.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,211101082.0,2.0,211101.0,21.0,1.0,1.0,1.0,82.0,,
2812,211101083001.0,1.0,30.0,0.0,,0.0,,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211101083.0,1.0,211101.0,21.0,1.0,1.0,1.0,83.0,,
2817,211101083002.0,1.0,30.0,1.0,150.0,1.0,45.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211101083.0,2.0,211101.0,21.0,1.0,1.0,1.0,83.0,,
2821,211101121001.0,0.0,,0.0,,0.0,,1.0,120.0,0.0,,0.0,,2009.0,,,,,,,,,,211101121.0,1.0,211101.0,21.0,1.0,1.0,1.0,121.0,,
2822,211101121002.0,1.0,120.0,1.0,240.0,1.0,120.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211101121.0,2.0,211101.0,21.0,1.0,1.0,1.0,121.0,,
2823,211101122001.0,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211101122.0,1.0,211101.0,21.0,1.0,1.0,1.0,122.0,,
2826,211101122002.0,1.0,60.0,1.0,120.0,1.0,60.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211101122.0,2.0,211101.0,21.0,1.0,1.0,1.0,122.0,,
2829,211101122003.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211101122.0,3.0,211101.0,21.0,1.0,1.0,1.0,122.0,,
2840,211102001001.0,1.0,120.0,1.0,30.0,1.0,60.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211102001.0,1.0,211102.0,21.0,1.0,1.0,2.0,1.0,,
2844,211102001002.0,1.0,60.0,1.0,90.0,1.0,120.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211102001.0,2.0,211102.0,21.0,1.0,1.0,2.0,1.0,,
2871,211102003001.0,1.0,60.0,1.0,120.0,1.0,10.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211102003.0,1.0,211102.0,21.0,1.0,1.0,2.0,3.0,,
2876,211102003002.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211102003.0,2.0,211102.0,21.0,1.0,1.0,2.0,3.0,,
2911,211102006001.0,0.0,,0.0,,0.0,,1.0,20.0,1.0,14.0,0.0,,2009.0,,,,,,,,,,211102006.0,1.0,211102.0,21.0,1.0,1.0,2.0,6.0,,
2917,211102006002.0,1.0,60.0,1.0,90.0,1.0,60.0,1.0,60.0,1.0,20.0,0.0,,2009.0,,,,,,,,,,211102006.0,2.0,211102.0,21.0,1.0,1.0,2.0,6.0,,
3033,211102014001.0,1.0,120.0,1.0,70.0,1.0,120.0,1.0,90.0,0.0,,0.0,,2009.0,,,,,,,,,,211102014.0,1.0,211102.0,21.0,1.0,1.0,2.0,14.0,,
3039,211102014002.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211102014.0,2.0,211102.0,21.0,1.0,1.0,2.0,14.0,,
3046,211102015001.0,1.0,90.0,1.0,60.0,1.0,20.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211102015.0,1.0,211102.0,21.0,1.0,1.0,2.0,15.0,,
3053,211102015002.0,0.0,,0.0,,1.0,20.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211102015.0,2.0,211102.0,21.0,1.0,1.0,2.0,15.0,,
3078,211102017001.0,1.0,60.0,1.0,60.0,1.0,10.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,211102017.0,1.0,211102.0,21.0,1.0,1.0,2.0,17.0,,
3082,211102017002.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211102017.0,2.0,211102.0,21.0,1.0,1.0,2.0,17.0,,
3087,211102017003.0,1.0,30.0,1.0,60.0,1.0,30.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,211102017.0,3.0,211102.0,21.0,1.0,1.0,2.0,17.0,,
3104,211102018003.0,1.0,30.0,1.0,15.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211102018.0,3.0,211102.0,21.0,1.0,1.0,2.0,18.0,,
3107,211102018082.0,1.0,80.0,1.0,60.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211102018.0,82.0,211102.0,21.0,1.0,1.0,2.0,18.0,,
3108,211102018083.0,0.0,,0.0,,0.0,,1.0,10.0,0.0,,0.0,,2009.0,,,,,,,,,,211102018.0,83.0,211102.0,21.0,1.0,1.0,2.0,18.0,,
3114,211102019001.0,1.0,20.0,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211102019.0,1.0,211102.0,21.0,1.0,1.0,2.0,19.0,,
3121,211102019002.0,0.0,,1.0,180.0,1.0,60.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211102019.0,2.0,211102.0,21.0,1.0,1.0,2.0,19.0,,
3151,211102061001.0,1.0,20.0,1.0,20.0,1.0,10.0,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,211102061.0,1.0,211102.0,21.0,1.0,1.0,2.0,61.0,,
3192,211102068002.0,1.0,80.0,1.0,180.0,1.0,10.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211102068.0,2.0,211102.0,21.0,1.0,1.0,2.0,68.0,,
3195,211102068003.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211102068.0,3.0,211102.0,21.0,1.0,1.0,2.0,68.0,,
3197,211102068004.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211102068.0,4.0,211102.0,21.0,1.0,1.0,2.0,68.0,,
3210,211102071082.0,0.0,,0.0,,0.0,,0.0,,1.0,2.0,0.0,,2009.0,,,,,,,,,,211102071.0,82.0,211102.0,21.0,1.0,1.0,2.0,71.0,,
3213,211102071083.0,1.0,60.0,1.0,180.0,1.0,20.0,1.0,20.0,1.0,10.0,0.0,,2009.0,,,,,,,,,,211102071.0,83.0,211102.0,21.0,1.0,1.0,2.0,71.0,,
3214,211102082001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211102082.0,1.0,211102.0,21.0,1.0,1.0,2.0,82.0,,
3217,211102082002.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211102082.0,2.0,211102.0,21.0,1.0,1.0,2.0,82.0,,
3220,211102083001.0,1.0,30.0,1.0,60.0,1.0,10.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211102083.0,1.0,211102.0,21.0,1.0,1.0,2.0,83.0,,
3223,211102083002.0,1.0,60.0,1.0,90.0,1.0,30.0,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,211102083.0,2.0,211102.0,21.0,1.0,1.0,2.0,83.0,,
3233,211102121001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211102121.0,1.0,211102.0,21.0,1.0,1.0,2.0,121.0,,
3235,211102121002.0,1.0,60.0,1.0,60.0,1.0,120.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211102121.0,2.0,211102.0,21.0,1.0,1.0,2.0,121.0,,
3237,211102122001.0,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,-99.0,2009.0,,,,,,,,,,211102122.0,1.0,211102.0,21.0,1.0,1.0,2.0,122.0,,
3238,211102122002.0,1.0,90.0,1.0,180.0,1.0,20.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211102122.0,2.0,211102.0,21.0,1.0,1.0,2.0,122.0,,
3240,211102122003.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211102122.0,3.0,211102.0,21.0,1.0,1.0,2.0,122.0,,
3241,211102123001.0,1.0,60.0,1.0,60.0,1.0,20.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,211102123.0,1.0,211102.0,21.0,1.0,1.0,2.0,123.0,,
3243,211102123002.0,1.0,10.0,1.0,30.0,1.0,10.0,1.0,10.0,0.0,,0.0,,2009.0,,,,,,,,,,211102123.0,2.0,211102.0,21.0,1.0,1.0,2.0,123.0,,
3245,211102124001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211102124.0,1.0,211102.0,21.0,1.0,1.0,2.0,124.0,,
3247,211102124002.0,1.0,-99.0,1.0,120.0,1.0,15.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211102124.0,2.0,211102.0,21.0,1.0,1.0,2.0,124.0,,
3249,211102125002.0,1.0,60.0,1.0,180.0,1.0,60.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211102125.0,2.0,211102.0,21.0,1.0,1.0,2.0,125.0,,
3251,211102126001.0,1.0,60.0,1.0,60.0,1.0,60.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211102126.0,1.0,211102.0,21.0,1.0,1.0,2.0,126.0,,
3253,211102126002.0,1.0,60.0,1.0,60.0,1.0,50.0,1.0,90.0,0.0,,0.0,,2009.0,,,,,,,,,,211102126.0,2.0,211102.0,21.0,1.0,1.0,2.0,126.0,,
3255,211102127001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211102127.0,1.0,211102.0,21.0,1.0,1.0,2.0,127.0,,
3257,211102127002.0,1.0,30.0,1.0,60.0,1.0,25.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211102127.0,2.0,211102.0,21.0,1.0,1.0,2.0,127.0,,
3298,211103002001.0,1.0,15.0,1.0,75.0,1.0,60.0,1.0,15.0,0.0,,0.0,,2009.0,,,,,,,,,,211103002.0,1.0,211103.0,21.0,1.0,1.0,3.0,2.0,,
3302,211103002002.0,1.0,15.0,1.0,30.0,1.0,30.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,211103002.0,2.0,211103.0,21.0,1.0,1.0,3.0,2.0,,
3324,211103004002.0,1.0,20.0,1.0,180.0,1.0,10.0,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211103004.0,2.0,211103.0,21.0,1.0,1.0,3.0,4.0,,
3415,211103013001.0,1.0,-88.0,0.0,,1.0,10.0,1.0,10.0,0.0,,0.0,,2009.0,,,,,,,,,,211103013.0,1.0,211103.0,21.0,1.0,1.0,3.0,13.0,,
3422,211103013002.0,1.0,-88.0,1.0,90.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211103013.0,2.0,211103.0,21.0,1.0,1.0,3.0,13.0,,
3429,211103013003.0,0.0,,0.0,,1.0,10.0,1.0,5.0,0.0,,0.0,,2009.0,,,,,,,,,,211103013.0,3.0,211103.0,21.0,1.0,1.0,3.0,13.0,,
3509,211103061002.0,1.0,20.0,0.0,,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211103061.0,2.0,211103.0,21.0,1.0,1.0,3.0,61.0,,
3512,211103081001.0,1.0,20.0,1.0,30.0,0.0,,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,211103081.0,1.0,211103.0,21.0,1.0,1.0,3.0,81.0,,
3517,211103081002.0,1.0,-88.0,1.0,180.0,1.0,120.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211103081.0,2.0,211103.0,21.0,1.0,1.0,3.0,81.0,,
3520,211103081003.0,0.0,,0.0,,0.0,,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211103081.0,3.0,211103.0,21.0,1.0,1.0,3.0,81.0,,
3533,211103083001.0,1.0,60.0,1.0,120.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211103083.0,1.0,211103.0,21.0,1.0,1.0,3.0,83.0,,
3537,211103083002.0,1.0,60.0,0.0,,0.0,,1.0,120.0,0.0,,0.0,,2009.0,,,,,,,,,,211103083.0,2.0,211103.0,21.0,1.0,1.0,3.0,83.0,,
3541,211103083003.0,1.0,10.0,0.0,,1.0,30.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211103083.0,3.0,211103.0,21.0,1.0,1.0,3.0,83.0,,
3559,211103086002.0,1.0,60.0,1.0,180.0,1.0,60.0,1.0,60.0,1.0,140.0,0.0,,2009.0,,,,,,,,,,211103086.0,2.0,211103.0,21.0,1.0,1.0,3.0,86.0,,
3560,211103086003.0,0.0,,0.0,,0.0,,0.0,,1.0,14.0,0.0,,2009.0,,,,,,,,,,211103086.0,3.0,211103.0,21.0,1.0,1.0,3.0,86.0,,
3561,211103086121.0,0.0,,0.0,,1.0,30.0,1.0,120.0,1.0,30.0,0.0,,2009.0,,,,,,,,,,211103086.0,121.0,211103.0,21.0,1.0,1.0,3.0,86.0,,
3568,211103090001.0,1.0,-88.0,0.0,,0.0,,0.0,,1.0,8.0,0.0,,2009.0,,,,,,,,,,211103090.0,1.0,211103.0,21.0,1.0,1.0,3.0,90.0,,
3573,211103090002.0,1.0,-88.0,1.0,60.0,1.0,40.0,1.0,60.0,1.0,35.0,0.0,,2009.0,,,,,,,,,,211103090.0,2.0,211103.0,21.0,1.0,1.0,3.0,90.0,,
3580,211103091001.0,0.0,,0.0,,1.0,60.0,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211103091.0,1.0,211103.0,21.0,1.0,1.0,3.0,91.0,,
3583,211103091002.0,1.0,30.0,1.0,30.0,1.0,20.0,1.0,15.0,0.0,,0.0,,2009.0,,,,,,,,,,211103091.0,2.0,211103.0,21.0,1.0,1.0,3.0,91.0,,
3586,211103091003.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211103091.0,3.0,211103.0,21.0,1.0,1.0,3.0,91.0,,
3593,211103093001.0,0.0,,0.0,,0.0,,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211103093.0,1.0,211103.0,21.0,1.0,1.0,3.0,93.0,,
3598,211103093002.0,1.0,30.0,1.0,90.0,1.0,30.0,1.0,10.0,1.0,28.0,0.0,,2009.0,,,,,,,,,,211103093.0,2.0,211103.0,21.0,1.0,1.0,3.0,93.0,,
3604,211103094002.0,1.0,30.0,1.0,60.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211103094.0,2.0,211103.0,21.0,1.0,1.0,3.0,94.0,,
3609,211103094003.0,0.0,,0.0,,0.0,,1.0,10.0,0.0,,0.0,,2009.0,,,,,,,,,,211103094.0,3.0,211103.0,21.0,1.0,1.0,3.0,94.0,,
3614,211103095001.0,1.0,40.0,1.0,120.0,1.0,30.0,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211103095.0,1.0,211103.0,21.0,1.0,1.0,3.0,95.0,,
3618,211103095002.0,1.0,20.0,0.0,,1.0,60.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,211103095.0,2.0,211103.0,21.0,1.0,1.0,3.0,95.0,,
3623,211103096001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211103096.0,1.0,211103.0,21.0,1.0,1.0,3.0,96.0,,
3626,211103096002.0,1.0,30.0,1.0,60.0,1.0,60.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211103096.0,2.0,211103.0,21.0,1.0,1.0,3.0,96.0,,
3631,211103097001.0,1.0,30.0,1.0,60.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211103097.0,1.0,211103.0,21.0,1.0,1.0,3.0,97.0,,
3636,211103097002.0,1.0,60.0,1.0,60.0,1.0,30.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211103097.0,2.0,211103.0,21.0,1.0,1.0,3.0,97.0,,
3639,211103097003.0,0.0,,1.0,30.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211103097.0,3.0,211103.0,21.0,1.0,1.0,3.0,97.0,,
3644,211103097004.0,1.0,30.0,1.0,30.0,1.0,30.0,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211103097.0,4.0,211103.0,21.0,1.0,1.0,3.0,97.0,,
3654,211103121001.0,1.0,60.0,1.0,90.0,1.0,10.0,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211103121.0,1.0,211103.0,21.0,1.0,1.0,3.0,121.0,,
3656,211103121002.0,0.0,,0.0,,1.0,20.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,211103121.0,2.0,211103.0,21.0,1.0,1.0,3.0,121.0,,
3657,211103122001.0,0.0,,1.0,90.0,1.0,10.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,211103122.0,1.0,211103.0,21.0,1.0,1.0,3.0,122.0,,
3658,211103122002.0,1.0,60.0,0.0,,1.0,18.0,1.0,35.0,0.0,,0.0,,2009.0,,,,,,,,,,211103122.0,2.0,211103.0,21.0,1.0,1.0,3.0,122.0,,
3659,211103122003.0,1.0,-88.0,0.0,,1.0,40.0,1.0,18.0,0.0,,0.0,,2009.0,,,,,,,,,,211103122.0,3.0,211103.0,21.0,1.0,1.0,3.0,122.0,,
3660,211103123001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211103123.0,1.0,211103.0,21.0,1.0,1.0,3.0,123.0,,
3663,211103123002.0,1.0,30.0,1.0,60.0,1.0,30.0,1.0,30.0,1.0,4.0,0.0,,2009.0,,,,,,,,,,211103123.0,2.0,211103.0,21.0,1.0,1.0,3.0,123.0,,
3670,211103124002.0,0.0,,0.0,,1.0,30.0,1.0,20.0,0.0,,0.0,,2009.0,,,,,,,,,,211103124.0,2.0,211103.0,21.0,1.0,1.0,3.0,124.0,,
3671,211103125001.0,0.0,,1.0,60.0,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211103125.0,1.0,211103.0,21.0,1.0,1.0,3.0,125.0,,
3674,211103125002.0,1.0,30.0,1.0,60.0,1.0,30.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211103125.0,2.0,211103.0,21.0,1.0,1.0,3.0,125.0,,
3675,211103125003.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211103125.0,3.0,211103.0,21.0,1.0,1.0,3.0,125.0,,
3678,211103126001.0,1.0,40.0,0.0,,1.0,60.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211103126.0,1.0,211103.0,21.0,1.0,1.0,3.0,126.0,,
3682,211103126002.0,1.0,10.0,1.0,30.0,1.0,60.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211103126.0,2.0,211103.0,21.0,1.0,1.0,3.0,126.0,,
3711,211104001001.0,1.0,60.0,1.0,60.0,1.0,60.0,1.0,60.0,0.0,,0.0,,2009.0,,,,,,,,,,211104001.0,1.0,211104.0,21.0,1.0,1.0,4.0,1.0,,
3720,211104001002.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211104001.0,2.0,211104.0,21.0,1.0,1.0,4.0,1.0,,
3750,211104003001.0,0.0,,0.0,,0.0,,1.0,90.0,0.0,,0.0,,2009.0,,,,,,,,,,211104003.0,1.0,211104.0,21.0,1.0,1.0,4.0,3.0,,
3758,211104003002.0,1.0,10.0,1.0,60.0,1.0,30.0,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211104003.0,2.0,211104.0,21.0,1.0,1.0,4.0,3.0,,
3767,211104004001.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211104004.0,1.0,211104.0,21.0,1.0,1.0,4.0,4.0,,
3776,211104004002.0,1.0,60.0,1.0,90.0,1.0,20.0,1.0,90.0,0.0,,0.0,,2009.0,,,,,,,,,,211104004.0,2.0,211104.0,21.0,1.0,1.0,4.0,4.0,,
3782,211104004003.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2009.0,,,,,,,,,,211104004.0,3.0,211104.0,21.0,1.0,1.0,4.0,4.0,,
3798,211104006001.0,1.0,20.0,1.0,60.0,1.0,20.0,1.0,40.0,0.0,,0.0,,2009.0,,,,,,,,,,211104006.0,1.0,211104.0,21.0,1.0,1.0,4.0,6.0,,
3807,211104006002.0,1.0,40.0,1.0,60.0,1.0,20.0,1.0,30.0,0.0,,0.0,,2009.0,,,,,,,,,,211104006.0,2.0,211104.0,21.0,1.0,1.0,4.0,6.0,,
