,e1,e2,e11c,e11d,e14a,e16a,e12,wave,e11e,e11a,e11b,e2b,e12_cln,e14a_cln,e16a_cln,hhid,commid,t1,t2,t3,t4,t5,e16a1
499,,,,3.0,5000.0,3000.0,2000.0,2009.0,,,,1.0,,,,212202081.0,212202.0,21.0,2.0,2.0,2.0,81.0,
502,,,,4.0,3000.0,-9999.0,200.0,2009.0,,,,1.0,,,,212202122.0,212202.0,21.0,2.0,2.0,2.0,122.0,
519,,,,18.0,10000.0,2000.0,3000.0,2009.0,,,,1.0,,,,212203003.0,212203.0,21.0,2.0,2.0,3.0,3.0,
531,,,,6.0,3600.0,1400.0,700.0,2009.0,,,,1.0,,,,212203006.0,212203.0,21.0,2.0,2.0,3.0,6.0,
541,,,,5.0,-9999.0,3000.0,500.0,2009.0,,,,1.0,,,,212203008.0,212203.0,21.0,2.0,2.0,3.0,8.0,
551,,,,8.0,3000.0,3000.0,700.0,2009.0,,,,1.0,,,,212203012.0,212203.0,21.0,2.0,2.0,3.0,12.0,
575,,,,10.0,12000.0,4000.0,2000.0,2009.0,,,,1.0,,,,212203019.0,212203.0,21.0,2.0,2.0,3.0,19.0,
579,,,,3.0,3000.0,2000.0,800.0,2009.0,,,,1.0,,,,212203020.0,212203.0,21.0,2.0,2.0,3.0,20.0,
586,,,,5.0,3000.0,2000.0,2700.0,2009.0,,,,1.0,,,,212203062.0,212203.0,21.0,2.0,2.0,3.0,62.0,
595,,,,5.0,2400.0,-9999.0,-999.0,2009.0,,,,1.0,,,,212203064.0,212203.0,21.0,2.0,2.0,3.0,64.0,
607,,,,2.0,2500.0,1500.0,800.0,2009.0,,,,1.0,,,,212203101.0,212203.0,21.0,2.0,2.0,3.0,101.0,
610,,,,40.0,20000.0,500.0,1500.0,2009.0,,,,1.0,,,,212203123.0,212203.0,21.0,2.0,2.0,3.0,123.0,
626,,,,4.0,2500.0,2500.0,600.0,2009.0,,,,1.0,,,,212204004.0,212204.0,21.0,2.0,2.0,4.0,4.0,
631,,,,1.0,800.0,800.0,200.0,2009.0,,,,1.0,,,,212204005.0,212204.0,21.0,2.0,2.0,4.0,5.0,
643,,,,4.0,600.0,1000.0,700.0,2009.0,,,,1.0,,,,212204008.0,212204.0,21.0,2.0,2.0,4.0,8.0,
654,,,,2.0,1500.0,1500.0,400.0,2009.0,,,,1.0,,,,212204010.0,212204.0,21.0,2.0,2.0,4.0,10.0,
660,,,,4.0,4000.0,3000.0,800.0,2009.0,,,,1.0,,,,212204011.0,212204.0,21.0,2.0,2.0,4.0,11.0,
675,,,,4.0,1600.0,2000.0,900.0,2009.0,,,,1.0,,,,212204017.0,212204.0,21.0,2.0,2.0,4.0,17.0,
681,,,,3.0,2000.0,1000.0,800.0,2009.0,,,,1.0,,,,212204018.0,212204.0,21.0,2.0,2.0,4.0,18.0,
687,,,,3.0,3000.0,2000.0,800.0,2009.0,,,,1.0,,,,212204020.0,212204.0,21.0,2.0,2.0,4.0,20.0,
696,,,,4.0,1700.0,200.0,-999.0,2009.0,,,,1.0,,,,212204063.0,212204.0,21.0,2.0,2.0,4.0,63.0,
704,,,,-99.0,-9999.0,500.0,100.0,2009.0,,,,1.0,,,,212204065.0,212204.0,21.0,2.0,2.0,4.0,65.0,
710,,,,3.0,-9999.0,-9999.0,-999.0,2009.0,,,,1.0,,,,212204066.0,212204.0,21.0,2.0,2.0,4.0,66.0,
721,,,,4.0,2000.0,1000.0,600.0,2009.0,,,,1.0,,,,212204121.0,212204.0,21.0,2.0,2.0,4.0,121.0,
731,,,,4.0,3500.0,680.0,3000.0,2009.0,,,,1.0,,,,212302001.0,212302.0,21.0,2.0,3.0,2.0,1.0,
742,,,,15.0,10000.0,500.0,4000.0,2009.0,,,,1.0,,,,212302003.0,212302.0,21.0,2.0,3.0,2.0,3.0,
754,,,,12.0,8000.0,1500.0,1200.0,2009.0,,,,1.0,,,,212302006.0,212302.0,21.0,2.0,3.0,2.0,6.0,
762,,,,50.0,40000.0,700.0,1000.0,2009.0,,,,1.0,,,,212302007.0,212302.0,21.0,2.0,3.0,2.0,7.0,
770,,,,15.0,8000.0,200.0,2600.0,2009.0,,,,1.0,,,,212302008.0,212302.0,21.0,2.0,3.0,2.0,8.0,
778,,,,11.0,10000.0,0.0,3000.0,2009.0,,,,1.0,,,,212302009.0,212302.0,21.0,2.0,3.0,2.0,9.0,
784,,,,6.0,0.0,4000.0,1300.0,2009.0,,,,1.0,,,,212302010.0,212302.0,21.0,2.0,3.0,2.0,10.0,
791,,,,20.0,14000.0,3200.0,6000.0,2009.0,,,,1.0,,,,212302011.0,212302.0,21.0,2.0,3.0,2.0,11.0,
797,,,,10.0,9000.0,7000.0,2500.0,2009.0,,,,1.0,,,,212302012.0,212302.0,21.0,2.0,3.0,2.0,12.0,
804,,,,5.0,4000.0,2000.0,100.0,2009.0,,,,1.0,,,,212302013.0,212302.0,21.0,2.0,3.0,2.0,13.0,
815,,,,9.0,9000.0,600.0,4100.0,2009.0,,,,1.0,,,,212302015.0,212302.0,21.0,2.0,3.0,2.0,15.0,
818,,,,1.0,0.0,800.0,200.0,2009.0,,,,1.0,,,,212302016.0,212302.0,21.0,2.0,3.0,2.0,16.0,
824,,,,8.0,8000.0,2000.0,2000.0,2009.0,,,,1.0,,,,212302017.0,212302.0,21.0,2.0,3.0,2.0,17.0,
830,,,,12.0,7000.0,1000.0,3000.0,2009.0,,,,1.0,,,,212302018.0,212302.0,21.0,2.0,3.0,2.0,18.0,
837,,,,25.0,17000.0,2000.0,9000.0,2009.0,,,,1.0,,,,212302020.0,212302.0,21.0,2.0,3.0,2.0,20.0,
843,,,,20.0,10000.0,600.0,4000.0,2009.0,,,,1.0,,,,212302061.0,212302.0,21.0,2.0,3.0,2.0,61.0,
847,,,,15.0,8000.0,850.0,3500.0,2009.0,,,,1.0,,,,212302081.0,212302.0,21.0,2.0,3.0,2.0,81.0,
850,,,,15.0,15000.0,5000.0,3000.0,2009.0,,,,1.0,,,,212302121.0,212302.0,21.0,2.0,3.0,2.0,121.0,
853,,,,2.0,1500.0,3000.0,600.0,2009.0,,,,1.0,,,,212302122.0,212302.0,21.0,2.0,3.0,2.0,122.0,
854,,,,20.0,20000.0,1000.0,5000.0,2009.0,,,,1.0,,,,212302123.0,212302.0,21.0,2.0,3.0,2.0,123.0,
862,,,,6.0,8400.0,2000.0,1400.0,2009.0,,,,1.0,,,,212303001.0,212303.0,21.0,2.0,3.0,3.0,1.0,
870,,,,10.0,15000.0,1500.0,2500.0,2009.0,,,,1.0,,,,212303003.0,212303.0,21.0,2.0,3.0,3.0,3.0,
881,,,,10.0,6000.0,0.0,2000.0,2009.0,,,,1.0,,,,212303006.0,212303.0,21.0,2.0,3.0,3.0,6.0,
891,,,,4.0,4500.0,200.0,3000.0,2009.0,,,,1.0,,,,212303009.0,212303.0,21.0,2.0,3.0,3.0,9.0,
896,,,,2.0,0.0,900.0,400.0,2009.0,,,,1.0,,,,212303011.0,212303.0,21.0,2.0,3.0,3.0,11.0,
903,,,,3.0,2000.0,2200.0,600.0,2009.0,,,,1.0,,,,212303013.0,212303.0,21.0,2.0,3.0,3.0,13.0,
910,,,,3.0,2000.0,200.0,1000.0,2009.0,,,,1.0,,,,212303015.0,212303.0,21.0,2.0,3.0,3.0,15.0,
924,,,,5.0,8000.0,1000.0,900.0,2009.0,,,,1.0,,,,212303017.0,212303.0,21.0,2.0,3.0,3.0,17.0,
932,,,,2.0,3000.0,500.0,400.0,2009.0,,,,1.0,,,,212303020.0,212303.0,21.0,2.0,3.0,3.0,20.0,
935,,,,2.0,0.0,2000.0,500.0,2009.0,,,,1.0,,,,212303081.0,212303.0,21.0,2.0,3.0,3.0,81.0,
938,,,,3.0,2000.0,1500.0,300.0,2009.0,,,,1.0,,,,212303082.0,212303.0,21.0,2.0,3.0,3.0,82.0,
942,,,,16.0,4000.0,1500.0,1500.0,2009.0,,,,1.0,,,,212303083.0,212303.0,21.0,2.0,3.0,3.0,83.0,
947,,,,5.0,2200.0,1000.0,1500.0,2009.0,,,,1.0,,,,212304001.0,212304.0,21.0,2.0,3.0,4.0,1.0,
964,,,,2.0,0.0,1500.0,300.0,2009.0,,,,1.0,,,,212304005.0,212304.0,21.0,2.0,3.0,4.0,5.0,
975,,,,20.0,30000.0,0.0,6000.0,2009.0,,,,1.0,,,,212304007.0,212304.0,21.0,2.0,3.0,4.0,7.0,
985,,,,5.0,6000.0,1000.0,800.0,2009.0,,,,1.0,,,,212304009.0,212304.0,21.0,2.0,3.0,4.0,9.0,
992,,,,12.0,10000.0,1000.0,3000.0,2009.0,,,,1.0,,,,212304011.0,212304.0,21.0,2.0,3.0,4.0,11.0,
1000,,,,10.0,4000.0,3000.0,2600.0,2009.0,,,,1.0,,,,212304012.0,212304.0,21.0,2.0,3.0,4.0,12.0,
1024,,,,10.0,8000.0,1500.0,2000.0,2009.0,,,,1.0,,,,212304018.0,212304.0,21.0,2.0,3.0,4.0,18.0,
1032,,,,3.0,3000.0,1000.0,800.0,2009.0,,,,1.0,,,,212304020.0,212304.0,21.0,2.0,3.0,4.0,20.0,
1040,,,,20.0,20000.0,2600.0,5900.0,2009.0,,,,1.0,,,,212304062.0,212304.0,21.0,2.0,3.0,4.0,62.0,
1045,,,,4.0,2000.0,700.0,1000.0,2009.0,,,,1.0,,,,212304063.0,212304.0,21.0,2.0,3.0,4.0,63.0,
1050,,,,4.0,4000.0,2100.0,600.0,2009.0,,,,1.0,,,,212304065.0,212304.0,21.0,2.0,3.0,4.0,65.0,
1055,,,,7.0,6000.0,1000.0,300.0,2009.0,,,,1.0,,,,212304066.0,212304.0,21.0,2.0,3.0,4.0,66.0,
1065,,,,4.0,4000.0,1000.0,200.0,2009.0,,,,1.0,,,,212304068.0,212304.0,21.0,2.0,3.0,4.0,68.0,
1067,,,,2.0,1000.0,1000.0,500.0,2009.0,,,,1.0,,,,212304081.0,212304.0,21.0,2.0,3.0,4.0,81.0,
1071,,,,2.0,1300.0,600.0,500.0,2009.0,,,,1.0,,,,212304082.0,212304.0,21.0,2.0,3.0,4.0,82.0,
1077,,,,6.0,3000.0,1000.0,800.0,2009.0,,,,1.0,,,,212402001.0,212402.0,21.0,2.0,4.0,2.0,1.0,
1085,,,,5.0,2500.0,800.0,800.0,2009.0,,,,1.0,,,,212402002.0,212402.0,21.0,2.0,4.0,2.0,2.0,
1093,,,,6.0,2000.0,200.0,1000.0,2009.0,,,,1.0,,,,212402003.0,212402.0,21.0,2.0,4.0,2.0,3.0,
1100,,,,3.0,1500.0,500.0,500.0,2009.0,,,,1.0,,,,212402004.0,212402.0,21.0,2.0,4.0,2.0,4.0,
1106,,,,3.0,4000.0,500.0,800.0,2009.0,,,,1.0,,,,212402005.0,212402.0,21.0,2.0,4.0,2.0,5.0,
1116,,,,7.0,5500.0,500.0,2000.0,2009.0,,,,1.0,,,,212402007.0,212402.0,21.0,2.0,4.0,2.0,7.0,
1130,,,,4.0,4500.0,500.0,1500.0,2009.0,,,,1.0,,,,212402009.0,212402.0,21.0,2.0,4.0,2.0,9.0,
1138,,,,4.0,3000.0,500.0,1000.0,2009.0,,,,1.0,,,,212402010.0,212402.0,21.0,2.0,4.0,2.0,10.0,
1146,,,,3.0,1200.0,0.0,500.0,2009.0,,,,1.0,,,,212402011.0,212402.0,21.0,2.0,4.0,2.0,11.0,
1156,,,,4.0,5000.0,0.0,1300.0,2009.0,,,,1.0,,,,212402013.0,212402.0,21.0,2.0,4.0,2.0,13.0,
1164,,,,3.0,800.0,100.0,400.0,2009.0,,,,1.0,,,,212402015.0,212402.0,21.0,2.0,4.0,2.0,15.0,
1171,,,,6.0,2000.0,0.0,1000.0,2009.0,,,,1.0,,,,212402016.0,212402.0,21.0,2.0,4.0,2.0,16.0,
1177,,,,4.0,1500.0,1000.0,1000.0,2009.0,,,,1.0,,,,212402017.0,212402.0,21.0,2.0,4.0,2.0,17.0,
1185,,,,7.0,6500.0,200.0,2000.0,2009.0,,,,1.0,,,,212402018.0,212402.0,21.0,2.0,4.0,2.0,18.0,
1193,,,,4.0,3000.0,200.0,1000.0,2009.0,,,,1.0,,,,212402019.0,212402.0,21.0,2.0,4.0,2.0,19.0,
1201,,,,6.0,5000.0,500.0,1500.0,2009.0,,,,1.0,,,,212402020.0,212402.0,21.0,2.0,4.0,2.0,20.0,
1209,,,,1.0,500.0,200.0,300.0,2009.0,,,,1.0,,,,212402101.0,212402.0,21.0,2.0,4.0,2.0,101.0,
1221,,,,6.0,6000.0,200.0,1500.0,2009.0,,,,1.0,,,,212403002.0,212403.0,21.0,2.0,4.0,3.0,2.0,
1234,,,,1.0,500.0,-9999.0,100.0,2009.0,,,,1.0,,,,212403004.0,212403.0,21.0,2.0,4.0,3.0,4.0,
1242,,,,2.0,1500.0,200.0,500.0,2009.0,,,,1.0,,,,212403005.0,212403.0,21.0,2.0,4.0,3.0,5.0,
