,wave,hhid,hhbus,hhbusimp,hhfarm,hhfarmimp,hhfish,hhfishimp,hhgardimp,hhgard,hhlvst,hhlvstimp,hhothr,hhothrimp,hhsub,hhsubimp,hhretire,hhretireimp,hhnrwage,hhnrwageimp,hhinc,hhincgross,hhexpense,hhincimp,commid,t1,urban,t6_a,t6_b,hhsize,hhinc_pc,cpi1988,cpi2015,index_new,index_old,hhinc_cpi,hhincpc_cpi,hhincgross_cpi,hhexpense_cpi
27710,2009.0,211101122.0,,,,,,,,,,,,,,,32400.0,0.0,,0.0,32400.0,32400.0,0.0,0.0,211101.0,21.0,1.0,3.0,0.0,3.0,10800.0,2.91,0.85,0.85,2.91,38117.64705882353,12705.882352941177,38117.64705882353,0.0
27711,2009.0,211102001.0,,,,,,,,,,,,,50.0,0.0,78000.0,0.0,,0.0,78050.0,78050.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,39025.0,2.91,0.85,0.85,2.91,91823.52941176471,45911.76470588236,91823.52941176471,0.0
27712,2009.0,211102003.0,,,,,,,,,,,7300.0,0.0,,,62280.0,0.0,400.0,0.0,69980.0,69980.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,34990.0,2.91,0.85,0.85,2.91,82329.41176470589,41164.705882352944,82329.41176470589,0.0
27713,2009.0,211102006.0,,,,,,,,,,,,,100.0,0.0,76800.0,0.0,,0.0,76900.0,76900.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,38450.0,2.91,0.85,0.85,2.91,90470.58823529413,45235.29411764706,90470.58823529413,0.0
27714,2009.0,211102014.0,,,,,,,,,,,1100.0,0.0,,,38400.0,0.0,1200.0,0.0,40700.0,40700.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,20350.0,2.91,0.85,0.85,2.91,47882.35294117647,23941.176470588234,47882.35294117647,0.0
27715,2009.0,211102015.0,,,,,,,,,,,70.0,0.0,100.0,0.0,48000.0,0.0,100.0,0.0,48270.0,48270.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,24135.0,2.91,0.85,0.85,2.91,56788.23529411765,28394.117647058825,56788.23529411765,0.0
27716,2009.0,211102017.0,,,,,,,,,,,,,,,72000.0,0.0,12000.0,0.0,84000.0,84000.0,0.0,0.0,211102.0,21.0,1.0,3.0,2.0,5.0,16800.0,2.91,0.85,0.85,2.91,98823.52941176471,19764.70588235294,98823.52941176471,0.0
27717,2009.0,211102018.0,12000.0,0.0,,,,,,,,,2000.0,0.0,60.0,0.0,0.0,0.0,30800.0,0.0,44860.0,92860.0,48000.0,0.0,211102.0,21.0,1.0,3.0,1.0,4.0,11215.0,2.91,0.85,0.85,2.91,52776.470588235294,13194.117647058823,109247.05882352941,56470.58823529412
27718,2009.0,211102019.0,,,,,,,,,,,,,,,60000.0,0.0,,0.0,60000.0,60000.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,30000.0,2.91,0.85,0.85,2.91,70588.23529411765,35294.117647058825,70588.23529411765,0.0
27719,2009.0,211102061.0,,,,,,,,,,,100.0,0.0,200.0,0.0,22800.0,1.0,200.0,0.0,23300.0,23300.0,0.0,1.0,211102.0,21.0,1.0,1.0,0.0,1.0,23300.0,2.91,0.85,0.85,2.91,27411.764705882353,27411.764705882353,27411.764705882353,0.0
27720,2009.0,211102068.0,,,,,,,,,,,1000.0,0.0,,,12000.0,0.0,9000.0,0.0,22000.0,22000.0,0.0,0.0,211102.0,21.0,1.0,3.0,0.0,3.0,7333.333333333333,2.91,0.85,0.85,2.91,25882.352941176472,8627.450980392157,25882.352941176472,0.0
27721,2009.0,211102071.0,,,,,,,,,,,1000.0,0.0,,,57600.0,0.0,63000.0,0.0,121600.0,121600.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,60800.0,2.91,0.85,0.85,2.91,143058.82352941178,71529.41176470589,143058.82352941178,0.0
27722,2009.0,211102082.0,,,,,,,,,,,3000.0,0.0,,,57600.0,0.0,,0.0,60600.0,60600.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,30300.0,2.91,0.85,0.85,2.91,71294.11764705883,35647.05882352941,71294.11764705883,0.0
27723,2009.0,211102083.0,,,,,,,,,,,,,200.0,0.0,60000.0,0.0,,0.0,60200.0,60200.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,30100.0,2.91,0.85,0.85,2.91,70823.52941176471,35411.76470588236,70823.52941176471,0.0
27724,2009.0,211102121.0,,,,,,,,,,,,,,,46044.0,0.0,150.0,0.0,46194.0,46194.0,0.0,0.0,211102.0,21.0,1.0,2.0,0.0,2.0,23097.0,2.91,0.85,0.85,2.91,54345.882352941175,27172.941176470587,54345.882352941175,0.0
27725,2009.0,211102122.0,,,,,,,,,,,,,100.0,0.0,24000.0,0.0,,0.0,24100.0,24100.0,0.0,0.0,211102.0,21.0,1.0,3.0,0.0,3.0,8033.333333333333,2.91,0.85,0.85,2.91,28352.941176470587,9450.980392156862,28352.941176470587,0.0
27726,2009.0,211102123.0,,,,,,,,,,,,,,,0.0,0.0,15600.0,0.0,15600.0,15600.0,0.0,0.0,211102.0,21.0,1.0,2.0,1.0,3.0,5200.0,2.91,0.85,0.85,2.91,18352.941176470587,6117.64705882353,18352.941176470587,0.0
27727,2009.0,211102124.0,,,,,,,,,,,,,,,0.0,0.0,54400.0,0.0,54400.0,54400.0,0.0,0.0,211102.0,21.0,1.0,2.0,1.0,3.0,18133.333333333332,2.91,0.85,0.85,2.91,64000.0,21333.333333333332,64000.0,0.0
27728,2009.0,211102125.0,,,,,,,,,,,4500.0,0.0,,,0.0,0.0,18000.0,0.0,22500.0,22500.0,0.0,0.0,211102.0,21.0,1.0,1.0,2.0,3.0,7500.0,2.91,0.85,0.85,2.91,26470.58823529412,8823.529411764706,26470.58823529412,0.0
27729,2009.0,211102126.0,,,,,,,,,,,,,,,0.0,0.0,49200.0,0.0,49200.0,49200.0,0.0,0.0,211102.0,21.0,1.0,2.0,1.0,3.0,16400.0,2.91,0.85,0.85,2.91,57882.352941176476,19294.117647058825,57882.352941176476,0.0
27730,2009.0,211102127.0,,,,,,,,,,,,,,,0.0,0.0,33400.0,0.0,33400.0,33400.0,0.0,0.0,211102.0,21.0,1.0,2.0,1.0,3.0,11133.333333333334,2.91,0.85,0.85,2.91,39294.117647058825,13098.039215686276,39294.117647058825,0.0
27731,2009.0,211103002.0,,,,0.0,,,0.0,1200.0,65.0,0.0,2300.0,0.0,200.0,0.0,12000.0,0.0,7700.0,0.0,23465.0,23730.0,265.0,0.0,211103.0,21.0,0.0,2.0,0.0,2.0,11732.5,2.52,0.74,0.74,2.52,31709.45945945946,15854.72972972973,32067.567567567567,358.1081081081081
27732,2009.0,211103004.0,,,,,,,,,,,4500.0,0.0,,,9600.0,0.0,,0.0,14100.0,14100.0,0.0,0.0,211103.0,21.0,0.0,1.0,0.0,1.0,14100.0,2.52,0.74,0.74,2.52,19054.054054054053,19054.054054054053,19054.054054054053,0.0
27733,2009.0,211103013.0,7200.0,0.0,,,,,,,,,,,240.0,0.0,0.0,0.0,50400.0,0.0,57840.0,65040.0,7200.0,0.0,211103.0,21.0,0.0,3.0,0.0,3.0,19280.0,2.52,0.74,0.74,2.52,78162.16216216216,26054.054054054053,87891.8918918919,9729.72972972973
27734,2009.0,211103061.0,,,,,,,,,,,,,,,0.0,0.0,21600.0,0.0,21600.0,21600.0,0.0,0.0,211103.0,21.0,0.0,1.0,2.0,3.0,7200.0,2.52,0.74,0.74,2.52,29189.18918918919,9729.72972972973,29189.18918918919,0.0
27735,2009.0,211103081.0,,,,,,,,,,,3220.0,0.0,270.0,0.0,0.0,0.0,20300.0,0.0,23790.0,23790.0,0.0,0.0,211103.0,21.0,0.0,3.0,0.0,3.0,7930.0,2.52,0.74,0.74,2.52,32148.64864864865,10716.216216216217,32148.64864864865,0.0
27736,2009.0,211103083.0,6000.0,0.0,,,,,,,,,390.0,0.0,200.0,0.0,22200.0,0.0,,0.0,28790.0,28790.0,0.0,0.0,211103.0,21.0,0.0,3.0,0.0,3.0,9596.666666666666,2.52,0.74,0.74,2.52,38905.40540540541,12968.468468468467,38905.40540540541,0.0
27737,2009.0,211103086.0,,,,,,,,,,,1300.0,0.0,90.0,0.0,0.0,0.0,15100.0,1.0,16490.0,16490.0,0.0,1.0,211103.0,21.0,0.0,4.0,0.0,4.0,4122.5,2.52,0.74,0.74,2.52,22283.783783783783,5570.945945945946,22283.783783783783,0.0
27738,2009.0,211103090.0,,,,,,,,,,,,,930.0,0.0,0.0,0.0,37800.0,0.0,38730.0,38730.0,0.0,0.0,211103.0,21.0,0.0,3.0,0.0,3.0,12910.0,2.52,0.74,0.74,2.52,52337.83783783784,17445.945945945947,52337.83783783784,0.0
27739,2009.0,211103091.0,9840.0,0.0,,,,,,,,,,,960.0,0.0,0.0,0.0,29760.0,0.0,40560.0,43920.0,3360.0,0.0,211103.0,21.0,0.0,3.0,0.0,3.0,13520.0,2.52,0.74,0.74,2.52,54810.81081081081,18270.27027027027,59351.35135135135,4540.540540540541
27740,2009.0,211103093.0,,,,,,,,,,,,,12.0,0.0,115776.0,0.0,12000.0,0.0,127788.0,127788.0,0.0,0.0,211103.0,21.0,0.0,3.0,0.0,3.0,42596.0,2.52,0.74,0.74,2.52,172686.48648648648,57562.16216216216,172686.48648648648,0.0
27741,2009.0,211103094.0,,,,,,,,,,,,,500.0,0.0,0.0,0.0,6000.0,0.0,6500.0,6500.0,0.0,0.0,211103.0,21.0,0.0,2.0,1.0,3.0,2166.6666666666665,2.52,0.74,0.74,2.52,8783.783783783783,2927.9279279279276,8783.783783783783,0.0
27742,2009.0,211103095.0,9600.0,0.0,,,,,,,,,4700.0,0.0,,,12960.0,0.0,,0.0,27260.0,29660.0,2400.0,0.0,211103.0,21.0,0.0,2.0,1.0,3.0,9086.666666666666,2.52,0.74,0.74,2.52,36837.83783783784,12279.279279279279,40081.08108108108,3243.2432432432433
27743,2009.0,211103096.0,,,,,,,,,,,,,200.0,0.0,6797.725519522048,1.0,,0.0,6997.725519522048,6997.725519522048,0.0,1.0,211103.0,21.0,0.0,2.0,0.0,2.0,3498.862759761024,2.52,0.74,0.74,2.52,9456.385837191956,4728.192918595978,9456.385837191956,0.0
27744,2009.0,211103097.0,,,,,,,,,,,,,,,24240.0,0.0,6030.0,0.0,30270.0,30270.0,0.0,0.0,211103.0,21.0,0.0,4.0,0.0,4.0,7567.5,2.52,0.74,0.74,2.52,40905.40540540541,10226.351351351352,40905.40540540541,0.0
27745,2009.0,211103121.0,,,,,,,,,,,200.0,0.0,300.0,0.0,0.0,0.0,19900.0,0.0,20400.0,20400.0,0.0,0.0,211103.0,21.0,0.0,2.0,0.0,2.0,10200.0,2.52,0.74,0.74,2.52,27567.567567567567,13783.783783783783,27567.567567567567,0.0
27746,2009.0,211103122.0,,,,,,,,,,,,,,,0.0,0.0,41060.0,0.0,41060.0,41060.0,0.0,0.0,211103.0,21.0,0.0,3.0,0.0,3.0,13686.666666666666,2.52,0.74,0.74,2.52,55486.48648648649,18495.495495495496,55486.48648648649,0.0
27747,2009.0,211103123.0,,,,,,,,,,,,,100.0,0.0,12000.0,0.0,,0.0,12100.0,12100.0,0.0,0.0,211103.0,21.0,0.0,2.0,0.0,2.0,6050.0,2.52,0.74,0.74,2.52,16351.351351351352,8175.675675675676,16351.351351351352,0.0
27748,2009.0,211103124.0,,,,,,,,,,,,,,,0.0,0.0,3800.0,0.0,3800.0,3800.0,0.0,0.0,211103.0,21.0,0.0,1.0,1.0,2.0,1900.0,2.52,0.74,0.74,2.52,5135.135135135135,2567.5675675675675,5135.135135135135,0.0
27749,2009.0,211103125.0,,,,,,,,,,,,,1720.0,0.0,0.0,0.0,32400.0,0.0,34120.0,34120.0,0.0,0.0,211103.0,21.0,0.0,3.0,0.0,3.0,11373.333333333334,2.52,0.74,0.74,2.52,46108.10810810811,15369.369369369371,46108.10810810811,0.0
27750,2009.0,211103126.0,,,,,,,,,,,400.0,0.0,320.0,0.0,0.0,0.0,200.0,0.0,920.0,920.0,0.0,0.0,211103.0,21.0,0.0,3.0,0.0,3.0,306.6666666666667,2.52,0.74,0.74,2.52,1243.2432432432433,414.41441441441447,1243.2432432432433,0.0
27751,2009.0,211104001.0,,,,,,,,,,,,,,,0.0,0.0,12000.0,0.0,12000.0,12000.0,0.0,0.0,211104.0,21.0,0.0,2.0,2.0,4.0,3000.0,2.52,0.74,0.74,2.52,16216.216216216217,4054.054054054054,16216.216216216217,0.0
27752,2009.0,211104003.0,,,,,,,,,,,,0.0,780.0,0.0,0.0,0.0,6300.0,0.0,7080.0,7080.0,0.0,0.0,211104.0,21.0,0.0,2.0,1.0,3.0,2360.0,2.52,0.74,0.74,2.52,9567.567567567568,3189.189189189189,9567.567567567568,0.0
27753,2009.0,211104004.0,,,,,,,,,,,,,,,0.0,0.0,9600.0,0.0,9600.0,9600.0,0.0,0.0,211104.0,21.0,0.0,3.0,0.0,3.0,3200.0,2.52,0.74,0.74,2.52,12972.972972972973,4324.324324324324,12972.972972972973,0.0
27754,2009.0,211104006.0,,,,,,,,,,,1800.0,0.0,980.0,0.0,9826.666666666666,0.0,13200.0,0.0,25806.666666666664,25806.666666666664,0.0,0.0,211104.0,21.0,0.0,3.0,0.0,3.0,8602.22222222222,2.52,0.74,0.74,2.52,34873.87387387387,11624.624624624623,34873.87387387387,0.0
27755,2009.0,211104009.0,,,,,,,,,,,10000.0,0.0,,,,0.0,,,10000.0,10000.0,0.0,0.0,211104.0,21.0,0.0,3.0,1.0,4.0,2500.0,2.52,0.74,0.74,2.52,13513.513513513513,3378.3783783783783,13513.513513513513,0.0
27756,2009.0,211104010.0,,,,0.0,,,0.0,5980.0,,,700.0,0.0,,,0.0,0.0,10000.0,0.0,16680.0,16700.0,20.0,0.0,211104.0,21.0,0.0,6.0,0.0,6.0,2780.0,2.52,0.74,0.74,2.52,22540.54054054054,3756.7567567567567,22567.567567567567,27.027027027027028
27757,2009.0,211104011.0,,,,,,,,,,,400.0,0.0,,,0.0,0.0,20000.0,0.0,20400.0,20400.0,0.0,0.0,211104.0,21.0,0.0,3.0,1.0,4.0,5100.0,2.52,0.74,0.74,2.52,27567.567567567567,6891.891891891892,27567.567567567567,0.0
27758,2009.0,211104012.0,,,,,,,,,,,,,3000.0,0.0,,,,,3000.0,3000.0,0.0,0.0,211104.0,21.0,0.0,1.0,3.0,4.0,750.0,2.52,0.74,0.74,2.52,4054.054054054054,1013.5135135135135,4054.054054054054,0.0
27759,2009.0,211104013.0,,,,,,,,,,,150.0,0.0,,,,0.0,,,150.0,150.0,0.0,0.0,211104.0,21.0,0.0,2.0,2.0,4.0,37.5,2.52,0.74,0.74,2.52,202.7027027027027,50.67567567567568,202.7027027027027,0.0
