,hhid,idind,wave,indbusimp,indbus,indfarmimp,indfarm,indfishimp,indfish,indgardimp,indgard,indlvstimp,indlvst,indret,indretimp,indwage,indwageimp,indinc,indincimp,commid,t1,urban,cpi1988,cpi2015,index_new,index_old,indinc_cpi
60252,211103122.0,211103122002.0,2009.0,,,,,,,,,,,,,10800.0,0.0,10800.0,0.0,211103.0,21.0,0.0,2.52,0.74,0.74,2.52,14594.594594594595
60253,211103122.0,211103122003.0,2009.0,,,,,,,,,,,,,18260.0,0.0,18260.0,0.0,211103.0,21.0,0.0,2.52,0.74,0.74,2.52,24675.675675675677
60254,211103123.0,211103123001.0,2009.0,,,,,,,,,,,12000.0,0.0,,,12000.0,0.0,211103.0,21.0,0.0,2.52,0.74,0.74,2.52,16216.216216216217
60255,211103124.0,211103124002.0,2009.0,,,,,,,,,,,,,3800.0,0.0,3800.0,0.0,211103.0,21.0,0.0,2.52,0.74,0.74,2.52,5135.135135135135
60256,211103125.0,211103125001.0,2009.0,,,,,,,,,,,,,18000.0,0.0,18000.0,0.0,211103.0,21.0,0.0,2.52,0.74,0.74,2.52,24324.324324324323
60257,211103125.0,211103125002.0,2009.0,,,,,,,,,,,,,14400.0,0.0,14400.0,0.0,211103.0,21.0,0.0,2.52,0.74,0.74,2.52,19459.45945945946
60258,211103126.0,211103126002.0,2009.0,,,,,,,,,,,,,200.0,0.0,200.0,0.0,211103.0,21.0,0.0,2.52,0.74,0.74,2.52,270.27027027027026
60259,211104001.0,211104001001.0,2009.0,,,,,,,,,,,,,12000.0,0.0,12000.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,16216.216216216217
60260,211104003.0,211104003002.0,2009.0,,,,,,,,,,,,,6300.0,0.0,6300.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,8513.513513513513
60261,211104004.0,211104004001.0,2009.0,,,,,,,,,,,,,9600.0,0.0,9600.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,12972.972972972973
60262,211104006.0,211104006001.0,2009.0,,,,,,,,,,,,,10800.0,0.0,10800.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,14594.594594594595
60263,211104006.0,211104006002.0,2009.0,,,,,,,,,,,9648.0,0.0,,,9648.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,13037.837837837838
60264,211104006.0,211104006003.0,2009.0,,,,,,,,,,,,,2400.0,0.0,2400.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,3243.2432432432433
60265,211104010.0,211104010001.0,2009.0,,,,,,,0.0,5980.0,,,,,,,5980.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,8081.081081081081
60266,211104010.0,211104010122.0,2009.0,,,,,,,,,,,,,10000.0,0.0,10000.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,13513.513513513513
60267,211104011.0,211104011001.0,2009.0,,,,,,,,,,,,,20000.0,0.0,20000.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,27027.027027027027
60268,211104014.0,211104014001.0,2009.0,,,,,,,,,,,,,12150.0,0.0,12150.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,16418.91891891892
60269,211104014.0,211104014003.0,2009.0,,,,,,,,,,,,,16500.0,0.0,16500.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,22297.297297297297
60270,211104016.0,211104016061.0,2009.0,0.0,15600.0,,,,,,,,,,,,,15600.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,21081.08108108108
60271,211104017.0,211104017001.0,2009.0,,,,,,,0.0,35550.0,,,48960.0,0.0,,,84510.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,114202.7027027027
60272,211104017.0,211104017002.0,2009.0,,,,,,,,,,,119988.0,0.0,,,119988.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,162145.94594594595
60273,211104019.0,211104019003.0,2009.0,,,,,,,,,,,,,8400.0,0.0,8400.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,11351.351351351352
60274,211104020.0,211104020002.0,2009.0,0.0,9600.0,,,,,,,,,,,,,9600.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,12972.972972972973
60275,211104063.0,211104063003.0,2009.0,,,,,,,,,,,,,9600.0,0.0,9600.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,12972.972972972973
60276,211104063.0,211104063121.0,2009.0,,,,,,,,,,,,,9600.0,0.0,9600.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,12972.972972972973
60277,211104081.0,211104081001.0,2009.0,0.0,12000.0,,,,,,,,,,,20000.0,0.0,32000.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,43243.24324324325
60278,211104081.0,211104081002.0,2009.0,,,,,,,,,,,,,2250.0,0.0,2250.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,3040.5405405405404
60279,211104121.0,211104121002.0,2009.0,,,,,,,,,,,,,14200.0,0.0,14200.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,19189.18918918919
60280,211104122.0,211104122002.0,2009.0,,,,,,,,,,,,,27000.0,0.0,27000.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,36486.48648648649
60281,211104123.0,211104123001.0,2009.0,0.0,5419.354838709677,,,,,,,,,,,12000.0,0.0,17419.354838709678,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,23539.668700959024
60282,211104123.0,211104123002.0,2009.0,0.0,6580.645161290322,,,,,,,,,,,,,6580.645161290322,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,8892.763731473407
60283,211104124.0,211104124002.0,2009.0,,,,,,,,,,,,,13200.0,0.0,13200.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,17837.837837837837
60284,211104016.0,211104141001.0,2009.0,,,,,,,,,,,25200.0,0.0,400.0,0.0,25600.0,0.0,211104.0,21.0,0.0,2.52,0.74,0.74,2.52,34594.59459459459
60285,211203001.0,211203001001.0,2009.0,,,,,,,,,,,,,11000.0,0.0,11000.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,14864.864864864865
60286,211203001.0,211203001002.0,2009.0,,,,,,,,,,,,,10800.0,0.0,10800.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,14594.594594594595
60287,211203003.0,211203003001.0,2009.0,,,,,,,,,,,,,42000.0,0.0,42000.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,56756.75675675676
60288,211203003.0,211203003002.0,2009.0,,,,,,,,,,,,,38400.0,0.0,38400.0,0.0,211203.0,21.0,0.0,2.52,0.74,0.74,2.52,51891.89189189189
